Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,54.565192177018616,None,2000,56.563596598018194,None,None,56.563596598018194,None,1.65,1,58.59442907900666,None,None,0,58.59442907900666,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,,043,Practice,2,2019_Aug_24_1244,MID,3.1.5,24.000405723382222,
LgReward,2000,0,1,1,1,,60.51289645800716,None,2000,62.52717603300698,None,None,62.52717603300698,None,1.65,2,64.54432927301968,None,None,0,64.54432927301968,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,,043,Practice,2,2019_Aug_24_1244,MID,3.1.5,24.000405723382222,
SmallPun,2000,0,2,2,2,,66.47159307901165,None,2000,68.48068321601022,None,None,68.48068321601022,None,1.65,3,70.49669229899882,None,None,0,70.49669229899882,None,You lost $0.20!,-0.2,5,3,0.42,0.0,nan,[],0.0,3,3,Adjusting RT...,043,Practice,2,2019_Aug_24_1244,MID,3.1.5,24.000405723382222,
LgPun,2000,0,3,3,3,,72.43002630301635,None,2000,74.44645241100807,None,None,74.44645241100807,None,1.58,4,76.44667389101232,None,None,0,76.44667389101232,None,You lost $5.00!,-5.2,4,4,0.42,0.0,nan,[0],0.0,3,3,,043,Practice,2,2019_Aug_24_1244,MID,3.1.5,24.000405723382222,
Triangle,2000,0,4,4,4,,78.43050669302465,None,2000,80.44720525800949,None,None,80.44720525800949,None,1.58,5,82.45133579301182,None,None,0,82.45133579301182,None,You did not win or lose anything!,-5.2,3,4,0.42,0.0,nan,[0],0.0,3,3,,043,Practice,2,2019_Aug_24_1244,MID,3.1.5,24.000405723382222,
LgReward,2000,0,5,5,5,,84.43024872502428,None,2000,86.44840307399863,None,None,86.44840307399863,None,1.58,6,88.46464930599905,None,None,0,88.46464930599905,None,You did not win $5.00!,-5.2,1,5,0.42,0.0,nan,"[0, 0]",0.0,3,3,,043,Practice,2,2019_Aug_24_1244,MID,3.1.5,24.000405723382222,
SmallPun,2000,0,6,6,6,,90.434561571019,None,2000,92.4495913600258,None,None,92.4495913600258,None,1.58,7,94.44926135402056,None,None,0,94.44926135402056,None,You lost $0.20!,-5.4,5,6,0.49,0.0,nan,[],0.0,6,3,Adjusting RT...,043,Practice,2,2019_Aug_24_1244,MID,3.1.5,24.000405723382222,
SmallReward,2000,0,7,7,7,,96.43115628699888,None,2000,98.44943006001995,None,None,98.44943006001995,None,1.51,8,100.45833102602046,None,None,0,100.45833102602046,None,You did not win $0.20!,-5.4,2,7,0.49,0.0,nan,[0],0.0,6,3,,043,Practice,2,2019_Aug_24_1244,MID,3.1.5,24.000405723382222,
Triangle,2000,0,8,8,8,,102.43322800801252,None,2000,104.45101484801853,None,None,104.45101484801853,None,1.51,9,106.45123690701439,None,None,0,106.45123690701439,None,You did not win or lose anything!,-5.4,3,7,0.49,0.0,nan,[0],0.0,6,3,,043,Practice,2,2019_Aug_24_1244,MID,3.1.5,24.000405723382222,
LgReward,2000,0,9,9,9,,108.43182152701775,None,2000,110.45149215799756,None,None,110.45149215799756,None,1.51,10,112.4679364199983,None,None,0,112.4679364199983,None,You did not win $5.00!,-5.4,1,8,0.49,0.0,nan,"[0, 0]",0.0,6,3,,043,Practice,2,2019_Aug_24_1244,MID,3.1.5,24.000405723382222,
LgPun,2000,0,10,10,10,,114.43197730902466,None,2000,116.45290251300321,None,None,116.45290251300321,None,1.51,11,118.45281838302617,None,None,0,118.45281838302617,None,You lost $5.00!,-10.4,4,9,0.5,0.0,nan,[],0.0,9,3,Adjusting RT...,043,Practice,2,2019_Aug_24_1244,MID,3.1.5,24.000405723382222,
SmallPun,2000,0,11,11,11,,120.43233652302297,None,2000,122.43978783101193,None,None,122.43978783101193,None,1.5,12,124.45358484101598,None,None,0,124.45358484101598,None,You lost $0.20!,-10.6,5,10,0.5,0.0,nan,[0],0.0,9,3,,043,Practice,2,2019_Aug_24_1244,MID,3.1.5,24.000405723382222,
SmallReward,2000,0,12,12,12,,126.43259161201422,None,2000,128.43932698701974,None,None,128.43932698701974,None,1.5,13,130.47011483702227,None,None,0,130.47011483702227,None,You did not win $0.20!,-10.6,2,11,0.5,0.0,nan,"[0, 0]",0.0,9,3,,043,Practice,2,2019_Aug_24_1244,MID,3.1.5,24.000405723382222,
LgPun,2000,0,13,13,13,,132.43287668001722,None,2000,134.4365474000224,None,None,134.4365474000224,None,1.5,14,136.45358288500574,None,None,0,136.45358288500574,None,You lost $5.00!,-15.6,4,12,0.5,0.0,nan,[],0.0,12,3,Adjusting RT...,043,Practice,2,2019_Aug_24_1244,MID,3.1.5,24.000405723382222,
Triangle,2000,0,14,14,14,,138.4319658850145,None,2000,140.43650772800902,None,None,140.43650772800902,None,1.5,15,142.455662812019,None,None,0,142.455662812019,None,You did not win or lose anything!,-15.6,3,12,0.5,0.0,nan,[],0.0,12,3,,043,Practice,2,2019_Aug_24_1244,MID,3.1.5,24.000405723382222,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,043,Practice,2,2019_Aug_24_1244,MID,3.1.5,24.000405723382222,
