Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,probeResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,1500,0,0,0,0,TimeVersion7.csv,24.162329749990022,None,1500,26.16037809898262,None,None,26.16037809898262,None,1.5,1,27.664973863982596,None,None,0,27.664973863982596,None,You did not win $5.00!,0,1,1,0.5,0.0,nan,[0],0,0,3,,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
LgReward,4000,0,1,1,1,,29.64374459499959,None,4000,31.663362747000065,None,None,31.663362747000065,None,1.5,2,35.680083929997636,None,None,0,35.680083929997636,None,You did not win $5.00!,0,1,2,0.5,0.0,nan,"[0, 0]",0,0,3,,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
SmallReward,2500,0,2,2,2,,37.644380747980904,None,2500,39.66478350799298,None,None,39.66478350799298,None,1.5,3,42.184044256981,None,1,1,42.184044256981,None,You won $0.20!,0.2,2,3,0.5,33.33333333333333,0.34393188398098573,[],33.33333333333333,3,3,0.34393188398098573,Adjusting RT...,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
SmallReward,4000,0,3,3,3,,44.145182221982395,None,4000,46.165187641978264,None,None,46.165187641978264,None,1.5,4,50.18202163398382,None,None,0,50.18202163398382,None,You did not win $0.20!,0.2,2,4,0.5,25.0,0.34393188398098573,[0],33.33333333333333,3,3,,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
LgReward,2000,0,4,4,4,,52.14551514497725,None,2000,54.166311421984574,None,None,54.166311421984574,None,1.5,5,56.181706988980295,None,None,0,56.181706988980295,None,You did not win $5.00!,0.2,1,5,0.5,20.0,0.34393188398098573,"[0, 0]",33.33333333333333,3,3,,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
Triangle,3000,0,5,5,5,,58.14571028799401,None,3000,60.16687438398367,None,None,60.16687438398367,None,1.5,6,63.16802052297862,None,None,0,63.16802052297862,None,You did not win or lose anything!,0.2,3,5,0.5,16.666666666666664,0.34393188398098573,"[0, 0]",33.33333333333333,3,3,,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
SmallPun,1500,0,6,6,6,,65.14587409800151,None,1500,67.16762931499397,None,None,67.16762931499397,None,1.5,7,68.6678973629896,None,None,0,68.6678973629896,None,You lost $0.20!,0.0,5,6,0.5,14.285714285714285,0.34393188398098573,[],16.666666666666664,6,3,,Adjusting RT...,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
LgPun,2000,0,7,7,7,,70.64608017899445,None,2000,72.65285385897732,None,None,72.65285385897732,None,1.5,8,74.66835471900413,None,None,0,74.66835471900413,None,You lost $5.00!,-5.0,4,7,0.5,12.5,0.34393188398098573,[0],16.666666666666664,6,3,,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
LgReward,3000,0,8,8,8,,76.64657326199813,None,3000,78.65329334398848,None,None,78.65329334398848,None,1.5,9,81.67570228400291,None,None,0,81.67570228400291,None,You did not win $5.00!,-5.0,1,8,0.5,11.11111111111111,0.34393188398098573,"[0, 0]",16.666666666666664,6,3,,,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
LgPun,2000,0,9,9,9,,83.64707372599514,None,2000,85.65561788200284,None,None,85.65561788200284,None,1.5,10,87.67115863098297,None,1,1,87.67115863098297,None,You did not lose $5.00!,-5.0,4,9,0.5,20.0,0.3328685864980798,[],16.666666666666664,9,3,0.3218052890151739,Adjusting RT...,043,Scanner,1,2019_Aug_24_1246,MID,3.1.5,24.018650885586013,
