Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,90.17027419900114,None,2000,92.18520982199698,None,None,92.18520982199698,None,1.65,1,94.23411151800246,None,None,0,94.23411151800246,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,1,0.45982694999838714,0.8098269499983871,,,044,Practice,2,2019_Sep_07_1639,MID,3.1.5,60.09327269077148,
LgReward,2000,0,1,1,1,,96.30037714200444,None,2000,98.3345812690095,None,None,98.3345812690095,None,1.65,2,100.38459552399581,None,1,1,100.38459552399581,None,You won $5.00!,5,1,2,0.35,50.0,0.2615414539905032,"[0, 1]",0,0,3,None,,0.2615414539905032,0.2615414539905032,,044,Practice,2,2019_Sep_07_1639,MID,3.1.5,60.09327269077148,
SmallPun,2000,0,2,2,2,,102.43551941700571,None,2000,104.46864974399796,None,None,104.46864974399796,None,1.65,3,106.50198188300419,None,None,0,106.50198188300419,None,You lost $0.20!,4.8,5,3,0.38999999999999996,33.33333333333333,0.2615414539905032,[],33.33333333333333,3,3,None,,0.2615414539905032,,Adjusting RT...,044,Practice,2,2019_Sep_07_1639,MID,3.1.5,60.09327269077148,
LgPun,2000,0,3,3,3,,108.55239998099569,None,2000,110.58613557599892,None,None,110.58613557599892,None,1.61,4,112.61912049799867,None,1,1,112.61912049799867,None,You did not lose $5.00!,4.8,4,4,0.38999999999999996,50.0,0.26027159499790287,[1],33.33333333333333,3,3,None,,0.2590017360053025,0.2590017360053025,,044,Practice,2,2019_Sep_07_1639,MID,3.1.5,60.09327269077148,
Triangle,2000,0,4,4,4,,114.66906013600237,None,2000,116.70319938400644,None,None,116.70319938400644,None,1.61,5,118.73620417799975,None,None,0,118.73620417799975,None,You did not win or lose anything!,4.8,3,4,0.38999999999999996,40.0,0.26027159499790287,[1],33.33333333333333,3,3,None,,0.2590017360053025,,,044,Practice,2,2019_Sep_07_1639,MID,3.1.5,60.09327269077148,
LgReward,2000,0,5,5,5,,120.80313347600168,None,2000,122.83682312599558,None,None,122.83682312599558,None,1.61,6,124.88590187299997,None,1,1,124.88590187299997,None,You won $5.00!,9.8,1,5,0.38999999999999996,50.0,0.25854914666948997,"[1, 1]",33.33333333333333,3,3,None,,0.2551042500126641,0.2551042500126641,,044,Practice,2,2019_Sep_07_1639,MID,3.1.5,60.09327269077148,
SmallPun,2000,0,6,6,6,,126.92048697499558,None,2000,128.95387452699651,None,None,128.95387452699651,None,1.61,7,130.98674309800845,None,1,1,130.98674309800845,None,You did not lose $0.20!,9.8,5,6,0.36999999999999994,57.14285714285714,0.26976002200171934,[],66.66666666666666,6,3,None,,0.3033926479984075,0.3033926479984075,Adjusting RT...,044,Practice,2,2019_Sep_07_1639,MID,3.1.5,60.09327269077148,
SmallReward,2000,0,7,7,7,,133.03757509800198,None,2000,135.07054705799965,None,None,135.07054705799965,None,1.6300000000000001,8,137.12079860799713,None,1,1,137.12079860799713,None,You won $0.20!,10.0,2,7,0.36999999999999994,62.5,0.2824738460010849,[1],66.66666666666666,6,3,None,,0.33332914199854713,0.33332914199854713,,044,Practice,2,2019_Sep_07_1639,MID,3.1.5,60.09327269077148,
Triangle,2000,0,8,8,8,,139.17075200600084,None,2000,141.20462533799582,None,None,141.20462533799582,None,1.6300000000000001,9,143.2378138320055,None,1,1,143.2378138320055,None,You did not win or lose anything!,10.0,3,7,0.36999999999999994,66.66666666666666,0.28227808049996383,[1],66.66666666666666,6,3,None,,0.28129925299435854,0.28129925299435854,,044,Practice,2,2019_Sep_07_1639,MID,3.1.5,60.09327269077148,
LgReward,2000,0,9,9,9,,145.30469808100315,None,2000,147.33891033900727,None,None,147.33891033900727,None,1.6300000000000001,10,149.38825490500312,None,1,1,149.38825490500312,None,You won $5.00!,15.0,1,8,0.36999999999999994,70.0,0.28092664057164385,"[1, 1]",66.66666666666666,6,3,None,,0.27281800100172404,0.27281800100172404,,044,Practice,2,2019_Sep_07_1639,MID,3.1.5,60.09327269077148,
LgPun,2000,0,10,10,10,,151.42207036200853,None,2000,153.4554749050003,None,None,153.4554749050003,None,1.6300000000000001,11,155.48925940900517,None,1,1,155.48925940900517,None,You did not lose $5.00!,15.0,4,9,0.31999999999999995,72.72727272727273,0.2819179255002382,[],100.0,9,3,None,,0.28885692000039853,0.28885692000039853,Adjusting RT...,044,Practice,2,2019_Sep_07_1639,MID,3.1.5,60.09327269077148,
SmallPun,2000,0,11,11,11,,157.53897187300026,None,2000,159.5726874020038,None,None,159.5726874020038,None,1.6800000000000002,12,161.6073473400029,None,1,1,161.6073473400029,None,You did not lose $0.20!,15.0,5,10,0.31999999999999995,75.0,0.28334766944398226,[1],100.0,9,3,None,,0.29478562099393457,0.29478562099393457,,044,Practice,2,2019_Sep_07_1639,MID,3.1.5,60.09327269077148,
SmallReward,2000,0,12,12,12,,163.68915339499654,None,2000,165.72334494300594,None,None,165.72334494300594,None,1.6800000000000002,13,167.77264640100475,None,None,0,167.77264640100475,None,You did not win $0.20!,15.0,2,11,0.31999999999999995,69.23076923076923,0.28334766944398226,"[1, 0]",100.0,9,3,1,-0.0019889469986082986,0.31801105300139165,,,044,Practice,2,2019_Sep_07_1639,MID,3.1.5,60.09327269077148,
LgPun,2000,0,13,13,13,,169.8231795580068,None,2000,171.85680353399948,None,None,171.85680353399948,None,1.6800000000000002,14,173.88925486500375,None,None,0,173.88925486500375,None,You lost $5.00!,10.0,4,12,0.29999999999999993,64.28571428571429,0.28334766944398226,[],66.66666666666666,12,3,1,0.01803124599973671,0.31803124599973664,,Adjusting RT...,044,Practice,2,2019_Sep_07_1639,MID,3.1.5,60.09327269077148,
