Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,probeResp.rt,AdjRTmsg,feedback_resp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,2000,0,0,0,0,TimeVersion5.csv,34.08423965399561,None,2000,36.11840604498866,None,None,36.11840604498866,None,1.7000000000000002,1,38.156855267996434,None,None,0,38.156855267996434,None,You lost $0.20!,-0.2,5,1,0.29999999999999993,0.0,nan,[0],0,0,3,None,,,,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
LgReward,4000,0,1,1,1,,40.217969001998426,None,4000,42.25233449898951,None,None,42.25233449898951,None,1.7000000000000002,2,46.302956157989684,None,1,1,46.302956157989684,None,You won $5.00!,4.8,1,2,0.29999999999999993,50.0,0.26135277601133566,"[0, 1]",0,0,3,None,0.26135277601133566,0.26135277601133566,,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
SmallPun,3000,0,2,2,2,,48.35789173599915,None,3000,50.38639944999886,None,None,50.38639944999886,None,1.7000000000000002,3,53.420460200999514,None,1,1,53.420460200999514,None,You did not lose $0.20!,4.8,5,3,0.2799999999999999,66.66666666666666,0.2541114425039268,[],66.66666666666666,3,3,None,0.24687010899651796,0.24687010899651796,Adjusting RT...,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
SmallReward,2000,0,3,3,3,,55.47043097799178,None,2000,57.50363518399536,None,None,57.50363518399536,None,1.7200000000000002,4,59.55447178099712,None,None,0,59.55447178099712,None,You did not win $0.20!,4.8,2,4,0.2799999999999999,50.0,0.2541114425039268,[0],66.66666666666666,3,3,None,0.24687010899651796,,,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
LgPun,2000,0,4,4,4,,61.608535947991186,None,2000,63.638742061986704,None,None,63.638742061986704,None,1.7200000000000002,5,65.67134844699467,None,1,1,65.67134844699467,None,You did not lose $5.00!,4.8,4,5,0.2799999999999999,60.0,0.2503863553380749,"[0, 1]",66.66666666666666,3,3,None,0.24293618100637104,0.24293618100637104,,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
Triangle,2500,0,5,5,5,,67.7089571129909,None,2500,69.73870594499749,None,None,69.73870594499749,None,1.7200000000000002,6,72.2720597209991,None,1,1,72.2720597209991,None,You did not win or lose anything!,4.8,3,5,0.2799999999999999,66.66666666666666,0.2485899037528725,"[0, 1]",66.66666666666666,3,3,None,0.2432005489972653,0.2432005489972653,,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
SmallReward,2500,0,6,6,6,,74.32256014199811,None,2500,76.35682193399407,None,None,76.35682193399407,None,1.7200000000000002,7,78.92339517099026,None,1,1,78.92339517099026,None,You won $0.20!,5.0,2,6,0.2599999999999999,71.42857142857143,0.248245616001077,[],66.66666666666666,6,3,None,0.24686846499389503,0.24686846499389503,Adjusting RT...,,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
SmallReward,1500,0,7,7,7,,80.9740590559959,None,1500,83.00709189599729,None,None,83.00709189599729,None,1.7400000000000002,8,84.55695215398737,None,None,0,84.55695215398737,None,You did not win $0.20!,5.0,2,7,0.2599999999999999,62.5,0.248245616001077,[0],66.66666666666666,6,3,1,0.25713613498897747,,,-0.002863865011022426,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
LgReward,1500,0,8,8,8,,86.60717444498732,None,1500,88.64133257399953,None,None,88.64133257399953,None,1.7400000000000002,9,90.19152163299441,None,None,0,90.19152163299441,None,You did not win $5.00!,5.0,1,8,0.2599999999999999,55.55555555555556,0.248245616001077,"[0, 0]",66.66666666666666,6,3,1,0.2578810230095404,,,-0.002118976990459487,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
SmallPun,2000,0,9,9,9,,92.24375684499682,None,2000,94.27609637398564,None,None,94.27609637398564,None,1.7400000000000002,10,96.30895896899165,None,None,0,96.30895896899165,None,You lost $0.20!,4.8,5,9,0.2999999999999999,50.0,0.248245616001077,[],33.33333333333333,9,3,1,0.2916820710059254,,Adjusting RT...,-0.008317928994074464,,044,Scanner,1,2019_Sep_07_1643,MID,3.1.5,59.91576598558163,
