Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,fixationResp.rt,feedback_resp.rt,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,1500,0,0,0,0,TimeVersion7.csv,25.77358887599985,None,1500,27.807640382998216,None,None,27.807640382998216,None,1.73,1,29.35728073700011,None,None,0,29.35728073700011,None,You did not win $5.00!,0,1,1,0.2699999999999999,0.0,nan,[0],0,0,3,None,,,,,,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
LgReward,4000,0,1,1,1,,31.424097576993518,None,4000,33.4584719409977,None,1,33.4584719409977,None,1.73,2,37.508639440995466,None,None,0,37.508639440995466,None,You did not win $5.00!,0,1,2,0.2699999999999999,0.0,nan,"[0, 0]",0,0,3,1,0.4002754019998246,1.8425803139980417,0.13027540199982468,,,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
SmallReward,2500,0,2,2,2,,39.5595456749943,None,2500,41.593327158996544,None,None,41.593327158996544,None,1.73,3,44.15988695199485,None,None,0,44.15988695199485,None,You did not win $0.20!,0,2,3,0.3399999999999999,0.0,nan,[],0.0,3,3,1,0.3377720379974925,,-0.002227962002507411,Adjusting RT...,,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
SmallReward,4000,0,3,3,3,,46.22628122599417,None,4000,48.260453995993885,None,None,48.260453995993885,None,1.6600000000000001,4,52.31111991799844,None,None,0,52.31111991799844,None,You did not win $0.20!,0,2,4,0.3399999999999999,0.0,nan,[0],0.0,3,3,1,0.34678743299795306,,0.006787432997953147,,,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
LgReward,2000,0,4,4,4,,54.361811511997075,None,2000,56.395040867995704,None,None,56.395040867995704,None,1.6600000000000001,5,58.44509807599388,None,None,0,58.44509807599388,None,You did not win $5.00!,0,1,5,0.3399999999999999,0.0,nan,"[0, 0]",0.0,3,3,1,0.3643005880038253,,0.024300588003825396,,,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
Triangle,3000,0,5,5,5,,60.47860438600037,None,3000,62.51276831399446,None,None,62.51276831399446,None,1.6600000000000001,6,65.5457487599997,None,1,1,65.5457487599997,None,You did not win or lose anything!,0,3,5,0.3399999999999999,16.666666666666664,0.24129490400082432,"[0, 0]",0.0,3,3,None,0.24129490400082432,,,,0.24129490400082432,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
SmallPun,1500,0,6,6,6,,67.57923787999607,None,1500,69.61324758800038,None,None,69.61324758800038,None,1.6600000000000001,7,71.14598381499673,None,None,0,71.14598381499673,None,You lost $0.20!,-0.2,5,6,0.4099999999999999,14.285714285714285,0.24129490400082432,[],0.0,6,3,1,0.4195913789991754,,0.009591378999175504,Adjusting RT...,,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
LgPun,2000,0,7,7,7,,73.17969022899342,None,2000,75.21276943599514,None,None,75.21276943599514,None,1.59,8,77.2467362249954,None,1,1,77.2467362249954,None,You did not lose $5.00!,-0.2,4,7,0.4099999999999999,25.0,0.2498002250031277,[1],0.0,6,3,None,0.2583055460054311,,,,0.2583055460054311,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
LgReward,3000,0,8,8,8,,79.312553922995,None,3000,81.3303603059976,None,None,81.3303603059976,None,1.59,9,84.38053548499738,None,1,1,84.38053548499738,None,You won $5.00!,4.8,1,8,0.4099999999999999,33.33333333333333,0.26133302200226655,"[1, 1]",0.0,6,3,None,0.2843986160005443,,,,0.2843986160005443,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
LgPun,2000,0,9,9,9,,86.4138424720004,None,2000,88.44705692400021,None,None,88.44705692400021,None,1.59,10,90.48001432399906,None,1,1,90.48001432399906,None,You did not lose $5.00!,4.8,4,9,0.42999999999999994,40.0,0.2765066037518409,[],50.0,9,3,None,0.32202734900056385,,,Adjusting RT...,0.32202734900056385,046,Scanner,1,2019_Sep_06_1529,MID,3.1.5,59.79377521634407,
