Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgPun,1500,0,0,0,0,TimeVersion13.csv,23.790262640002766,None,1500,25.80729872500524,None,None,25.80729872500524,None,1.73,1,27.342595669004368,None,None,0,27.342595669004368,None,You lost $5.00!,-5,4,1,0.2699999999999999,0.0,nan,[0],0,0,3,1,-0.003281188000983093,0.2667188119990168,,,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
LgReward,2000,0,1,1,1,,29.423338596003305,None,2000,31.45799393600464,None,None,31.45799393600464,None,1.73,2,33.50696539900673,None,None,0,33.50696539900673,None,You did not win $5.00!,-5,1,2,0.2699999999999999,0.0,nan,"[0, 0]",0,0,3,1,0.027614605001872405,0.2976146050018723,,,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
Triangle,4000,0,2,2,2,,35.54072759700648,None,4000,37.57354889000271,None,None,37.57354889000271,None,1.73,3,41.60812735600484,None,None,0,41.60812735600484,None,You did not win or lose anything!,-5,3,2,0.2699999999999999,0.0,nan,"[0, 0]",0,0,3,1,0.02434249899670249,0.2943424989967024,,,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
LgPun,1500,0,3,3,3,,43.641751947005105,None,1500,45.674861886000144,None,None,45.674861886000144,None,1.73,4,47.208115601002646,None,None,0,47.208115601002646,None,You lost $5.00!,-10,4,3,0.3399999999999999,0.0,nan,[],0.0,3,3,1,0.11120790700078942,0.45120790700078933,Adjusting RT...,,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
LgReward,1500,0,4,4,4,,49.25836715000332,None,1500,51.28308413600462,None,None,51.28308413600462,None,1.6600000000000001,5,52.84149525900284,None,1,1,52.84149525900284,None,You won $5.00!,-5,1,4,0.3399999999999999,20.0,0.28509628300525947,[1],0.0,3,3,None,,0.28509628300525947,,0.28509628300525947,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
LgPun,2000,0,5,5,5,,54.891288673003146,None,2000,56.916958974004956,None,None,56.916958974004956,None,1.6600000000000001,6,58.9591275250059,None,None,0,58.9591275250059,None,You lost $5.00!,-10,4,5,0.3399999999999999,16.666666666666664,0.28509628300525947,"[1, 0]",0.0,3,3,1,0.008697704004589468,0.3486977040045894,,,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
Triangle,3000,0,6,6,6,,60.99305500500486,None,3000,63.02620408200164,None,None,63.02620408200164,None,1.6600000000000001,7,66.05874583000696,None,1,1,66.05874583000696,None,You did not win or lose anything!,-10,3,5,0.3399999999999999,28.57142857142857,0.27502967600230477,"[1, 0]",0.0,3,3,None,,0.26496306899935007,,0.26496306899935007,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
SmallReward,2000,0,7,7,7,,68.11891443000059,None,2000,70.15144924800552,None,None,70.15144924800552,None,1.6600000000000001,8,72.19327054400492,None,1,1,72.19327054400492,None,You won $0.20!,-9.8,2,6,0.3799999999999999,37.5,0.2808352850018612,[],33.33333333333333,6,3,None,,0.2924465030009742,Adjusting RT...,0.2924465030009742,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
Triangle,2000,0,8,8,8,,74.24323747800372,None,2000,76.27771916600614,None,None,76.27771916600614,None,1.62,9,78.31053598400467,None,1,1,78.31053598400467,None,You did not win or lose anything!,-9.8,3,6,0.3799999999999999,44.44444444444444,0.2836697445018217,[],33.33333333333333,6,3,None,,0.29217312300170306,,0.29217312300170306,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
SmallReward,2500,0,9,9,9,,80.37676802900387,None,2500,82.40286532500613,None,None,82.40286532500613,None,1.62,10,84.95360732900008,None,None,0,84.95360732900008,None,You did not win $0.20!,-9.8,2,7,0.3799999999999999,40.0,0.2836697445018217,[0],33.33333333333333,6,3,1,0.0032316360011463985,0.3832316360011463,,,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
Triangle,3500,0,10,10,10,,87.01125058100297,None,3500,89.03838691200508,None,None,89.03838691200508,None,1.62,11,92.57819798300625,None,1,1,92.57819798300625,None,You did not win or lose anything!,-9.8,3,7,0.3799999999999999,45.45454545454545,0.2846343794008135,[0],33.33333333333333,6,3,None,,0.28849291899678065,,0.28849291899678065,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
