Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,53.91942581901094,None,2000,55.93585910904221,None,None,55.93585910904221,None,1.65,1,57.995073261030484,None,1,1,0.21408119198167697,57.995073261030484,None,You won $0.20!,0.2,2,1,0.35,100.0,0.21408119198167697,[1],0,0,3,None,0.21408119198167697,,,9999,Practice,2,2019_Aug_31_0950,MID,3.1.5,59.975453954394766,
LgReward,2000,0,1,1,1,,60.061690199014265,None,2000,62.08713716000784,None,None,62.08713716000784,None,1.65,2,64.13741937401937,None,1,1,0.18875560903688893,64.13741937401937,None,You won $5.00!,5.2,1,2,0.35,100.0,0.20141840050928295,"[1, 1]",0,0,3,None,0.18875560903688893,,,9999,Practice,2,2019_Aug_31_0950,MID,3.1.5,59.975453954394766,
SmallPun,2000,0,2,2,2,,66.19488735904451,None,2000,68.22141449502669,None,None,68.22141449502669,None,1.65,3,70.26213349401951,None,1,1,0.24999308603582904,70.26213349401951,None,You did not lose $0.20!,5.2,5,3,0.3,100.0,0.21760996235146499,[],100.0,3,3,None,0.24999308603582904,Adjusting RT...,,9999,Practice,2,2019_Aug_31_0950,MID,3.1.5,59.975453954394766,
LgPun,2000,0,3,3,3,,72.29539285803912,None,2000,74.32177209603833,None,None,74.32177209603833,None,1.7,4,76.35476822900819,None,1,1,0.18929060001391917,76.35476822900819,None,You did not lose $5.00!,5.2,4,4,0.3,100.0,0.21053012176707853,[1],100.0,3,3,None,0.18929060001391917,,,9999,Practice,2,2019_Aug_31_0950,MID,3.1.5,59.975453954394766,
Triangle,2000,0,4,4,4,,78.39591413701419,None,2000,80.42349626304349,None,None,80.42349626304349,None,1.7,5,82.45630007702857,None,1,1,0.18075581401353702,82.45630007702857,None,You did not win or lose anything!,5.2,3,4,0.3,100.0,0.20457526021637024,[1],100.0,3,3,None,0.18075581401353702,,,9999,Practice,2,2019_Aug_31_0950,MID,3.1.5,59.975453954394766,
LgReward,2000,0,5,5,5,,84.5127103900304,None,2000,86.54039802600164,None,None,86.54039802600164,None,1.7,6,88.5907782020513,None,1,1,0.1873090139706619,88.5907782020513,None,You won $5.00!,10.2,1,5,0.3,100.0,0.20169755250875218,"[1, 1]",100.0,3,3,None,0.1873090139706619,,,9999,Practice,2,2019_Aug_31_0950,MID,3.1.5,59.975453954394766,
SmallPun,2000,0,6,6,6,,90.64649122505216,None,2000,92.6745912610204,None,None,92.6745912610204,None,1.7,7,94.70784005901078,None,1,1,0.19336808600928634,94.70784005901078,None,You did not lose $0.20!,10.2,5,6,0.25,100.0,0.2005076287231142,[],100.0,6,3,None,0.19336808600928634,Adjusting RT...,,9999,Practice,2,2019_Aug_31_0950,MID,3.1.5,59.975453954394766,
SmallReward,2000,0,7,7,7,,96.75770622101845,None,2000,98.77468479401432,None,None,98.77468479401432,None,1.75,8,100.83094301703386,None,None,0,,100.83094301703386,None,You did not win $0.20!,10.2,2,7,0.25,87.5,0.2005076287231142,[0],100.0,6,3,1,0.24281091702869162,,-0.00718908297130838,9999,Practice,2,2019_Aug_31_0950,MID,3.1.5,59.975453954394766,
Triangle,2000,0,8,8,8,,102.8641117560328,None,2000,104.89247494703159,None,None,104.89247494703159,None,1.75,9,106.93105484201806,None,1,1,0.18596599798183888,106.93105484201806,None,You did not win or lose anything!,10.2,3,7,0.25,88.88888888888889,0.19868992488045478,[0],100.0,6,3,None,0.18596599798183888,,,9999,Practice,2,2019_Aug_31_0950,MID,3.1.5,59.975453954394766,
LgReward,2000,0,9,9,9,,108.97608260804554,None,2000,111.00972300802823,None,None,111.00972300802823,None,1.75,10,113.0663163580466,None,1,1,0.16483717103255913,113.0663163580466,None,You won $5.00!,15.2,1,8,0.25,90.0,0.19492850778624415,"[0, 1]",100.0,6,3,None,0.16483717103255913,,,9999,Practice,2,2019_Aug_31_0950,MID,3.1.5,59.975453954394766,
