Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur.1,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,Unnamed: 47,Unnamed: 46,Unnamed: 44,Unnamed: 45,Unnamed: 7,Unnamed: 43
LgReward,1500.0,0.0,0.0,0.0,0.0,TimeVersion3.csv,36.73439798199979,None,1500.0,38.752107197000434,None,None,38.752107197000434,None,1.64,1.0,40.302339345998924,None,None,0.0,40.302339345998924,None,You did not win $5.00!,0.0,1.0,1.0,0.36,0.0,,[0],0.0,0.0,3.0,1,-0.008065310998063069,0.3519346890019369,,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
Triangle,2500.0,0.0,1.0,1.0,1.0,,42.35269726000115,None,2500.0,44.386297954999456,None,None,44.386297954999456,None,1.64,2.0,46.91878677000204,None,1,1.0,46.91878677000204,None,You did not win or lose anything!,0.0,3.0,1.0,0.36,50.0,0.2855443239968736,[0],0.0,0.0,3.0,None,,0.2855443239968736,0.2855443239968736,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
SmallPun,1500.0,0.0,2.0,2.0,2.0,,48.96934219700052,None,1500.0,51.003003144000104,None,None,51.003003144000104,None,1.64,3.0,52.5364748710017,None,1,1.0,52.5364748710017,None,You did not lose $0.20!,0.0,5.0,2.0,0.36,66.66666666666666,0.275207048498487,"[0, 1]",0.0,0.0,3.0,None,,0.2648697730001004,0.2648697730001004,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
LgPun,2500.0,0.0,3.0,3.0,3.0,,54.58624640400012,None,2500.0,56.620295619999524,None,None,56.620295619999524,None,1.64,4.0,59.15334821899887,None,1,1.0,59.15334821899887,None,You did not lose $5.00!,0.0,4.0,3.0,0.34,75.0,0.26784337599868496,[],66.66666666666666,3.0,3.0,None,,0.25311603099908103,0.25311603099908103,Adjusting RT...,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
Triangle,1500.0,0.0,4.0,4.0,4.0,,61.20369520199893,None,1500.0,63.2372557910021,None,None,63.2372557910021,None,1.66,5.0,64.76994562600157,None,1,1.0,64.76994562600157,None,You did not win or lose anything!,0.0,3.0,3.0,0.34,80.0,0.2792590372491759,[],66.66666666666666,3.0,3.0,None,,0.3135060210006486,0.3135060210006486,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
SmallReward,2000.0,0.0,5.0,5.0,5.0,,66.83778957200046,None,2000.0,68.87092695799947,None,None,68.87092695799947,None,1.66,6.0,70.92070905000219,None,1,1.0,70.92070905000219,None,You won $0.20!,0.2,2.0,4.0,0.34,83.33333333333334,0.27915539579989856,[1],66.66666666666666,3.0,3.0,None,,0.27874083000278915,0.27874083000278915,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
SmallPun,3500.0,0.0,6.0,6.0,6.0,,72.95446996800092,None,3500.0,74.98804221200044,None,None,74.98804221200044,None,1.66,7.0,78.52082136100216,None,1,1.0,78.52082136100216,None,You did not lose $0.20!,0.2,5.0,5.0,0.34,85.71428571428571,0.279391167833334,"[1, 1]",66.66666666666666,3.0,3.0,None,,0.28057002800051123,0.28057002800051123,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
Triangle,1500.0,0.0,7.0,7.0,7.0,,80.57115197800158,None,1500.0,82.60495455400087,None,None,82.60495455400087,None,1.66,8.0,84.13873948100081,None,None,0.0,84.13873948100081,None,You did not win or lose anything!,0.2,3.0,5.0,0.34,75.0,0.279391167833334,"[1, 1]",66.66666666666666,3.0,3.0,1,0.05401967600118951,0.3940196760011895,,,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
SmallReward,1500.0,0.0,8.0,8.0,8.0,,86.20515348399931,None,1500.0,88.23916245800136,None,None,88.23916245800136,None,1.66,9.0,89.77931463500136,None,1,1.0,89.77931463500136,None,You won $0.20!,0.4,2.0,6.0,0.30999999999999994,77.7777777777778,0.2754983035717617,[],83.33333333333333,6.0,3.0,None,,0.25214111800232786,0.25214111800232786,Adjusting RT...,,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
LgReward,2000.0,0.0,9.0,9.0,9.0,,91.83855601200048,None,2000.0,93.86171298000043,None,1,93.86171298000043,None,1.69,10.0,95.9226196540003,None,1,1.0,95.9226196540003,None,You won $5.00!,5.4,1.0,7.0,0.30999999999999994,80.0,0.2729143161254797,[1],83.33333333333333,6.0,3.0,None,,0.2548264040015056,0.2548264040015056,,1.2067730620001385,1,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,,,,,,
