cue,probe,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,jitter,fixationResp.keys,jitterTarget,feedbackDur,rt_list,Trial counter,probeResp.keys,probeResp.corr,probeResp.rt,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc,meanrt,fixationResp.rt,participant,session,PracticeRT,date,expName,psychopyVersion,frameRate,
images/LoseBig.BMP,images/LoseProbe.BMP,LoseBig,0,0,0,0,3.531,None,0.257,1.5,[0.2246936640003696],1,space,1,0.2246936640003696,You did not lose $5.00!,0,4,1,0.5,100.0,0.2246936640003696,,,001,.5,2019_Apr_18_1627,MID,3.0.7,60.68457395303058,
images/WinSmall.BMP,images/WinProbe.BMP,WinSmall,0,1,1,4,2.454,None,0.46,1.5,[0.2246936640003696],2,None,0,,You did not win $0.20!,0,2,2,0.5,50.0,0.2246936640003696,,,001,.5,2019_Apr_18_1627,MID,3.0.7,60.68457395303058,
images/LoseSmall.BMP,images/LoseProbe.BMP,LoseSmall,0,2,2,1,2.087,space,0.211,1.5,"[0.2246936640003696, 0.23659041698556393]",3,space,1,0.23659041698556393,You did not lose $0.20!,0,5,3,0.48,66.66666666666666,0.23064204049296677,0.4358460379880853,,001,.5,2019_Apr_18_1627,MID,3.0.7,60.68457395303058,
images/Neutral.BMP,images/NeutralProbe.BMP,Neutral,0,3,3,2,2.12,None,0.344,1.52,"[0.2246936640003696, 0.23659041698556393, 0.30423987400718033]",4,space,1,0.30423987400718033,You did not win or lose anything!,0,3,3,0.48,75.0,0.2551746516643713,,,001,.5,2019_Apr_18_1627,MID,3.0.7,60.68457395303058,
images/WinBig.BMP,images/WinProbe.BMP,WinBig,0,4,4,3,3.559,None,0.41,1.52,"[0.2246936640003696, 0.23659041698556393, 0.30423987400718033]",5,None,0,,You did not win $5.00!,0,1,4,0.48,60.0,0.2551746516643713,,,001,.5,2019_Apr_18_1627,MID,3.0.7,60.68457395303058,
images/Neutral.BMP,images/NeutralProbe.BMP,Neutral,1,0,5,2,2.074,None,0.49,1.52,"[0.2246936640003696, 0.23659041698556393, 0.30423987400718033]",6,None,0,,You did not win or lose anything!,0,3,4,0.48,50.0,0.2551746516643713,,,001,.5,2019_Apr_18_1627,MID,3.0.7,60.68457395303058,
images/WinSmall.BMP,images/WinProbe.BMP,WinSmall,1,1,6,4,2.147,None,0.442,1.52,"[0.2246936640003696, 0.23659041698556393, 0.30423987400718033]",7,None,0,,You did not win $0.20!,0,2,5,0.48,42.857142857142854,0.2551746516643713,,,001,.5,2019_Apr_18_1627,MID,3.0.7,60.68457395303058,
images/WinBig.BMP,images/WinProbe.BMP,WinBig,1,2,7,3,1.506,None,0.211,1.52,"[0.2246936640003696, 0.23659041698556393, 0.30423987400718033, 0.2863754130084999]",8,space,1,0.2863754130084999,You won $5.00!,5,1,6,0.43,50.0,0.26297484200040344,,,001,.5,2019_Apr_18_1627,MID,3.0.7,60.68457395303058,
images/LoseBig.BMP,images/LoseProbe.BMP,LoseBig,1,3,8,0,2.8,None,0.221,1.57,"[0.2246936640003696, 0.23659041698556393, 0.30423987400718033, 0.2863754130084999, 0.31756931997369975]",9,space,1,0.31756931997369975,You did not lose $5.00!,5,4,7,0.43,55.55555555555556,0.2738937375950627,,,001,.5,2019_Apr_18_1627,MID,3.0.7,60.68457395303058,
images/LoseSmall.BMP,images/LoseProbe.BMP,LoseSmall,1,4,9,1,3.207,space,0.41,1.57,"[0.2246936640003696, 0.23659041698556393, 0.30423987400718033, 0.2863754130084999, 0.31756931997369975]",10,None,0,,You lost $0.20!,4.8,5,8,0.43,50.0,0.2738937375950627,2.8193564789835364,,001,.5,2019_Apr_18_1627,MID,3.0.7,60.68457395303058,
