TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,run,trial_order
2,1,0.2104649840039201,,ad60bb,2,practice
1,1,0.2066992989857681,,ad60bb,2,practice
5,1,0.2490428159944713,,ad60bb,2,practice
4,1,0.21144439600175247,,ad60bb,2,practice
3,1,0.24929819197859615,,ad60bb,2,practice
1,1,0.21023528598016128,,ad60bb,2,practice
5,1,0.22534840798471123,,ad60bb,2,practice
2,1,0.20934630098054186,,ad60bb,2,practice
3,0,[],,ad60bb,2,practice
1,0,[],,ad60bb,2,practice
4,1,0.18820321600651368,,ad60bb,2,practice
5,0,[],,ad60bb,2,practice
2,1,0.1822767510311678,,ad60bb,2,practice
4,0,[],,ad60bb,2,practice
3,1,0.19517490197904408,,ad60bb,2,practice
