Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,23.908654453989584,None,2000,25.92680797498906,None,None,25.92680797498906,None,1.65,1,27.97622577502625,None,1,1,0.2104649840039201,27.97622577502625,None,You won $0.20!,0.2,2,1,0.35,100.0,0.2104649840039201,[1],0,0,3,None,0.2104649840039201,,,ad60bb,Practice,2,2019_Aug_31_0947,MID,3.1.5,60.1770829722929,
LgReward,2000,0,1,1,1,,30.043526555993594,None,2000,32.07761959999334,None,None,32.07761959999334,None,1.65,2,34.11181738600135,None,1,1,0.2066992989857681,34.11181738600135,None,You won $5.00!,5.2,1,2,0.35,100.0,0.2085821414948441,"[1, 1]",0,0,3,None,0.2066992989857681,,,ad60bb,Practice,2,2019_Aug_31_0947,MID,3.1.5,60.1770829722929,
SmallPun,2000,0,2,2,2,,36.15050012199208,None,2000,38.17751255002804,None,None,38.17751255002804,None,1.65,3,40.21259870502399,None,1,1,0.2490428159944713,40.21259870502399,None,You did not lose $0.20!,5.2,5,3,0.3,100.0,0.22206903299471983,[],100.0,3,3,None,0.2490428159944713,Adjusting RT...,,ad60bb,Practice,2,2019_Aug_31_0947,MID,3.1.5,60.1770829722929,
LgPun,2000,0,3,3,3,,42.251075769017916,None,2000,44.27877496002475,None,None,44.27877496002475,None,1.7,4,46.31316279998282,None,1,1,0.21144439600175247,46.31316279998282,None,You did not lose $5.00!,5.2,4,4,0.3,100.0,0.219412873746478,[1],100.0,3,3,None,0.21144439600175247,,,ad60bb,Practice,2,2019_Aug_31_0947,MID,3.1.5,60.1770829722929,
Triangle,2000,0,4,4,4,,48.35139500099467,None,2000,50.37967613898218,None,None,50.37967613898218,None,1.7,5,52.413344544009306,None,1,1,0.24929819197859615,52.413344544009306,None,You did not win or lose anything!,5.2,3,4,0.3,100.0,0.22538993739290164,[1],100.0,3,3,None,0.24929819197859615,,,ad60bb,Practice,2,2019_Aug_31_0947,MID,3.1.5,60.1770829722929,
LgReward,2000,0,5,5,5,,54.4643023230019,None,2000,56.4977029900183,None,None,56.4977029900183,None,1.7,6,58.54737550299615,None,1,1,0.21023528598016128,58.54737550299615,None,You won $5.00!,10.2,1,5,0.3,100.0,0.2228641621574449,"[1, 1]",100.0,3,3,None,0.21023528598016128,,,ad60bb,Practice,2,2019_Aug_31_0947,MID,3.1.5,60.1770829722929,
SmallPun,2000,0,6,6,6,,60.58555625600275,None,2000,62.61417632002849,None,None,62.61417632002849,None,1.7,7,64.64728293102235,None,1,1,0.22534840798471123,64.64728293102235,None,You did not lose $0.20!,10.2,5,6,0.25,100.0,0.22321905441848294,[],100.0,6,3,None,0.22534840798471123,Adjusting RT...,,ad60bb,Practice,2,2019_Aug_31_0947,MID,3.1.5,60.1770829722929,
SmallReward,2000,0,7,7,7,,66.69757398602087,None,2000,68.73191012803,None,None,68.73191012803,None,1.75,8,70.78226628998527,None,1,1,0.20934630098054186,70.78226628998527,None,You won $0.20!,10.399999999999999,2,7,0.25,100.0,0.2214849602387403,[1],100.0,6,3,None,0.20934630098054186,,,ad60bb,Practice,2,2019_Aug_31_0947,MID,3.1.5,60.1770829722929,
Triangle,2000,0,8,8,8,,72.83634559100028,None,2000,74.8665932409931,None,None,74.8665932409931,None,1.75,9,76.8989910610253,None,None,0,,76.8989910610253,None,You did not win or lose anything!,10.399999999999999,3,7,0.25,88.88888888888889,0.2214849602387403,[1],100.0,6,3,None,0.20934630098054186,,,ad60bb,Practice,2,2019_Aug_31_0947,MID,3.1.5,60.1770829722929,
LgReward,2000,0,9,9,9,,78.9494116359856,None,2000,80.98378491401672,None,None,80.98378491401672,None,1.75,10,83.03364486800274,None,None,0,,83.03364486800274,None,You did not win $5.00!,10.399999999999999,1,8,0.25,80.0,0.2214849602387403,"[1, 0]",100.0,6,3,None,0.20934630098054186,,,ad60bb,Practice,2,2019_Aug_31_0947,MID,3.1.5,60.1770829722929,
