TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,run,trial_order
2,1,0.234810448018834,,ad_60hz,2,practice
1,1,0.220775242021773,,ad_60hz,2,practice
5,1,0.2310439869761467,,ad_60hz,2,practice
4,1,0.2432942179730162,,ad_60hz,2,practice
3,1,0.2554050260223448,,ad_60hz,2,practice
1,0,[],,ad_60hz,2,practice
5,0,[],,ad_60hz,2,practice
2,1,0.2427010370302014,,ad_60hz,2,practice
3,0,[],,ad_60hz,2,practice
1,0,[],,ad_60hz,2,practice
4,1,0.23276957700727507,,ad_60hz,2,practice
5,1,0.234538281976711,,ad_60hz,2,practice
2,1,0.23805819201515988,,ad_60hz,2,practice
4,0,[],,ad_60hz,2,practice
3,0,[],,ad_60hz,2,practice
