TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,run,trial_order
2,1,0.24732258002040908,,adisbb,2,practice
1,1,0.23348833597265184,,adisbb,2,practice
5,1,0.23242056200979277,,adisbb,2,practice
4,1,0.24949814402498305,,adisbb,2,practice
3,1,0.2329519339837134,,adisbb,2,practice
1,0,[],,adisbb,2,practice
5,1,0.1997853320208378,,adisbb,2,practice
2,1,0.23289237695280463,,adisbb,2,practice
3,1,0.22363368002697825,,adisbb,2,practice
1,1,0.22016500000609085,,adisbb,2,practice
4,1,0.14386177604319528,,adisbb,2,practice
5,1,0.17570938199060038,,adisbb,2,practice
2,0,[],,adisbb,2,practice
4,0,[],,adisbb,2,practice
3,0,[],,adisbb,2,practice
