Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,26.276093936990947,None,2000,28.276580880978145,None,None,28.276580880978145,None,1.65,1,30.333305943990126,None,1,1,0.24732258002040908,30.333305943990126,None,You won $0.20!,0.2,2,1,0.35,100.0,0.24732258002040908,[1],0,0,3,None,0.24732258002040908,,,adisbb,Practice,2,2019_Aug_31_0955,MID,3.1.5,59.90301306852305,
LgReward,2000,0,1,1,1,,32.39565399498679,None,2000,34.4277944379719,None,None,34.4277944379719,None,1.65,2,36.4842867719708,None,1,1,0.23348833597265184,36.4842867719708,None,You won $5.00!,5.2,1,2,0.35,100.0,0.24040545799653046,"[1, 1]",0,0,3,None,0.23348833597265184,,,adisbb,Practice,2,2019_Aug_31_0955,MID,3.1.5,59.90301306852305,
SmallPun,2000,0,2,2,2,,38.517435543995816,None,2000,40.54448938497808,None,None,40.54448938497808,None,1.65,3,42.58422029396752,None,1,1,0.23242056200979277,42.58422029396752,None,You did not lose $0.20!,5.2,5,3,0.3,100.0,0.23774382600095123,[],100.0,3,3,None,0.23242056200979277,Adjusting RT...,,adisbb,Practice,2,2019_Aug_31_0955,MID,3.1.5,59.90301306852305,
LgPun,2000,0,3,3,3,,44.63468723697588,None,2000,46.66241402900778,None,None,46.66241402900778,None,1.7,4,48.70113271800801,None,1,1,0.24949814402498305,48.70113271800801,None,You did not lose $5.00!,5.2,4,4,0.3,100.0,0.24068240550695919,[1],100.0,3,3,None,0.24949814402498305,,,adisbb,Practice,2,2019_Aug_31_0955,MID,3.1.5,59.90301306852305,
Triangle,2000,0,4,4,4,,50.75192575098481,None,2000,52.78028586698929,None,None,52.78028586698929,None,1.7,5,54.814804062014446,None,1,1,0.2329519339837134,54.814804062014446,None,You did not win or lose anything!,5.2,3,4,0.3,100.0,0.23913631120231002,[1],100.0,3,3,None,0.2329519339837134,,,adisbb,Practice,2,2019_Aug_31_0955,MID,3.1.5,59.90301306852305,
LgReward,2000,0,5,5,5,,56.88037714996608,None,2000,58.91387886699522,None,None,58.91387886699522,None,1.7,6,60.9639730110066,None,None,0,,60.9639730110066,None,You did not win $5.00!,5.2,1,5,0.3,83.33333333333334,0.23913631120231002,"[1, 0]",100.0,3,3,1,0.3159913920215331,,0.015991392021533102,adisbb,Practice,2,2019_Aug_31_0955,MID,3.1.5,59.90301306852305,
SmallPun,2000,0,6,6,6,,63.00212795601692,None,2000,65.0309388890164,None,None,65.0309388890164,None,1.7,7,67.06498333596392,None,1,1,0.1997853320208378,67.06498333596392,None,You did not lose $0.20!,5.2,5,6,0.27,85.71428571428571,0.23257781467206465,[],83.33333333333333,6,3,None,0.1997853320208378,Adjusting RT...,,adisbb,Practice,2,2019_Aug_31_0955,MID,3.1.5,59.90301306852305,
SmallReward,2000,0,7,7,7,,69.1149506099755,None,2000,71.1484180400148,None,None,71.1484180400148,None,1.73,8,73.19887803599704,None,1,1,0.23289237695280463,73.19887803599704,None,You won $0.20!,5.4,2,7,0.27,87.5,0.2326227521407418,[1],83.33333333333333,6,3,None,0.23289237695280463,,,adisbb,Practice,2,2019_Aug_31_0955,MID,3.1.5,59.90301306852305,
Triangle,2000,0,8,8,8,,75.2369110279833,None,2000,77.26614117599092,None,None,77.26614117599092,None,1.73,9,79.29910355299944,None,1,1,0.22363368002697825,79.29910355299944,None,You did not win or lose anything!,5.4,3,7,0.27,88.88888888888889,0.23149911812652135,[1],83.33333333333333,6,3,None,0.22363368002697825,,,adisbb,Practice,2,2019_Aug_31_0955,MID,3.1.5,59.90301306852305,
LgReward,2000,0,9,9,9,,81.34954089898383,None,2000,83.38354825600982,None,None,83.38354825600982,None,1.73,10,85.43356840196066,None,1,1,0.22016500000609085,85.43356840196066,None,You won $5.00!,10.4,1,8,0.27,90.0,0.23023977166869575,"[1, 1]",83.33333333333333,6,3,None,0.22016500000609085,,,adisbb,Practice,2,2019_Aug_31_0955,MID,3.1.5,59.90301306852305,
