TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,run,trial_order
2,1,0.2583959240000695,,adtst1,2,practice
1,1,0.24480316502740607,,adtst1,2,practice
5,1,0.2540650439914316,,adtst1,2,practice
4,0,[],,adtst1,2,practice
3,1,0.2209809739724733,,adtst1,2,practice
1,0,[],,adtst1,2,practice
5,0,[],,adtst1,2,practice
2,1,0.265912368951831,,adtst1,2,practice
3,0,[],,adtst1,2,practice
1,0,[],,adtst1,2,practice
4,1,0.24778786901151761,,adtst1,2,practice
5,1,0.24380505294539034,,adtst1,2,practice
2,0,[],,adtst1,2,practice
4,1,0.2409707609913312,,adtst1,2,practice
3,0,[],,adtst1,2,practice
