Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,19.64386905299034,None,2000,21.660853158973623,None,None,21.660853158973623,None,1.65,1,23.715349533013068,None,1,1,0.237053785007447,23.715349533013068,None,You won $0.20!,0.2,2,1,0.35,100.0,0.237053785007447,[1],0,0,3,None,0.237053785007447,,,adtst2,Practice,2,2019_Aug_31_0850,MID,3.1.5,60.11815513417696,
LgReward,2000,0,1,1,1,,25.77819731796626,None,2000,27.811636596976314,None,None,27.811636596976314,None,1.65,2,29.862597191007808,None,1,1,0.2418279509874992,29.862597191007808,None,You won $5.00!,5.2,1,2,0.35,100.0,0.2394408679974731,"[1, 1]",0,0,3,None,0.2418279509874992,,,adtst2,Practice,2,2019_Aug_31_0850,MID,3.1.5,60.11815513417696,
SmallPun,2000,0,2,2,2,,31.899224065011367,None,2000,33.928540829976555,None,None,33.928540829976555,None,1.65,3,35.96516238799086,None,None,0,,35.96516238799086,None,You lost $0.20!,5.0,5,3,0.32999999999999996,66.66666666666666,0.2394408679974731,[],66.66666666666666,3,3,1,0.3204320180066861,Adjusting RT...,-0.009567981993313879,adtst2,Practice,2,2019_Aug_31_0850,MID,3.1.5,60.11815513417696,
LgPun,2000,0,3,3,3,,37.99872332595987,None,2000,40.02983625198249,None,None,40.02983625198249,None,1.67,4,42.066062168974895,None,1,1,0.24633253103820607,42.066062168974895,None,You did not lose $5.00!,5.0,4,4,0.32999999999999996,75.0,0.24173808901105076,[1],66.66666666666666,3,3,None,0.24633253103820607,,,adtst2,Practice,2,2019_Aug_31_0850,MID,3.1.5,60.11815513417696,
Triangle,2000,0,4,4,4,,44.115710966987535,None,2000,46.146817984001245,None,None,46.146817984001245,None,1.67,5,48.180974880000576,None,1,1,0.22742974199354649,48.180974880000576,None,You did not win or lose anything!,5.0,3,4,0.32999999999999996,80.0,0.2381610022566747,[1],66.66666666666666,3,3,None,0.22742974199354649,,,adtst2,Practice,2,2019_Aug_31_0850,MID,3.1.5,60.11815513417696,
LgReward,2000,0,5,5,5,,50.24856753600761,None,2000,52.281474065966904,None,None,52.281474065966904,None,1.67,6,54.33431046595797,None,1,1,0.25010619102977216,54.33431046595797,None,You won $5.00!,10.0,1,5,0.32999999999999996,83.33333333333334,0.24055004001129418,"[1, 1]",66.66666666666666,3,3,None,0.25010619102977216,,,adtst2,Practice,2,2019_Aug_31_0850,MID,3.1.5,60.11815513417696,
SmallPun,2000,0,6,6,6,,56.381982894963585,None,2000,58.41562502097804,None,None,58.41562502097804,None,1.67,7,60.44962421996752,None,1,1,0.22280202398542315,60.44962421996752,None,You did not lose $0.20!,10.0,5,6,0.29999999999999993,85.71428571428571,0.23759203734031567,[],83.33333333333333,6,3,None,0.22280202398542315,Adjusting RT...,,adtst2,Practice,2,2019_Aug_31_0850,MID,3.1.5,60.11815513417696,
SmallReward,2000,0,7,7,7,,62.51558418897912,None,2000,64.54995918297209,None,None,64.54995918297209,None,1.7000000000000002,8,66.59886197600281,None,1,1,0.23343558597844094,66.59886197600281,None,You won $0.20!,10.2,2,7,0.29999999999999993,87.5,0.23699825857433357,[1],83.33333333333333,6,3,None,0.23343558597844094,,,adtst2,Practice,2,2019_Aug_31_0850,MID,3.1.5,60.11815513417696,
Triangle,2000,0,8,8,8,,68.63582695799414,None,2000,70.66752217698377,None,None,70.66752217698377,None,1.7000000000000002,9,72.70322006195784,None,1,1,0.24113121698610485,72.70322006195784,None,You did not win or lose anything!,10.2,3,7,0.29999999999999993,88.88888888888889,0.23751487837580498,[1],83.33333333333333,6,3,None,0.24113121698610485,,,adtst2,Practice,2,2019_Aug_31_0850,MID,3.1.5,60.11815513417696,
LgReward,2000,0,9,9,9,,74.76771143695805,None,2000,76.78420380997704,None,None,76.78420380997704,None,1.7000000000000002,10,78.83558789000381,None,1,1,0.2286806200281717,78.83558789000381,None,You won $5.00!,15.2,1,8,0.29999999999999993,90.0,0.23653329411495683,"[1, 1]",83.33333333333333,6,3,None,0.2286806200281717,,,adtst2,Practice,2,2019_Aug_31_0850,MID,3.1.5,60.11815513417696,
LgPun,2000,0,10,10,10,,80.87103672599187,None,2000,82.90202606498497,None,None,82.90202606498497,None,1.7000000000000002,11,84.93675081199035,None,1,1,0.22361359803471714,84.93675081199035,None,You did not lose $5.00!,15.2,4,9,0.24999999999999994,90.9090909090909,0.23524132450693286,[],100.0,9,3,None,0.22361359803471714,Adjusting RT...,,adtst2,Practice,2,2019_Aug_31_0850,MID,3.1.5,60.11815513417696,
SmallPun,2000,0,11,11,11,,86.9695970499888,None,2000,89.00302946701413,None,None,89.00302946701413,None,1.75,12,91.03716588800307,None,None,0,,91.03716588800307,None,You lost $0.20!,15.0,5,10,0.24999999999999994,83.33333333333334,0.23524132450693286,[0],100.0,9,3,1,0.24854084203252563,,-0.0014591579674743116,adtst2,Practice,2,2019_Aug_31_0850,MID,3.1.5,60.11815513417696,
