Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,126.13607132202014,None,2000,128.1684005089919,None,None,128.1684005089919,None,1.65,1,130.21347098599654,None,None,0,130.21347098599654,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,None,,,,,adtst_scanner,Practice,2,2019_Aug_31_0855,MID,3.1.5,30.005866836119015,
LgReward,2000,0,1,1,1,,132.27843386802124,None,2000,134.30337478400907,None,None,134.30337478400907,None,1.65,2,136.34571056702407,None,None,0,136.34571056702407,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,None,,,,,adtst_scanner,Practice,2,2019_Aug_31_0855,MID,3.1.5,30.005866836119015,
SmallPun,2000,0,2,2,2,,138.40850117400987,None,2000,140.4240667319973,None,None,140.4240667319973,None,1.65,3,142.47115732298698,None,None,0,142.47115732298698,None,You lost $0.20!,-0.2,5,3,0.42,0.0,nan,[],0.0,3,3,1,0.42111180898966266,Adjusting RT...,0.001111808989662677,,adtst_scanner,Practice,2,2019_Aug_31_0855,MID,3.1.5,30.005866836119015,
LgPun,2000,0,3,3,3,,144.4760665119975,None,2000,146.4862743950216,None,None,146.4862743950216,None,1.58,4,148.53758298303,None,1,1,148.53758298303,None,You did not lose $5.00!,-0.2,4,4,0.42,25.0,0.28824823698960245,[1],0.0,3,3,None,0.28824823698960245,,,0.28824823698960245,adtst_scanner,Practice,2,2019_Aug_31_0855,MID,3.1.5,30.005866836119015,
Triangle,2000,0,4,4,4,,150.60975740500726,None,2000,152.62115959002404,None,None,152.62115959002404,None,1.58,5,154.67243340198183,None,1,1,154.67243340198183,None,You did not win or lose anything!,-0.2,3,4,0.42,40.0,0.29985570602002554,[1],0.0,3,3,None,0.3114631750504486,,,0.3114631750504486,adtst_scanner,Practice,2,2019_Aug_31_0855,MID,3.1.5,30.005866836119015,
LgReward,2000,0,5,5,5,,156.74413383798674,None,2000,158.75607325701276,None,None,158.75607325701276,None,1.58,6,160.81528106500627,None,1,1,160.81528106500627,None,You won $5.00!,4.8,1,5,0.42,50.0,0.30041452367246774,"[1, 1]",0.0,3,3,None,0.3015321589773521,,,0.3015321589773521,adtst_scanner,Practice,2,2019_Aug_31_0855,MID,3.1.5,30.005866836119015,
SmallPun,2000,0,6,6,6,,162.84233819600195,None,2000,164.85869397898205,None,None,164.85869397898205,None,1.58,7,166.89974407001864,None,1,1,166.89974407001864,None,You did not lose $0.20!,4.8,5,6,0.44,57.14285714285714,0.30458422625088133,[],50.0,6,3,None,0.31709333398612216,Adjusting RT...,,0.31709333398612216,adtst_scanner,Practice,2,2019_Aug_31_0855,MID,3.1.5,30.005866836119015,
SmallReward,2000,0,7,7,7,,168.91178942500846,None,2000,170.92749925801763,None,None,170.92749925801763,None,1.56,8,172.98089881101623,None,1,1,172.98089881101623,None,You won $0.20!,5.0,2,7,0.44,62.5,0.2954422968090512,[1],50.0,6,3,None,0.2588745790417306,,,0.2588745790417306,adtst_scanner,Practice,2,2019_Aug_31_0855,MID,3.1.5,30.005866836119015,
Triangle,2000,0,8,8,8,,175.0439341230085,None,2000,177.0598180689849,None,None,177.0598180689849,None,1.56,9,179.1008073000121,None,1,1,179.1008073000121,None,You did not win or lose anything!,5.0,3,7,0.44,66.66666666666666,0.3015506055089645,[1],50.0,6,3,None,0.3320921490085311,,,0.3320921490085311,adtst_scanner,Practice,2,2019_Aug_31_0855,MID,3.1.5,30.005866836119015,
LgReward,2000,0,9,9,9,,181.14923543599434,None,2000,183.16060887201456,None,None,183.16060887201456,None,1.56,10,185.21550209401175,None,1,1,185.21550209401175,None,You won $5.00!,10.0,1,8,0.44,70.0,0.3062402788616185,"[1, 1]",50.0,6,3,None,0.3343783189775422,,,0.3343783189775422,adtst_scanner,Practice,2,2019_Aug_31_0855,MID,3.1.5,30.005866836119015,
LgPun,2000,0,10,10,10,,187.27793590398505,None,2000,189.29536436201306,None,None,189.29536436201306,None,1.56,11,191.3349306510063,None,1,1,191.3349306510063,None,You did not lose $5.00!,10.0,4,9,0.39,72.72727272727273,0.30758108800364425,[],100.0,9,3,None,0.31696675199782476,Adjusting RT...,,0.31696675199782476,adtst_scanner,Practice,2,2019_Aug_31_0855,MID,3.1.5,30.005866836119015,
SmallPun,2000,0,11,11,11,,193.3783530180226,None,2000,195.39367708802456,None,None,195.39367708802456,None,1.6099999999999999,12,197.43430339201586,None,1,1,197.43430339201586,None,You did not lose $0.20!,10.0,5,10,0.39,75.0,0.30569420611330617,[1],100.0,9,3,None,0.29059915099060163,,,0.29059915099060163,adtst_scanner,Practice,2,2019_Aug_31_0855,MID,3.1.5,30.005866836119015,
SmallReward,2000,0,12,12,12,,199.47869121399708,None,2000,201.49566901201615,None,None,201.49566901201615,None,1.6099999999999999,13,203.5470514500048,None,1,1,203.5470514500048,None,You won $0.20!,10.2,2,11,0.39,76.92307692307693,0.30769769270555114,"[1, 1]",100.0,9,3,None,0.32572907203575596,,,0.32572907203575596,adtst_scanner,Practice,2,2019_Aug_31_0855,MID,3.1.5,30.005866836119015,
LgPun,2000,0,13,13,13,,205.5788489630213,None,2000,207.59664515103213,None,None,207.59664515103213,None,1.6099999999999999,14,209.63585362798767,None,1,1,209.63585362798767,None,You did not lose $5.00!,10.2,4,12,0.34,78.57142857142857,0.3067295527329076,[],100.0,12,3,None,0.2970481530064717,Adjusting RT...,,0.2970481530064717,adtst_scanner,Practice,2,2019_Aug_31_0855,MID,3.1.5,30.005866836119015,
Triangle,2000,0,14,14,14,,211.679187058995,None,2000,213.6951884800219,None,None,213.6951884800219,None,1.66,15,215.73647579201497,None,None,0,215.73647579201497,None,You did not win or lose anything!,10.2,3,12,0.34,73.33333333333333,0.3067295527329076,[],100.0,12,3,None,0.2970481530064717,,,,adtst_scanner,Practice,2,2019_Aug_31_0855,MID,3.1.5,30.005866836119015,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adtst_scanner,Practice,2,2019_Aug_31_0855,MID,3.1.5,30.005866836119015,
