Condition,FixationDur,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,FixationDur,fixationResp.keys,probeDur,feedbackDur,rt_list,Trial counter,probeResp.keys,probeResp.corr,probeResp.rt,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,fixationResp.rt,participant,session,practiceRT,trial Order,date,expName,psychopyVersion,frameRate,
SmallPun,2000,0,0,0,0,0,0,0,0,2000,None,0.5,1.5,[0.19538517099863384],1,space,1,0.19538517099863384,You did not lose $0.20!,0,5,1,100.0,0.19538517099863384,[1],0,0,3,,,0001,001,.5,1,2019_Aug_05_1628,MID,3.0.7,59.73806043273071,
LgReward,4000,0,0,0,0,0,1,1,1,4000,None,0.5,1.5,"[0.19538517099863384, 0.22002769699975033]",2,space,1,0.22002769699975033,You won $5.00!,5,1,2,100.0,0.20770643399919209,"[1, 1]",0,0,3,,,0001,001,.5,1,2019_Aug_05_1628,MID,3.0.7,59.73806043273071,
SmallPun,3000,0,0,0,0,0,2,2,2,3000,None,0.45,1.5,"[0.19538517099863384, 0.22002769699975033, 0.23674720900089596]",3,space,1,0.23674720900089596,You did not lose $0.20!,5,5,3,100.0,0.21738669233309338,[],100.0,3,3,Adjusting RT...,,0001,001,.5,1,2019_Aug_05_1628,MID,3.0.7,59.73806043273071,
SmallReward,2000,0,0,0,0,0,3,3,3,2000,None,0.45,1.55,"[0.19538517099863384, 0.22002769699975033, 0.23674720900089596, 0.2532281999992847]",4,space,1,0.2532281999992847,You won $0.20!,5.2,2,4,100.0,0.2263470692496412,[1],100.0,3,3,,,0001,001,.5,1,2019_Aug_05_1628,MID,3.0.7,59.73806043273071,
LgPun,2000,0,0,0,0,0,4,4,4,2000,None,0.45,1.55,"[0.19538517099863384, 0.22002769699975033, 0.23674720900089596, 0.2532281999992847, 0.22061715000018012]",5,space,1,0.22061715000018012,You did not lose $5.00!,5.2,4,5,100.0,0.22520108539974898,"[1, 1]",100.0,3,3,,,0001,001,.5,1,2019_Aug_05_1628,MID,3.0.7,59.73806043273071,
Triangle,2500,0,0,0,0,0,5,5,5,2500,None,0.45,1.55,"[0.19538517099863384, 0.22002769699975033, 0.23674720900089596, 0.2532281999992847, 0.22061715000018012]",6,None,0,,You did not win or lose anything!,5.2,3,5,83.33333333333334,0.22520108539974898,"[1, 1]",100.0,3,3,,,0001,001,.5,1,2019_Aug_05_1628,MID,3.0.7,59.73806043273071,
SmallReward,2500,0,0,0,0,0,6,6,6,2500,None,0.4,1.55,"[0.19538517099863384, 0.22002769699975033, 0.23674720900089596, 0.2532281999992847, 0.22061715000018012, 0.21855118600069545]",7,space,1,0.21855118600069545,You won $0.20!,5.4,2,6,85.71428571428571,0.22409276883324006,[],100.0,6,3,Adjusting RT...,,0001,001,.5,1,2019_Aug_05_1628,MID,3.0.7,59.73806043273071,
SmallReward,1500,0,0,0,0,0,7,7,7,1500,None,0.4,1.6,"[0.19538517099863384, 0.22002769699975033, 0.23674720900089596, 0.2532281999992847, 0.22061715000018012, 0.21855118600069545, 0.28657272300188197]",8,space,1,0.28657272300188197,You won $0.20!,5.6000000000000005,2,7,87.5,0.23301847657161748,[1],100.0,6,3,,,0001,001,.5,1,2019_Aug_05_1628,MID,3.0.7,59.73806043273071,
LgReward,1500,0,0,0,0,0,8,8,8,1500,None,0.4,1.6,"[0.19538517099863384, 0.22002769699975033, 0.23674720900089596, 0.2532281999992847, 0.22061715000018012, 0.21855118600069545, 0.28657272300188197, 0.2695044389984105]",9,space,1,0.2695044389984105,You won $5.00!,10.600000000000001,1,8,88.88888888888889,0.2375792218749666,"[1, 1]",100.0,6,3,,,0001,001,.5,1,2019_Aug_05_1628,MID,3.0.7,59.73806043273071,
SmallPun,2000,0,0,0,0,0,9,9,9,2000,None,0.35000000000000003,1.6,"[0.19538517099863384, 0.22002769699975033, 0.23674720900089596, 0.2532281999992847, 0.22061715000018012, 0.21855118600069545, 0.28657272300188197, 0.2695044389984105, 0.2042290690005757]",10,space,1,0.2042290690005757,You did not lose $0.20!,10.600000000000001,5,9,90.0,0.23387364933336763,[],100.0,9,3,Adjusting RT...,,0001,001,.5,1,2019_Aug_05_1628,MID,3.0.7,59.73806043273071,
LgReward,2500,0,0,0,0,0,10,10,10,2500,None,0.35000000000000003,1.65,"[0.19538517099863384, 0.22002769699975033, 0.23674720900089596, 0.2532281999992847, 0.22061715000018012, 0.21855118600069545, 0.28657272300188197, 0.2695044389984105, 0.2042290690005757, 0.20861607600090792]",11,space,1,0.20861607600090792,You won $5.00!,15.600000000000001,1,10,90.9090909090909,0.23134789200012165,[1],100.0,9,3,,,0001,001,.5,1,2019_Aug_05_1628,MID,3.0.7,59.73806043273071,
