Condition,FixationDur,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,FixationDur,fixationResp.keys,jitterTarget,feedbackDur,rt_list,Trial counter,probeResp.keys,probeResp.corr,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,probeResp.rt,participant,session,practiceRT,trial Order,date,expName,psychopyVersion,frameRate,
SmallPun,2000,0,0,0,0,0,0,0,0,2000,None,0.375,1.5,[],1,None,0,You lost $0.20!,-0.2,5,1,0.5,0.0,nan,[0],0,0,3,,0001,001,.5,1,2019_Aug_06_1216,MID,3.0.7,59.97024624198146,
LgReward,4000,0,0,0,0,0,1,1,1,4000,None,0.431,1.5,[0.34652671300136717],2,space,1,You won $5.00!,4.8,1,2,0.5,50.0,0.34652671300136717,"[0, 1]",0,0,3,0.34652671300136717,0001,001,.5,1,2019_Aug_06_1216,MID,3.0.7,59.97024624198146,
SmallPun,3000,0,0,0,0,0,2,2,2,3000,None,0.37,1.5,[0.34652671300136717],3,None,0,You lost $0.20!,4.6,5,3,0.5,33.33333333333333,0.34652671300136717,[],33.33333333333333,3,3,,0001,001,.5,1,2019_Aug_06_1216,MID,3.0.7,59.97024624198146,
SmallReward,2000,0,0,0,0,0,3,3,3,2000,None,0.388,1.5,[0.34652671300136717],4,None,0,You did not win $0.20!,4.6,2,4,0.5,25.0,0.34652671300136717,[0],33.33333333333333,3,3,,0001,001,.5,1,2019_Aug_06_1216,MID,3.0.7,59.97024624198146,
LgPun,2000,0,0,0,0,0,4,4,4,2000,None,0.326,1.5,[0.34652671300136717],5,None,0,You lost $5.00!,-0.40000000000000036,4,5,0.5,20.0,0.34652671300136717,"[0, 0]",33.33333333333333,3,3,,0001,001,.5,1,2019_Aug_06_1216,MID,3.0.7,59.97024624198146,
Triangle,2500,0,0,0,0,0,5,5,5,2500,None,0.16,1.5,[0.34652671300136717],6,None,0,You did not win or lose anything!,-0.40000000000000036,3,5,0.5,16.666666666666664,0.34652671300136717,"[0, 0]",33.33333333333333,3,3,,0001,001,.5,1,2019_Aug_06_1216,MID,3.0.7,59.97024624198146,
SmallReward,2500,0,0,0,0,0,6,6,6,2500,None,0.152,1.5,[0.34652671300136717],7,None,0,You did not win $0.20!,-0.40000000000000036,2,6,0.5,14.285714285714285,0.34652671300136717,[],16.666666666666664,6,3,,0001,001,.5,1,2019_Aug_06_1216,MID,3.0.7,59.97024624198146,
SmallReward,1500,0,0,0,0,0,7,7,7,1500,None,0.358,1.5,[0.34652671300136717],8,None,0,You did not win $0.20!,-0.40000000000000036,2,7,0.5,12.5,0.34652671300136717,[0],16.666666666666664,6,3,,0001,001,.5,1,2019_Aug_06_1216,MID,3.0.7,59.97024624198146,
LgReward,1500,0,0,0,0,0,8,8,8,1500,None,0.364,1.5,[0.34652671300136717],9,None,0,You did not win $5.00!,-0.40000000000000036,1,8,0.5,11.11111111111111,0.34652671300136717,"[0, 0]",16.666666666666664,6,3,,0001,001,.5,1,2019_Aug_06_1216,MID,3.0.7,59.97024624198146,
SmallPun,2000,0,0,0,0,0,9,9,9,2000,None,0.17,1.5,[0.34652671300136717],10,None,0,You lost $0.20!,-0.6000000000000003,5,9,0.5,10.0,0.34652671300136717,[],0.0,9,3,,0001,001,.5,1,2019_Aug_06_1216,MID,3.0.7,59.97024624198146,
LgReward,2500,0,0,0,0,0,10,10,10,2500,None,0.264,1.5,"[0.34652671300136717, 0.3414394560004439]",11,space,1,You won $5.00!,4.3999999999999995,1,10,0.5,18.181818181818183,0.34398308450090553,[1],0.0,9,3,0.3414394560004439,0001,001,.5,1,2019_Aug_06_1216,MID,3.0.7,59.97024624198146,
LgPun,3500,0,0,0,0,0,11,11,11,3500,None,0.303,1.5,"[0.34652671300136717, 0.3414394560004439]",12,None,0,You lost $5.00!,-0.6000000000000005,4,11,0.5,16.666666666666664,0.34398308450090553,"[1, 0]",0.0,9,3,,0001,001,.5,1,2019_Aug_06_1216,MID,3.0.7,59.97024624198146,
SmallPun,3500,0,0,0,0,0,12,12,12,3500,None,0.281,1.5,"[0.34652671300136717, 0.3414394560004439]",13,None,0,You lost $0.20!,-0.8000000000000005,5,12,0.5,15.384615384615385,0.34398308450090553,[],16.666666666666664,12,3,,0001,001,.5,1,2019_Aug_06_1216,MID,3.0.7,59.97024624198146,
Triangle,1500,0,0,0,0,0,13,13,13,1500,None,0.452,1.5,"[0.34652671300136717, 0.3414394560004439]",14,None,0,You did not win or lose anything!,-0.8000000000000005,3,12,0.5,14.285714285714285,0.34398308450090553,[],16.666666666666664,12,3,,0001,001,.5,1,2019_Aug_06_1216,MID,3.0.7,59.97024624198146,
LgPun,4000,0,0,0,0,0,14,14,14,4000,None,0.458,1.5,"[0.34652671300136717, 0.3414394560004439]",15,None,0,You lost $5.00!,-5.800000000000001,4,13,0.5,13.333333333333334,0.34398308450090553,[0],16.666666666666664,12,3,,0001,001,.5,1,2019_Aug_06_1216,MID,3.0.7,59.97024624198146,
Triangle,4000,0,0,0,0,0,15,15,15,4000,None,0.231,1.5,"[0.34652671300136717, 0.3414394560004439]",16,None,0,You did not win or lose anything!,-5.800000000000001,3,13,0.5,12.5,0.34398308450090553,[0],16.666666666666664,12,3,,0001,001,.5,1,2019_Aug_06_1216,MID,3.0.7,59.97024624198146,
LgPun,3000,0,0,0,0,0,16,16,16,3000,None,0.187,1.5,"[0.34652671300136717, 0.3414394560004439]",17,None,0,You lost $5.00!,-10.8,4,14,0.5,11.76470588235294,0.34398308450090553,"[0, 0]",16.666666666666664,12,3,,0001,001,.5,1,2019_Aug_06_1216,MID,3.0.7,59.97024624198146,
SmallPun,1500,0,0,0,0,0,17,17,17,1500,None,0.203,1.5,"[0.34652671300136717, 0.3414394560004439]",18,None,0,You lost $0.20!,-11.0,5,15,0.5,11.11111111111111,0.34398308450090553,[],16.666666666666664,15,3,,0001,001,.5,1,2019_Aug_06_1216,MID,3.0.7,59.97024624198146,
