Condition,FixationDur,textPrompt,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructFig.started,instructFig.stopped,PrepFixation.started,PrepFixation.stopped,TrialOrder,text.started,text.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.rt,fixationResp.started,fixationResp.stopped,feedbackDur,rt_list,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedbackMsg.started,feedbackMsg.stopped,probeResp.rt,AdjRTmsg,polygon.started,polygon.stopped,participant,prac_or_scan,practiceRT,date,expName,psychopyVersion,frameRate,
SmallReward,2000,win $0.20,0,0,0,0,0,0,0,0,85.24028331600039,None,150.64792505000014,None,TimeVersion_practice.csv,152.69852172500032,None,None,152.69852172500032,None,154.68206152600033,None,2000,156.6819750450004,None,1,0.6817568149999715,156.6819750450004,None,1.65,[],1,158.69986059500025,None,None,0,158.69986059500025,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,159.0160915610004,None,,,,,0001,Practice,0.35,2019_Aug_15_1302,MID,3.1.5,59.98111698476315,
LgReward,2000,win $5.00,0,0,0,0,0,1,1,1,,,,,,160.68271233500036,None,None,160.68271233500036,None,162.66897714300012,None,2000,164.68321968600003,None,None,,164.68321968600003,None,1.65,[0.24470825399976093],2,166.69990290600026,None,1,1,166.69990290600026,None,You won $5.00!,5,1,2,0.35,50.0,0.24470825399976093,"[0, 1]",0,0,3,167.01684879600043,None,0.24470825399976093,,,,0001,Practice,0.35,2019_Aug_15_1302,MID,3.1.5,59.98111698476315,
SmallPun,2000,lose $0.20,0,0,0,0,0,2,2,2,,,,,,168.68331903800026,None,None,168.68331903800026,None,170.66695801600008,None,2000,172.6846921600004,None,1,0.81308985700025,172.6846921600004,None,1.65,[0.24470825399976093],3,174.68898407200004,None,None,0,174.68898407200004,None,You lost $0.20!,4.8,5,3,0.38999999999999996,33.33333333333333,0.24470825399976093,[],33.33333333333333,3,3,175.0178665000003,None,,Adjusting RT...,,,0001,Practice,0.35,2019_Aug_15_1302,MID,3.1.5,59.98111698476315,
LgPun,2000,lose $5.00,0,0,0,0,0,3,3,3,,,,,,176.68504208100012,None,None,176.68504208100012,None,178.66836037300027,None,2000,180.6858300560002,None,None,,180.6858300560002,None,1.61,"[0.24470825399976093, 0.2548118340000656]",4,182.68609742200033,None,1,1,182.68609742200033,None,You did not lose $5.00!,4.8,4,4,0.38999999999999996,50.0,0.24976004399991325,[1],33.33333333333333,3,3,183.052526338,None,0.2548118340000656,,,,0001,Practice,0.35,2019_Aug_15_1302,MID,3.1.5,59.98111698476315,
Triangle,2000,not win or lose money,0,0,0,0,0,4,4,4,,,,,,184.7019293850003,None,None,184.7019293850003,None,186.66953769400016,None,2000,188.68653236200043,None,None,,188.68653236200043,None,1.61,"[0.24470825399976093, 0.2548118340000656]",5,190.68919238900025,None,None,0,190.68919238900025,None,You did not win or lose anything!,4.8,3,4,0.38999999999999996,40.0,0.24976004399991325,[1],33.33333333333333,3,3,191.0534985600002,None,,,,,0001,Practice,0.35,2019_Aug_15_1302,MID,3.1.5,59.98111698476315,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001,Practice,0.35,2019_Aug_15_1302,MID,3.1.5,59.98111698476315,
SmallReward,2000,,1,0,1,0,0,0,0,0,192.67049834200043,None,201.804855117,None,TimeVersion_practice1.csv,,,,,,203.83880085400006,None,2000,205.83909749700024,None,None,,205.83909749700024,None,1.61,"[0.24470825399976093, 0.2548118340000656]",6,207.85583333000022,None,None,0,207.85583333000022,None,You did not win $0.20!,4.8,2,5,0.38999999999999996,33.33333333333333,0.24976004399991325,"[1, 0]",33.33333333333333,3,3,208.20571530400002,None,,,,,0001,Practice,0.35,2019_Aug_15_1302,MID,3.1.5,59.98111698476315,
LgReward,2000,,1,0,1,0,0,1,1,1,,,,,,,,,,,209.80859920600005,None,2000,211.82291188900035,None,None,,211.82291188900035,None,1.61,"[0.24470825399976093, 0.2548118340000656, 0.2852350899997873]",7,213.8389745970003,None,1,1,213.8389745970003,None,You won $5.00!,9.8,1,6,0.41,42.857142857142854,0.2615850593332046,[],49.99999999999999,6,3,214.17258748300037,None,0.2852350899997873,Adjusting RT...,,,0001,Practice,0.35,2019_Aug_15_1302,MID,3.1.5,59.98111698476315,
SmallPun,2000,,1,0,1,0,0,2,2,2,,,,,,,,,,,215.77500292100012,None,2000,217.8062759100003,None,None,,217.8062759100003,None,1.59,"[0.24470825399976093, 0.2548118340000656, 0.2852350899997873, 0.25170401299965306]",8,219.80699825700003,None,1,1,219.80699825700003,None,You did not lose $0.20!,9.8,5,7,0.41,50.0,0.2591147977498167,[1],49.99999999999999,6,3,220.1907197820001,None,0.25170401299965306,,,,0001,Practice,0.35,2019_Aug_15_1302,MID,3.1.5,59.98111698476315,
LgPun,2000,,1,0,1,0,0,3,3,3,,,,,,,,,,,221.76311229700013,None,2000,223.79146815400009,None,1,0.2700466179999239,223.79146815400009,None,1.59,"[0.24470825399976093, 0.2548118340000656, 0.2852350899997873, 0.25170401299965306, 0.2939837650001209]",9,225.79151364900008,None,1,1,225.79151364900008,None,You did not lose $5.00!,9.8,4,8,0.41,55.55555555555556,0.26608859119987754,"[1, 1]",49.99999999999999,6,3,226.1749592860001,None,0.2939837650001209,,,,0001,Practice,0.35,2019_Aug_15_1302,MID,3.1.5,59.98111698476315,
