Condition,FixationDur,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructFig.started,instructFig.stopped,PrepFixation.started,PrepFixation.stopped,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,rt_list,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedbackMsg.started,feedbackMsg.stopped,AdjRTmsg,fixationResp.rt,probeResp.rt,participant,prac_or_scan,practiceRT,date,expName,psychopyVersion,frameRate,
LgPun,2500,0,0,0,0,0,0,0,0,10.927271898000072,None,33.16834306200053,None,TimeVersion6.csv,35.16511286400055,None,2500,37.182326419000674,None,None,37.182326419000674,None,1.69,[],1,39.684901878000346,None,None,0,39.684901878000346,None,You lost $5.00!,-5,4,1,0.31,0.0,nan,[0],0,0,3,39.95664603500063,None,,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
LgReward,1500,0,0,0,0,0,1,1,1,,,,,,41.6232764790002,None,1500,43.63380025400056,None,None,43.63380025400056,None,1.69,[],2,45.15151840600083,None,None,0,45.15151840600083,None,You did not win $5.00!,-5,1,2,0.31,0.0,nan,"[0, 0]",0,0,3,45.41505474600035,None,,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
LgPun,1500,0,0,0,0,0,2,2,2,,,,,,47.08204658300019,None,1500,49.10053703600079,None,None,49.10053703600079,None,1.69,[],3,50.60160253200047,None,None,0,50.60160253200047,None,You lost $5.00!,-10,4,3,0.38,0.0,nan,[],0.0,3,3,50.87377614700017,None,Adjusting RT...,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
SmallReward,2000,0,0,0,0,0,3,3,3,,,,,,52.540462081999976,None,2000,54.55188832100066,None,1,54.55188832100066,None,1.62,[],4,56.573103735000586,None,None,0,56.573103735000586,None,You did not win $0.20!,-10,2,4,0.38,0.0,nan,[0],0.0,3,3,56.91757105000033,None,,0.3344057989997964,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
Triangle,2000,0,0,0,0,0,4,4,4,,,,,,58.542859258000135,None,2000,60.552268665000156,None,None,60.552268665000156,None,1.62,[],5,62.55938436300039,None,None,0,62.55938436300039,None,You did not win or lose anything!,-10,3,4,0.38,0.0,nan,[0],0.0,3,3,62.916166803000124,None,,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
SmallReward,1500,0,0,0,0,0,5,5,5,,,,,,64.54120544500074,None,1500,66.55278946800081,None,1,66.55278946800081,None,1.62,[],6,68.07128969500081,None,None,0,68.07128969500081,None,You did not win $0.20!,-10,2,5,0.38,0.0,nan,"[0, 0]",0.0,3,3,68.41951756600065,None,,0.395503417999862,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
Triangle,1500,0,0,0,0,0,6,6,6,,,,,,70.04167400000006,None,1500,72.05381840300015,None,None,72.05381840300015,None,1.62,[0.2672770990002391],7,73.55903899500026,None,1,1,73.55903899500026,None,You did not win or lose anything!,-10,3,5,0.38,14.285714285714285,0.2672770990002391,"[0, 0]",0.0,3,3,73.91660896800022,None,,,0.2672770990002391,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
LgPun,1500,0,0,0,0,0,7,7,7,,,,,,75.54062330600027,None,1500,77.55448010000055,None,None,77.55448010000055,None,1.62,"[0.2672770990002391, 0.1001334010006758]",8,79.06202064600075,None,1,1,79.06202064600075,None,You did not lose $5.00!,-10,4,6,0.43,25.0,0.18370525000045745,[],16.666666666666664,6,3,79.41686700500031,None,Adjusting RT...,,0.1001334010006758,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
LgReward,2000,0,0,0,0,0,8,8,8,,,,,,81.04193432500051,None,2000,83.05523598300078,None,1,83.05523598300078,None,1.57,"[0.2672770990002391, 0.1001334010006758]",9,85.0724117740001,None,None,0,85.0724117740001,None,You did not win $5.00!,-10,1,7,0.43,22.22222222222222,0.18370525000045745,[0],16.666666666666664,6,3,85.46275686000081,None,,1.5870575899998585,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
SmallPun,4000,0,0,0,0,0,9,9,9,,,,,,87.0005639660003,None,4000,89.00355761600076,None,None,89.00355761600076,None,1.57,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447]",10,93.02202867800042,None,1,1,93.02202867800042,None,You did not lose $0.20!,-10,5,8,0.43,30.0,0.22320670000014312,"[0, 1]",16.666666666666664,6,3,93.41760689400053,None,,,0.30220959999951447,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
LgPun,1500,0,0,0,0,0,10,10,10,,,,,,94.95937655200032,None,1500,96.97364173500046,None,None,96.97364173500046,None,1.57,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447]",11,98.47748875100024,None,None,0,98.47748875100024,None,You lost $5.00!,-15,4,9,0.47,27.27272727272727,0.22320670000014312,[],33.33333333333333,9,3,98.87539199000003,None,Adjusting RT...,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
SmallReward,1500,0,0,0,0,0,11,11,11,,,,,,100.4177643210005,None,1500,102.42769362300078,None,None,102.42769362300078,None,1.53,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447]",12,103.95775240600051,None,None,0,103.95775240600051,None,You did not win $0.20!,-15,2,10,0.47,25.0,0.22320670000014312,[0],33.33333333333333,9,3,104.37618301200018,None,,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
LgReward,4000,0,0,0,0,0,12,12,12,,,,,,105.91816819500036,None,4000,107.92317828200066,None,None,107.92317828200066,None,1.53,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255]",13,111.94665509700008,None,1,1,111.94665509700008,None,You won $5.00!,-10,1,11,0.47,30.76923076923077,0.2543122380002387,"[0, 1]",33.33333333333333,9,3,112.3805734840007,None,,,0.3476288520005255,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
