Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,preinstruc_text.started,preinstruc_text.stopped,instructFig.started,instructFig.stopped,PrepFixation.started,PrepFixation.stopped,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,rt_list,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedbackMsg.started,feedbackMsg.stopped,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,14.924046079999243,None,17.957383865999873,None,22.895426542003406,None,TimeVersion_practice1.csv,24.912193367003056,None,2000,26.91248626300512,None,None,26.91248626300512,None,1.65,[0.24934103300620336],1,28.929726319998736,None,1,1,0.24934103300620336,28.929726319998736,None,You won $0.20!,0.2,2,1,0.35,100.0,0.24934103300620336,[1],0,0,3,29.25775330200122,None,,,0004,Practice,2,2019_Aug_19_1350,MID,3.1.5,59.991187294702094,
LgReward,2000,0,1,1,1,,,,,,,,30.907089197004098,None,2000,32.91299235900078,None,None,32.91299235900078,None,1.65,"[0.24934103300620336, 0.2582928060000995]",2,34.92438214800495,None,1,1,0.2582928060000995,34.92438214800495,None,You won $5.00!,5.2,1,2,0.35,100.0,0.25381691950315144,"[1, 1]",0,0,3,35.24722530999861,None,,,0004,Practice,2,2019_Aug_19_1350,MID,3.1.5,59.991187294702094,
SmallPun,2000,0,2,2,2,,,,,,,,36.891525106999325,None,2000,38.91388179099886,None,None,38.91388179099886,None,1.65,"[0.24934103300620336, 0.2582928060000995, 0.2695012960029999]",3,40.915500158000214,None,1,1,0.2695012960029999,40.915500158000214,None,You did not lose $0.20!,5.2,5,3,0.3,100.0,0.25904504500310094,[],100.0,3,3,41.24752825200267,None,Adjusting RT...,,0004,Practice,2,2019_Aug_19_1350,MID,3.1.5,59.991187294702094,
LgPun,2000,0,3,3,3,,,,,,,,42.890828782001336,None,2000,44.91467560500314,None,None,44.91467560500314,None,1.7,"[0.24934103300620336, 0.2582928060000995, 0.2695012960029999]",4,46.915233903004264,None,None,0,,46.915233903004264,None,You lost $5.00!,0.20000000000000018,4,4,0.3,75.0,0.25904504500310094,[0],100.0,3,3,47.192314910003915,None,,,0004,Practice,2,2019_Aug_19_1350,MID,3.1.5,59.991187294702094,
Triangle,2000,0,4,4,4,,,,,,,,48.891892125000595,None,2000,50.91555138699914,None,None,50.91555138699914,None,1.7,"[0.24934103300620336, 0.2582928060000995, 0.2695012960029999]",5,52.914738202998706,None,None,0,,52.914738202998706,None,You did not win or lose anything!,0.20000000000000018,3,4,0.3,60.0,0.25904504500310094,[0],100.0,3,3,53.19933837700228,None,,,0004,Practice,2,2019_Aug_19_1350,MID,3.1.5,59.991187294702094,
LgReward,2000,0,5,5,5,,,,,,,,54.9088656610038,None,2000,56.916836010001134,None,1,56.916836010001134,None,1.7,"[0.24934103300620336, 0.2582928060000995, 0.2695012960029999]",6,58.933202697000524,None,None,0,,58.933202697000524,None,You did not win $5.00!,0.20000000000000018,1,5,0.3,50.0,0.25904504500310094,"[0, 0]",100.0,3,3,59.20934604300419,None,,0.34462378500029445,0004,Practice,2,2019_Aug_19_1350,MID,3.1.5,59.991187294702094,
SmallPun,2000,0,6,6,6,,,,,,,,60.89251924700511,None,2000,62.91710588699789,None,None,62.91710588699789,None,1.7,"[0.24934103300620336, 0.2582928060000995, 0.2695012960029999]",7,64.91777755499788,None,None,0,,64.91777755499788,None,You lost $0.20!,1.6653345369377348e-16,5,6,0.32,42.857142857142854,0.25904504500310094,[],50.0,6,3,65.20120243199926,None,Adjusting RT...,,0004,Practice,2,2019_Aug_19_1350,MID,3.1.5,59.991187294702094,
SmallReward,2000,0,7,7,7,,,,,,,,66.90916187500261,None,2000,68.91834754899901,None,None,68.91834754899901,None,1.68,"[0.24934103300620336, 0.2582928060000995, 0.2695012960029999, 0.04133768300380325]",8,70.93456060300377,None,1,1,0.04133768300380325,70.93456060300377,None,You won $0.20!,0.20000000000000018,2,7,0.32,50.0,0.2046182045032765,[1],50.0,6,3,71.20876083199983,None,,,0004,Practice,2,2019_Aug_19_1350,MID,3.1.5,59.991187294702094,
Triangle,2000,0,8,8,8,,,,,,,,72.89274234700133,None,2000,74.91956314800336,None,None,74.91956314800336,None,1.68,"[0.24934103300620336, 0.2582928060000995, 0.2695012960029999, 0.04133768300380325]",9,76.9180294129983,None,None,0,,76.9180294129983,None,You did not win or lose anything!,0.20000000000000018,3,7,0.32,44.44444444444444,0.2046182045032765,[1],50.0,6,3,77.2187336240022,None,,,0004,Practice,2,2019_Aug_19_1350,MID,3.1.5,59.991187294702094,
LgReward,2000,0,9,9,9,,,,,,,,78.90348039200035,None,2000,80.91996359900077,None,None,80.91996359900077,None,1.68,"[0.24934103300620336, 0.2582928060000995, 0.2695012960029999, 0.04133768300380325]",10,82.93669218300056,None,None,0,,82.93669218300056,None,You did not win $5.00!,0.20000000000000018,1,8,0.32,40.0,0.2046182045032765,"[1, 0]",50.0,6,3,83.21994444000302,None,,,0004,Practice,2,2019_Aug_19_1350,MID,3.1.5,59.991187294702094,
LgPun,2000,0,10,10,10,,,,,,,,84.89347401200212,None,2000,86.92073824800173,None,None,86.92073824800173,None,1.68,"[0.24934103300620336, 0.2582928060000995, 0.2695012960029999, 0.04133768300380325]",11,88.92076723700302,None,None,0,,88.92076723700302,None,You lost $5.00!,-4.8,4,9,0.37,36.36363636363637,0.2046182045032765,[],16.666666666666664,9,3,89.21031243900507,None,Adjusting RT...,,0004,Practice,2,2019_Aug_19_1350,MID,3.1.5,59.991187294702094,
,,,,,,,,,,,,,90.89374697300082,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
