Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,preinstruc_text.started,preinstruc_text.stopped,instructFig.started,instructFig.stopped,PrepFixation.started,PrepFixation.stopped,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,rt_list,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedbackMsg.started,feedbackMsg.stopped,fixationResp.rt,AdjRTmsg,polygon.started,polygon.stopped,text.started,text.stopped,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,24.039218489997438,None,27.07171095299418,None,37.21043223099696,None,TimeVersion_practice1.csv,39.226536019996274,None,2000,41.22738449600001,None,None,41.22738449600001,None,1.65,[0.2560034759953851],1,43.255858526994416,None,1,1,0.2560034759953851,43.255858526994416,None,You won $0.20!,0.2,2,1,0.35,100.0,0.2560034759953851,[1],0,0,3,43.572351332994,None,,,,,,,0005,Practice,2,2019_Aug_19_1657,MID,3.1.5,60.01394520132402,
LgReward,2000,0,1,1,1,,,,,,,,45.222851562997676,None,2000,47.228160389997356,None,1,47.228160389997356,None,1.65,[0.2560034759953851],2,49.25620161299594,None,None,0,,49.25620161299594,None,You did not win $5.00!,0.2,1,2,0.35,50.0,0.2560034759953851,"[1, 0]",0,0,3,49.561103770000045,None,0.17506883999885758,,,,,,0005,Practice,2,2019_Aug_19_1657,MID,3.1.5,60.01394520132402,
SmallPun,2000,0,2,2,2,,,,,,,,51.20682675599528,None,2000,53.228155002994754,None,None,53.228155002994754,None,1.65,"[0.2560034759953851, 0.27092712400190067]",3,55.239963369996985,None,1,1,0.27092712400190067,55.239963369996985,None,You did not lose $0.20!,0.2,5,3,0.32999999999999996,66.66666666666666,0.2634652999986429,[],66.66666666666666,3,3,55.55571970500023,None,,Adjusting RT...,,,,,0005,Practice,2,2019_Aug_19_1657,MID,3.1.5,60.01394520132402,
LgPun,2000,0,3,3,3,,,,,,,,57.20700998100074,None,2000,59.229988607999985,None,None,59.229988607999985,None,1.67,"[0.2560034759953851, 0.27092712400190067]",4,61.24075136600004,None,None,0,,61.24075136600004,None,You lost $5.00!,-4.8,4,4,0.32999999999999996,50.0,0.2634652999986429,[0],66.66666666666666,3,3,61.54069897199952,None,,,,,,,0005,Practice,2,2019_Aug_19_1657,MID,3.1.5,60.01394520132402,
Triangle,2000,0,4,4,4,,,,,,,,63.20722978899721,None,2000,65.23001338500035,None,None,65.23001338500035,None,1.67,"[0.2560034759953851, 0.27092712400190067]",5,67.24088958899665,None,None,0,,67.24088958899665,None,You did not win or lose anything!,-4.8,3,4,0.32999999999999996,40.0,0.2634652999986429,[0],66.66666666666666,3,3,67.54712677199859,None,,,,,,,0005,Practice,2,2019_Aug_19_1657,MID,3.1.5,60.01394520132402,
LgReward,2000,0,5,5,5,,,,,,,,69.2239507129998,None,2000,71.23134651399596,None,None,71.23134651399596,None,1.67,"[0.2560034759953851, 0.27092712400190067]",6,73.24755312599882,None,None,0,,73.24755312599882,None,You did not win $5.00!,-4.8,1,5,0.32999999999999996,33.33333333333333,0.2634652999986429,"[0, 0]",66.66666666666666,3,3,73.54807465599879,None,,,,,,,0005,Practice,2,2019_Aug_19_1657,MID,3.1.5,60.01394520132402,
SmallPun,2000,0,6,6,6,,,,,,,,75.20782914499432,None,2000,77.23270494699682,None,None,77.23270494699682,None,1.67,"[0.2560034759953851, 0.27092712400190067, 0.2460032430026331]",7,79.23317425499408,None,1,1,0.2460032430026331,79.23317425499408,None,You did not lose $0.20!,-4.8,5,6,0.35,42.857142857142854,0.25764461433330627,[],49.99999999999999,6,3,79.54124762599531,None,,Adjusting RT...,,,,,0005,Practice,2,2019_Aug_19_1657,MID,3.1.5,60.01394520132402,
SmallReward,2000,0,7,7,7,,,,,,,,81.22439220099477,None,2000,83.23319319800066,None,None,83.23319319800066,None,1.65,"[0.2560034759953851, 0.27092712400190067, 0.2460032430026331]",8,85.24893000999873,None,None,0,,85.24893000999873,None,You did not win $0.20!,-4.8,2,7,0.35,37.5,0.25764461433330627,[0],49.99999999999999,6,3,85.56722374799574,None,,,,,,,0005,Practice,2,2019_Aug_19_1657,MID,3.1.5,60.01394520132402,
Triangle,2000,0,8,8,8,,,,,,,,87.20836017699912,None,2000,89.23300734199438,None,None,89.23300734199438,None,1.65,"[0.2560034759953851, 0.27092712400190067, 0.2460032430026331]",9,91.23389575100009,None,None,0,,91.23389575100009,None,You did not win or lose anything!,-4.8,3,7,0.35,33.33333333333333,0.25764461433330627,[0],49.99999999999999,6,3,91.56641935600055,None,,,,,,,0005,Practice,2,2019_Aug_19_1657,MID,3.1.5,60.01394520132402,
LgReward,2000,0,9,9,9,,,,,,,,93.217684903997,None,2000,95.23469962499803,None,None,95.23469962499803,None,1.65,"[0.2560034759953851, 0.27092712400190067, 0.2460032430026331, 0.24863844700303162]",10,97.25084918399807,None,1,1,0.24863844700303162,97.25084918399807,None,You won $5.00!,0.20000000000000018,1,8,0.35,40.0,0.2553930725007376,"[0, 1]",49.99999999999999,6,3,97.55768560399883,None,,,,,,,0005,Practice,2,2019_Aug_19_1657,MID,3.1.5,60.01394520132402,
LgPun,2000,0,10,10,10,,,,,,,,99.2089648839974,None,2000,101.23557736899966,None,None,101.23557736899966,None,1.65,"[0.2560034759953851, 0.27092712400190067, 0.2460032430026331, 0.24863844700303162]",11,103.23453041399625,None,None,0,,103.23453041399625,None,You lost $5.00!,-4.8,4,9,0.38999999999999996,36.36363636363637,0.2553930725007376,[],33.33333333333333,9,3,103.55866461099504,None,,Adjusting RT...,,,,,0005,Practice,2,2019_Aug_19_1657,MID,3.1.5,60.01394520132402,
SmallPun,2000,0,11,11,11,,,,,,,,105.20904110999982,None,2000,107.23634003599727,None,None,107.23634003599727,None,1.61,"[0.2560034759953851, 0.27092712400190067, 0.2460032430026331, 0.24863844700303162, 0.24330946400004905]",12,109.23551733799832,None,1,1,0.24330946400004905,109.23551733799832,None,You did not lose $0.20!,-4.8,5,10,0.38999999999999996,41.66666666666667,0.2529763508005999,[1],33.33333333333333,9,3,109.59125085099367,None,,,,,,,0005,Practice,2,2019_Aug_19_1657,MID,3.1.5,60.01394520132402,
SmallReward,2000,0,12,12,12,,,,,,,,111.20954596599768,None,2000,113.22046393899655,None,None,113.22046393899655,None,1.61,"[0.2560034759953851, 0.27092712400190067, 0.2460032430026331, 0.24863844700303162, 0.24330946400004905, 0.24771515199972782]",13,115.23623440999654,None,1,1,0.24771515199972782,115.23623440999654,None,You won $0.20!,-4.6,2,11,0.38999999999999996,46.15384615384615,0.25209948433378787,"[1, 1]",33.33333333333333,9,3,115.5869416209971,None,,,,,,,0005,Practice,2,2019_Aug_19_1657,MID,3.1.5,60.01394520132402,
