Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,preinstruc_text.started,preinstruc_text.stopped,instructFig.started,instructFig.stopped,PrepFixation.started,PrepFixation.stopped,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,rt_list,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedbackMsg.started,feedbackMsg.stopped,probeResp.rt,AdjRTmsg,fixationResp.rt,polygon.started,polygon.stopped,text.started,text.stopped,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,56.99083465000149,None,60.02398936499958,None,62.60865688299964,None,TimeVersion_practice1.csv,64.62539778799692,None,2000,66.62553469200066,None,None,66.62553469200066,None,1.65,[],1,68.6418804299974,None,None,0,68.6418804299974,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,68.9590582469973,None,,,,,,,,0005,Practice,2,2019_Aug_20_1211,MID,3.1.5,60.01758275199973,
LgReward,2000,0,1,1,1,,,,,,,,70.60946092799713,None,2000,72.62662909299979,None,None,72.62662909299979,None,1.65,[],2,74.64291845099797,None,None,0,74.64291845099797,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,74.95973022699764,None,,,,,,,,0005,Practice,2,2019_Aug_20_1211,MID,3.1.5,60.01758275199973,
SmallPun,2000,0,2,2,2,,,,,,,,76.61071639199508,None,2000,78.62763156699657,None,None,78.62763156699657,None,1.65,[0.27570930299407337],3,80.62911865099886,None,1,1,80.62911865099886,None,You did not lose $0.20!,0,5,3,0.38999999999999996,33.33333333333333,0.27570930299407337,[],33.33333333333333,3,3,80.9606128259984,None,0.27570930299407337,Adjusting RT...,,,,,,0005,Practice,2,2019_Aug_20_1211,MID,3.1.5,60.01758275199973,
LgPun,2000,0,3,3,3,,,,,,,,82.61019034299534,None,2000,84.62792889299453,None,None,84.62792889299453,None,1.61,"[0.27570930299407337, 0.29932420299883233]",4,86.6284992669971,None,1,1,86.6284992669971,None,You did not lose $5.00!,0,4,4,0.38999999999999996,50.0,0.28751675299645285,[1],33.33333333333333,3,3,86.99443869199604,None,0.29932420299883233,,,,,,,0005,Practice,2,2019_Aug_20_1211,MID,3.1.5,60.01758275199973,
Triangle,2000,0,4,4,4,,,,,,,,88.5945658579949,None,2000,90.6119066819956,None,None,90.6119066819956,None,1.61,"[0.27570930299407337, 0.29932420299883233]",5,92.61414466299902,None,None,0,92.61414466299902,None,You did not win or lose anything!,0,3,4,0.38999999999999996,40.0,0.28751675299645285,[1],33.33333333333333,3,3,92.97863918399526,None,,,,,,,,0005,Practice,2,2019_Aug_20_1211,MID,3.1.5,60.01758275199973,
LgReward,2000,0,5,5,5,,,,,,,,94.58195010499912,None,2000,96.59575824599597,None,None,96.59575824599597,None,1.61,"[0.27570930299407337, 0.29932420299883233]",6,98.6129188499981,None,None,0,98.6129188499981,None,You did not win $5.00!,0,1,5,0.38999999999999996,33.33333333333333,0.28751675299645285,"[1, 0]",33.33333333333333,3,3,98.96262785599538,None,,,,,,,,0005,Practice,2,2019_Aug_20_1211,MID,3.1.5,60.01758275199973,
SmallPun,2000,0,6,6,6,,,,,,,,100.55253818100027,None,2000,102.58028752899554,None,None,102.58028752899554,None,1.61,"[0.27570930299407337, 0.29932420299883233, 0.25152611399971647]",7,104.58028463699884,None,1,1,104.58028463699884,None,You did not lose $0.20!,0,5,6,0.41,42.857142857142854,0.2755198733308741,[],49.99999999999999,6,3,104.94681854699593,None,0.25152611399971647,Adjusting RT...,,,,,,0005,Practice,2,2019_Aug_20_1211,MID,3.1.5,60.01758275199973,
SmallReward,2000,0,7,7,7,,,,,,,,106.54690450799535,None,2000,108.56394693900074,None,None,108.56394693900074,None,1.59,"[0.27570930299407337, 0.29932420299883233, 0.25152611399971647]",8,110.58119441699819,None,None,0,110.58119441699819,None,You did not win $0.20!,0,2,7,0.41,37.5,0.2755198733308741,[0],49.99999999999999,6,3,110.94763037799567,None,,,,,,,,0005,Practice,2,2019_Aug_20_1211,MID,3.1.5,60.01758275199973,
Triangle,2000,0,8,8,8,,,,,,,,112.51840798199555,None,2000,114.5484942539988,None,None,114.5484942539988,None,1.59,"[0.27570930299407337, 0.29932420299883233, 0.25152611399971647]",9,116.5490373329958,None,None,0,116.5490373329958,None,You did not win or lose anything!,0,3,7,0.41,33.33333333333333,0.2755198733308741,[0],49.99999999999999,6,3,116.93198739500076,None,,,,,,,,0005,Practice,2,2019_Aug_20_1211,MID,3.1.5,60.01758275199973,
LgReward,2000,0,9,9,9,,,,,,,,118.51542038800108,None,2000,120.53269457399438,None,None,120.53269457399438,None,1.59,"[0.27570930299407337, 0.29932420299883233, 0.25152611399971647]",10,122.54944257099851,None,None,0,122.54944257099851,None,You did not win $5.00!,0,1,8,0.41,30.0,0.2755198733308741,"[0, 0]",49.99999999999999,6,3,122.91565427299793,None,,,,,,,,0005,Practice,2,2019_Aug_20_1211,MID,3.1.5,60.01758275199973,
LgPun,2000,0,10,10,10,,,,,,,,124.48866926299524,None,2000,126.51589192399842,None,None,126.51589192399842,None,1.59,"[0.27570930299407337, 0.29932420299883233, 0.25152611399971647]",11,128.51736329299456,None,None,0,128.51736329299456,None,You lost $5.00!,-5,4,9,0.44999999999999996,27.27272727272727,0.2755198733308741,[],33.33333333333333,9,3,128.89965654599655,None,,Adjusting RT...,,,,,,0005,Practice,2,2019_Aug_20_1211,MID,3.1.5,60.01758275199973,
SmallPun,2000,0,11,11,11,,,,,,,,130.47018850099994,None,2000,132.50101063899638,None,None,132.50101063899638,None,1.55,"[0.27570930299407337, 0.29932420299883233, 0.25152611399971647]",12,134.50098705099663,None,None,0,134.50098705099663,None,You lost $0.20!,-5.2,5,10,0.44999999999999996,25.0,0.2755198733308741,[0],33.33333333333333,9,3,134.91856527599884,None,,,,,,,,0005,Practice,2,2019_Aug_20_1211,MID,3.1.5,60.01758275199973,
SmallReward,2000,0,12,12,12,,,,,,,,136.48425450099603,None,2000,138.50091322599474,None,None,138.50091322599474,None,1.55,"[0.27570930299407337, 0.29932420299883233, 0.25152611399971647]",13,140.51913723799953,None,None,0,140.51913723799953,None,You did not win $0.20!,-5.2,2,11,0.44999999999999996,23.076923076923077,0.2755198733308741,"[0, 0]",33.33333333333333,9,3,140.91939892599476,None,,,,,,,,0005,Practice,2,2019_Aug_20_1211,MID,3.1.5,60.01758275199973,
