Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,preinstruc_text.started,preinstruc_text.stopped,instructFig.started,instructFig.stopped,PrepFixation.started,PrepFixation.stopped,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,rt_list,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedbackMsg.started,feedbackMsg.stopped,AdjRTmsg,polygon.started,polygon.stopped,text.started,text.stopped,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgPun,1500,0,0,0,0,13.363929107006697,None,16.396768093007267,None,26.1978709180039,None,TimeVersion10.csv,28.197551332006697,None,1500,30.214420908007014,None,None,30.214420908007014,None,1.5,[],1,31.718622901003982,None,None,0,31.718622901003982,None,You lost $5.00!,-5,4,1,0.49999999999999994,0.0,nan,[0],0,0,3,32.19850821900036,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
LgPun,2500,0,1,1,1,,,,,,,,33.68622507100372,None,2500,35.71645595100563,None,None,35.71645595100563,None,1.5,[],2,38.21665396100434,None,None,0,38.21665396100434,None,You lost $5.00!,-10,4,2,0.49999999999999994,0.0,nan,"[0, 0]",0,0,3,38.68293483900197,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
Triangle,2000,0,2,2,2,,,,,,,,40.18935677900299,None,2000,42.217164420006156,None,None,42.217164420006156,None,1.5,[],3,44.21899044500606,None,None,0,44.21899044500606,None,You did not win or lose anything!,-10,3,2,0.49999999999999994,0.0,nan,"[0, 0]",0,0,3,44.69988567200198,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
SmallPun,2500,0,3,3,3,,,,,,,,46.18891116200393,None,2500,48.218230424005014,None,None,48.218230424005014,None,1.5,[],4,50.71841736400529,None,None,0,50.71841736400529,None,You lost $0.20!,-10.2,5,3,0.5,0.0,nan,[],0.0,3,3,51.201088685003924,None,Adjusting RT...,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
LgReward,2000,0,4,4,4,,,,,,,,52.70619165100652,None,2000,54.718254037004954,None,None,54.718254037004954,None,1.5,[],5,56.735463350007194,None,None,0,56.735463350007194,None,You did not win $5.00!,-10.2,1,4,0.5,0.0,nan,[0],0.0,3,3,57.202133550003055,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
Triangle,1500,0,5,5,5,,,,,,,,58.6906535570015,None,1500,60.71935391500301,None,None,60.71935391500301,None,1.5,[],6,62.21919777600124,None,None,0,62.21919777600124,None,You did not win or lose anything!,-10.2,3,4,0.5,0.0,nan,[0],0.0,3,3,62.702409960002115,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
SmallPun,1500,0,6,6,6,,,,,,,,64.19060513400473,None,1500,66.21941466900171,None,None,66.21941466900171,None,1.5,[],7,67.72081359200092,None,None,0,67.72081359200092,None,You lost $0.20!,-10.399999999999999,5,5,0.5,0.0,nan,"[0, 0]",0.0,3,3,68.20307000400499,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
Triangle,2500,0,7,7,7,,,,,,,,69.69000094300281,None,2500,71.72058844200365,None,None,71.72058844200365,None,1.5,[],8,74.22316062000027,None,None,0,74.22316062000027,None,You did not win or lose anything!,-10.399999999999999,3,5,0.5,0.0,nan,"[0, 0]",0.0,3,3,74.70323599500261,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
Triangle,3000,0,8,8,8,,,,,,,,76.19278624100116,None,3000,78.22159584800102,None,None,78.22159584800102,None,1.5,[],9,81.22302839400072,None,None,0,81.22302839400072,None,You did not win or lose anything!,-10.399999999999999,3,5,0.5,0.0,nan,"[0, 0]",0.0,3,3,81.68870879500173,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
SmallReward,3500,0,9,9,9,,,,,,,,83.20917185700091,None,3500,85.22232693200203,None,None,85.22232693200203,None,1.5,[],10,88.73980692900659,None,None,0,88.73980692900659,None,You did not win $0.20!,-10.399999999999999,2,6,0.5,0.0,nan,[],0.0,6,3,89.22295132000727,None,Adjusting RT...,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
