TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,trial_order
4,0,[],,0005,9
4,0,[],,0005,9
3,0,[],,0005,9
5,0,[],,0005,9
1,0,[],,0005,9
3,0,[],,0005,9
5,0,[],,0005,9
3,0,[],,0005,9
3,0,[],,0005,9
2,0,[],,0005,9
2,0,[],,0005,9
1,0,[],,0005,9
3,0,[],,0005,9
2,0,[],,0005,9
2,0,[],,0005,9
1,0,[],,0005,9
1,0,[],,0005,9
2,0,[],,0005,9
4,0,[],,0005,9
2,0,[],,0005,9
5,0,[],,0005,9
1,0,[],,0005,9
4,0,[],,0005,9
3,0,[],,0005,9
1,0,[],,0005,9
4,0,[],,0005,9
3,0,[],,0005,9
4,0,[],,0005,9
2,0,[],,0005,9
4,0,[],,0005,9
2,0,[],,0005,9
5,0,[],,0005,9
3,0,[],,0005,9
5,0,[],,0005,9
1,0,[],,0005,9
5,0,[],,0005,9
1,0,[],,0005,9
1,0,[],,0005,9
5,0,[],,0005,9
4,0,[],,0005,9
3,0,[],,0005,9
2,0,[],,0005,9
5,0,[],,0005,9
2,0,[],,0005,9
5,0,[],,0005,9
4,0,[],,0005,9
3,0,[],,0005,9
1,0,[],,0005,9
4,0,[],,0005,9
5,0,[],,0005,9
