Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,preinstruc_text.started,preinstruc_text.stopped,instructFig.started,instructFig.stopped,PrepFixation.started,PrepFixation.stopped,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,rt_list,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedbackMsg.started,feedbackMsg.stopped,probeResp.rt,AdjRTmsg,polygon.started,polygon.stopped,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,11.04551512600301,None,14.080662786000175,None,16.229553470999235,None,TimeVersion_practice1.csv,18.24640090399771,None,2000,20.24718312999903,None,None,20.24718312999903,None,1.65,[],1,22.26406574199791,None,None,0,22.26406574199791,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,22.58024552000279,None,,,,,0006,Practice,2,2019_Aug_20_1417,MID,3.1.5,60.246392926580704,
LgReward,2000,0,1,1,1,,,,,,,,24.23066175099666,None,2000,26.248209609002515,None,None,26.248209609002515,None,1.65,[0.2552101660039625],2,28.26415071300289,None,1,1,28.26415071300289,None,You won $5.00!,5,1,2,0.35,50.0,0.2552101660039625,"[0, 1]",0,0,3,28.58133432100294,None,0.2552101660039625,,,,0006,Practice,2,2019_Aug_20_1417,MID,3.1.5,60.246392926580704,
SmallPun,2000,0,2,2,2,,,,,,,,30.215784487998462,None,2000,32.24845171999914,None,None,32.24845171999914,None,1.65,"[0.2552101660039625, 0.23896878200321225]",3,34.24842073099717,None,1,1,34.24842073099717,None,You did not lose $0.20!,5,5,3,0.32999999999999996,66.66666666666666,0.24708947400358738,[],66.66666666666666,3,3,34.58208623500104,None,0.23896878200321225,Adjusting RT...,,,0006,Practice,2,2019_Aug_20_1417,MID,3.1.5,60.246392926580704,
LgPun,2000,0,3,3,3,,,,,,,,36.216073654002685,None,2000,38.248541547996865,None,None,38.248541547996865,None,1.67,"[0.2552101660039625, 0.23896878200321225, 0.245585327000299]",4,40.249673179998354,None,1,1,40.249673179998354,None,You did not lose $5.00!,5,4,4,0.32999999999999996,75.0,0.24658809166915793,[1],66.66666666666666,3,3,40.565879588000826,None,0.245585327000299,,,,0006,Practice,2,2019_Aug_20_1417,MID,3.1.5,60.246392926580704,
Triangle,2000,0,4,4,4,,,,,,,,42.21764942700247,None,2000,44.24946539400116,None,None,44.24946539400116,None,1.67,"[0.2552101660039625, 0.23896878200321225, 0.245585327000299]",5,46.25229736199981,None,None,0,46.25229736199981,None,You did not win or lose anything!,5,3,4,0.32999999999999996,60.0,0.24658809166915793,[1],66.66666666666666,3,3,46.56607634299871,None,,,,,0006,Practice,2,2019_Aug_20_1417,MID,3.1.5,60.246392926580704,
LgReward,2000,0,5,5,5,,,,,,,,48.23404003000178,None,2000,50.25035072599712,None,None,50.25035072599712,None,1.67,"[0.2552101660039625, 0.23896878200321225, 0.245585327000299, 0.24387607599783223]",6,52.26751070300088,None,1,1,52.26751070300088,None,You won $5.00!,10,1,5,0.32999999999999996,66.66666666666666,0.2459100877513265,"[1, 1]",66.66666666666666,3,3,52.568360112003575,None,0.24387607599783223,,,,0006,Practice,2,2019_Aug_20_1417,MID,3.1.5,60.246392926580704,
SmallPun,2000,0,6,6,6,,,,,,,,54.2202871460031,None,2000,56.25147854100214,None,None,56.25147854100214,None,1.67,"[0.2552101660039625, 0.23896878200321225, 0.245585327000299, 0.24387607599783223]",7,58.253801464998105,None,None,0,58.253801464998105,None,You lost $0.20!,9.8,5,6,0.30999999999999994,57.14285714285714,0.2459100877513265,[],66.66666666666666,6,3,58.56831320100173,None,,Adjusting RT...,,,0006,Practice,2,2019_Aug_20_1417,MID,3.1.5,60.246392926580704,
SmallReward,2000,0,7,7,7,,,,,,,,60.23596853100025,None,2000,62.25255012299749,None,None,62.25255012299749,None,1.69,"[0.2552101660039625, 0.23896878200321225, 0.245585327000299, 0.24387607599783223]",8,64.2694077979977,None,None,0,64.2694077979977,None,You did not win $0.20!,9.8,2,7,0.30999999999999994,50.0,0.2459100877513265,[0],66.66666666666666,6,3,64.53605481999693,None,,,,,0006,Practice,2,2019_Aug_20_1417,MID,3.1.5,60.246392926580704,
Triangle,2000,0,8,8,8,,,,,,,,66.20523851799953,None,2000,68.23628734499653,None,None,68.23628734499653,None,1.69,"[0.2552101660039625, 0.23896878200321225, 0.245585327000299, 0.24387607599783223]",9,70.23973382399708,None,None,0,70.23973382399708,None,You did not win or lose anything!,9.8,3,7,0.30999999999999994,44.44444444444444,0.2459100877513265,[0],66.66666666666666,6,3,70.52015741299692,None,,,,,0006,Practice,2,2019_Aug_20_1417,MID,3.1.5,60.246392926580704,
LgReward,2000,0,9,9,9,,,,,,,,72.20712654900126,None,2000,74.22030559300038,None,None,74.22030559300038,None,1.69,"[0.2552101660039625, 0.23896878200321225, 0.245585327000299, 0.24387607599783223]",10,76.2377589309981,None,None,0,76.2377589309981,None,You did not win $5.00!,9.8,1,8,0.30999999999999994,40.0,0.2459100877513265,"[0, 0]",66.66666666666666,6,3,76.50395534699783,None,,,,,0006,Practice,2,2019_Aug_20_1417,MID,3.1.5,60.246392926580704,
LgPun,2000,0,10,10,10,,,,,,,,78.17174016700301,None,2000,80.20469965200027,None,None,80.20469965200027,None,1.69,"[0.2552101660039625, 0.23896878200321225, 0.245585327000299, 0.24387607599783223]",11,82.20724257300026,None,None,0,82.20724257300026,None,You lost $5.00!,4.800000000000001,4,9,0.3499999999999999,36.36363636363637,0.2459100877513265,[],33.33333333333333,9,3,82.48798834100307,None,,Adjusting RT...,,,0006,Practice,2,2019_Aug_20_1417,MID,3.1.5,60.246392926580704,
SmallPun,2000,0,11,11,11,,,,,,,,84.15565100200183,None,2000,86.18902225799684,None,None,86.18902225799684,None,1.6500000000000001,"[0.2552101660039625, 0.23896878200321225, 0.245585327000299, 0.24387607599783223, 0.23304383199865697]",12,88.19021444499958,None,1,1,88.19021444499958,None,You did not lose $0.20!,4.800000000000001,5,10,0.3499999999999999,41.66666666666667,0.24333683660079258,[1],33.33333333333333,9,3,88.5061782959965,None,0.23304383199865697,,,,0006,Practice,2,2019_Aug_20_1417,MID,3.1.5,60.246392926580704,
SmallReward,2000,0,12,12,12,,,,,,,,90.17527651799901,None,2000,92.18941431099665,None,None,92.18941431099665,None,1.6500000000000001,"[0.2552101660039625, 0.23896878200321225, 0.245585327000299, 0.24387607599783223, 0.23304383199865697, 0.23267023199878167]",13,94.20658731900039,None,1,1,94.20658731900039,None,You won $0.20!,5.000000000000001,2,11,0.3499999999999999,46.15384615384615,0.2415590691671241,"[1, 1]",33.33333333333333,9,3,94.52304392700171,None,0.23267023199878167,,,,0006,Practice,2,2019_Aug_20_1417,MID,3.1.5,60.246392926580704,
LgPun,2000,0,13,13,13,,,,,,,,96.15911687399785,None,2000,98.19069772399962,None,None,98.19069772399962,None,1.6500000000000001,"[0.2552101660039625, 0.23896878200321225, 0.245585327000299, 0.24387607599783223, 0.23304383199865697, 0.23267023199878167, 0.21653117299865698]",14,100.19085974300106,None,1,1,100.19085974300106,None,You did not lose $5.00!,5.000000000000001,4,12,0.36999999999999994,50.0,0.23798365542877167,[],50.0,12,3,100.52355135000107,None,0.21653117299865698,Adjusting RT...,,,0006,Practice,2,2019_Aug_20_1417,MID,3.1.5,60.246392926580704,
Triangle,2000,0,14,14,14,,,,,,,,102.16018501699727,None,2000,104.1917246869998,None,None,104.1917246869998,None,1.6300000000000001,"[0.2552101660039625, 0.23896878200321225, 0.245585327000299, 0.24387607599783223, 0.23304383199865697, 0.23267023199878167, 0.21653117299865698, 0.2383079409992206]",15,106.1930633899974,None,1,1,106.1930633899974,None,You did not win or lose anything!,5.000000000000001,3,12,0.36999999999999994,53.333333333333336,0.23802419112507778,[],50.0,12,3,106.5420794399979,None,0.2383079409992206,,,,0006,Practice,2,2019_Aug_20_1417,MID,3.1.5,60.246392926580704,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0006,Practice,2,2019_Aug_20_1417,MID,3.1.5,60.246392926580704,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.15849097399769,None,,,,,,,,
