Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,preinstruc_text.started,preinstruc_text.stopped,instructFig.started,instructFig.stopped,PrepFixation.started,PrepFixation.stopped,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,rt_list,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedbackMsg.started,feedbackMsg.stopped,AdjRTmsg,probeResp.rt,polygon.started,polygon.stopped,text.started,text.stopped,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,1500,0,0,0,0,32.00694288899831,None,35.04083278400503,None,48.6588147010043,None,TimeVersion11.csv,50.655463064002106,None,1500,52.67959971899836,None,None,52.67959971899836,None,1.6300000000000001,[],1,54.17864323699905,None,None,0,54.17864323699905,None,You lost $0.20!,-0.2,5,1,0.36999999999999994,0.0,nan,[0],0,0,3,54.52998064900021,None,,,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
LgPun,1500,0,1,1,1,,,,,,,,56.15513209900382,None,1500,58.17855148699891,None,None,58.17855148699891,None,1.6300000000000001,[],2,59.67862613100442,None,None,0,59.67862613100442,None,You lost $5.00!,-5.2,4,2,0.36999999999999994,0.0,nan,"[0, 0]",0,0,3,60.03005597700394,None,,,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
Triangle,3500,0,2,2,2,,,,,,,,61.655820452004264,None,3500,63.66361004400096,None,None,63.66361004400096,None,1.6300000000000001,[],3,67.17973872300354,None,None,0,67.17973872300354,None,You did not win or lose anything!,-5.2,3,2,0.36999999999999994,0.0,nan,"[0, 0]",0,0,3,67.53128450400254,None,,,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
Triangle,1500,0,3,3,3,,,,,,,,69.15624313100125,None,1500,71.16435572299815,None,None,71.16435572299815,None,1.6300000000000001,[],4,72.68093480300013,None,None,0,72.68093480300013,None,You did not win or lose anything!,-5.2,3,2,0.36999999999999994,0.0,nan,"[0, 0]",0,0,3,73.03113995699823,None,,,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
LgReward,3500,0,4,4,4,,,,,,,,74.65645542400307,None,3500,76.66592269900138,None,None,76.66592269900138,None,1.6300000000000001,[],5,80.19770089200028,None,None,0,80.19770089200028,None,You did not win $5.00!,-5.2,1,3,0.43999999999999995,0.0,nan,[],0.0,3,3,80.53443734300527,None,Adjusting RT...,,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
SmallReward,3000,0,5,5,5,,,,,,,,82.15691760900518,None,3000,84.16414004300168,None,None,84.16414004300168,None,1.56,[],6,87.19951097300509,None,None,0,87.19951097300509,None,You did not win $0.20!,-5.2,2,4,0.43999999999999995,0.0,nan,[0],0.0,3,3,87.57564607300446,None,,,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
SmallPun,1500,0,6,6,6,,,,,,,,89.11563916299929,None,1500,91.1332351250021,None,None,91.1332351250021,None,1.56,[],7,92.6338511540016,None,None,0,92.6338511540016,None,You lost $0.20!,-5.4,5,5,0.43999999999999995,0.0,nan,"[0, 0]",0.0,3,3,93.0317991510019,None,,,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
SmallReward,1500,0,7,7,7,,,,,,,,94.57387187999848,None,1500,96.58482633499807,None,None,96.58482633499807,None,1.56,[],8,98.10781396300445,None,None,0,98.10781396300445,None,You did not win $0.20!,-5.4,2,6,0.5,0.0,nan,[],0.0,6,3,98.4905693949986,None,Adjusting RT...,,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
LgReward,3000,0,8,8,8,,,,,,,,100.0326989669993,None,3000,102.04960132700216,None,None,102.04960132700216,None,1.5,[0.2715647280056146],9,105.06862347800052,None,1,1,105.06862347800052,None,You won $5.00!,-0.40000000000000036,1,7,0.5,11.11111111111111,0.2715647280056146,[1],0.0,6,3,105.536566322,None,,0.2715647280056146,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
LgPun,1500,0,9,9,9,,,,,,,,107.03227645999868,None,1500,109.05189591400267,None,None,109.05189591400267,None,1.5,"[0.2715647280056146, 0.37146648099587765]",10,110.55272643900389,None,1,1,110.55272643900389,None,You did not lose $5.00!,-0.40000000000000036,4,8,0.5,20.0,0.3215156045007461,"[1, 1]",0.0,6,3,111.0325870730012,None,,0.37146648099587765,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
