TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,trial_order
5,0,[],,0006,11
4,0,[],,0006,11
3,0,[],,0006,11
3,0,[],,0006,11
1,0,[],,0006,11
2,0,[],,0006,11
5,0,[],,0006,11
2,0,[],,0006,11
1,1,0.2715647280056146,,0006,11
4,1,0.37146648099587765,,0006,11
2,1,0.3061468789965147,,0006,11
1,0,[],,0006,11
3,1,0.35233363199949963,,0006,11
1,0,[],,0006,11
4,1,0.2666429620003328,,0006,11
2,0,[],,0006,11
1,1,0.33248993800225435,,0006,11
5,1,0.27730592800071463,,0006,11
4,1,0.3525808339982177,,0006,11
4,1,0.284189673999208,,0006,11
2,1,0.3531536509981379,,0006,11
4,1,0.2991101749939844,,0006,11
3,1,0.3342433469952084,,0006,11
4,1,0.30234835400187876,,0006,11
4,0,[],,0006,11
5,0,[],,0006,11
4,1,0.30213818100310164,,0006,11
1,0,[],,0006,11
3,0,[],,0006,11
3,1,0.34324656300304923,,0006,11
2,1,0.3020501639985014,,0006,11
3,0,[],,0006,11
2,1,0.3055062390048988,,0006,11
3,0,[],,0006,11
2,0,[],,0006,11
5,1,0.3204752860037843,,0006,11
3,0,[],,0006,11
5,0,[],,0006,11
1,1,0.3133683300038683,,0006,11
1,0,[],,0006,11
4,1,0.344747389004624,,0006,11
5,1,0.33076159399934113,,0006,11
1,0,[],,0006,11
5,0,[],,0006,11
2,0,[],,0006,11
1,0,[],,0006,11
3,0,[],,0006,11
5,1,0.3246165349992225,,0006,11
5,0,[],,0006,11
2,1,0.30240259200218134,,0006,11
