TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,run,trial_order
4,0,[],,0009,1,5
1,0,[],,0009,1,5
4,0,[],,0009,1,5
2,0,[],,0009,1,5
3,0,[],,0009,1,5
2,0,[],,0009,1,5
3,0,[],,0009,1,5
4,0,[],,0009,1,5
1,0,[],,0009,1,5
5,0,[],,0009,1,5
4,0,[],,0009,1,5
2,0,[],,0009,1,5
1,0,[],,0009,1,5
3,0,[],,0009,1,5
4,0,[],,0009,1,5
3,0,[],,0009,1,5
5,0,[],,0009,1,5
3,0,[],,0009,1,5
4,0,[],,0009,1,5
1,0,[],,0009,1,5
4,0,[],,0009,1,5
1,0,[],,0009,1,5
1,0,[],,0009,1,5
3,0,[],,0009,1,5
2,0,[],,0009,1,5
5,0,[],,0009,1,5
2,0,[],,0009,1,5
5,0,[],,0009,1,5
3,0,[],,0009,1,5
4,0,[],,0009,1,5
3,0,[],,0009,1,5
1,0,[],,0009,1,5
3,0,[],,0009,1,5
3,0,[],,0009,1,5
2,0,[],,0009,1,5
4,0,[],,0009,1,5
2,0,[],,0009,1,5
1,0,[],,0009,1,5
5,0,[],,0009,1,5
2,0,[],,0009,1,5
5,0,[],,0009,1,5
2,0,[],,0009,1,5
2,0,[],,0009,1,5
5,0,[],,0009,1,5
5,0,[],,0009,1,5
1,0,[],,0009,1,5
4,0,[],,0009,1,5
5,0,[],,0009,1,5
1,0,[],,0009,1,5
5,0,[],,0009,1,5
