Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgPun,2500,0,0,0,0,TimeVersion6.csv,20.567884589996538,None,2500,22.577695386993582,None,None,22.577695386993582,None,1.6300000000000001,1,25.087898407000466,None,None,0,25.087898407000466,None,You lost $5.00!,-5,4,1,0.36999999999999994,0.0,nan,[0],0,0,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
LgReward,1500,0,1,1,1,,27.04531278599461,None,1500,29.07932860800065,None,None,29.07932860800065,None,1.6300000000000001,2,30.5958942649886,None,None,0,30.5958942649886,None,You did not win $5.00!,-5,1,2,0.36999999999999994,0.0,nan,"[0, 0]",0,0,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
LgPun,1500,0,2,2,2,,32.531242404991644,None,1500,34.56342798798869,None,None,34.56342798798869,None,1.6300000000000001,3,36.07663808998768,None,None,0,36.07663808998768,None,You lost $5.00!,-10,4,3,0.43999999999999995,0.0,nan,[],0.0,3,3,Adjusting RT...,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
SmallReward,2000,0,3,3,3,,38.04712580300111,None,2000,40.06405892199837,None,None,40.06405892199837,None,1.56,4,42.08109814400086,None,None,0,42.08109814400086,None,You did not win $0.20!,-10,2,4,0.43999999999999995,0.0,nan,[0],0.0,3,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
Triangle,2000,0,4,4,4,,44.01555582099536,None,2000,46.04746695699578,None,None,46.04746695699578,None,1.56,5,48.048583545998554,None,None,0,48.048583545998554,None,You did not win or lose anything!,-10,3,4,0.43999999999999995,0.0,nan,[0],0.0,3,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
SmallReward,1500,0,5,5,5,,50.01555497199297,None,1500,52.03197032799653,None,None,52.03197032799653,None,1.56,6,53.54947223699128,None,None,0,53.54947223699128,None,You did not win $0.20!,-10,2,5,0.43999999999999995,0.0,nan,"[0, 0]",0.0,3,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
Triangle,1500,0,6,6,6,,55.484141038992675,None,1500,57.51638025899592,None,None,57.51638025899592,None,1.56,7,59.02982020498894,None,None,0,59.02982020498894,None,You did not win or lose anything!,-10,3,5,0.43999999999999995,0.0,nan,"[0, 0]",0.0,3,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
LgPun,1500,0,7,7,7,,60.966751356987515,None,1500,63.000388446991565,None,None,63.000388446991565,None,1.56,8,64.50010103799286,None,None,0,64.50010103799286,None,You lost $5.00!,-15,4,6,0.5,0.0,nan,[],0.0,6,3,Adjusting RT...,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
LgReward,2000,0,8,8,8,,66.4735346899979,None,2000,68.48442105398863,None,None,68.48442105398863,None,1.5,9,70.51251603999117,None,None,0,70.51251603999117,None,You did not win $5.00!,-15,1,7,0.5,0.0,nan,[0],0.0,6,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
SmallPun,4000,0,9,9,9,,72.45318019700062,None,4000,74.48539647199505,None,None,74.48539647199505,None,1.5,10,78.4989216279937,None,None,0,78.4989216279937,None,You lost $0.20!,-15.2,5,8,0.5,0.0,nan,"[0, 0]",0.0,6,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
