Condition,FixationDur,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructFig.started,instructFig.stopped,text_2.started,text_2.stopped,PrepFixation.started,PrepFixation.stopped,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,rt_list,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedbackMsg.started,feedbackMsg.stopped,AdjRTmsg,fixationResp.rt,polygon.started,polygon.stopped,text.started,text.stopped,participant,session,practiceRT,trial Order,date,expName,psychopyVersion,frameRate,
SmallPun,3500,0,0,0,0,0,0,0,0,6.238341436001065,None,8.114707096996426,None,8.997557672999392,None,10.998474861997238,None,3500,13.01540401300008,None,None,13.01540401300008,None,1.5,[0.27773098099714844],1,16.530138514994178,None,1,1,0.27773098099714844,16.530138514994178,None,You did not lose $0.20!,0,5,1,0.5,100.0,0.27773098099714844,[1],0,0,3,16.999527863998082,None,,,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
Triangle,3000,0,0,0,0,0,1,1,1,,,,,,,18.48233215399523,None,3000,20.51581169199926,None,None,20.51581169199926,None,1.5,"[0.27773098099714844, 0.38358042699837824]",2,23.529559403999883,None,1,1,0.38358042699837824,23.529559403999883,None,You did not win or lose anything!,0,3,1,0.5,100.0,0.33065570399776334,[1],0,0,3,24.000134231995617,None,,,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
SmallPun,2000,0,0,0,0,0,2,2,2,,,,,,,25.483411327993963,None,2000,27.517151749998447,None,None,27.517151749998447,None,1.5,"[0.27773098099714844, 0.38358042699837824, 0.26019814999744995]",3,29.516935811996518,None,1,1,0.26019814999744995,29.516935811996518,None,You did not lose $0.20!,0,5,2,0.5,100.0,0.30716985266432556,"[1, 1]",0,0,3,30.000556649996724,None,,,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
SmallReward,1500,0,0,0,0,0,3,3,3,,,,,,,31.500441772994236,None,1500,33.51807271099824,None,None,33.51807271099824,None,1.5,"[0.27773098099714844, 0.38358042699837824, 0.26019814999744995, 0.25041592799971113]",4,35.03444418399886,None,1,1,0.25041592799971113,35.03444418399886,None,You won $0.20!,0.2,2,3,0.45,100.0,0.29298137149817194,[],100.0,3,3,35.50146683299681,None,Adjusting RT...,,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
LgReward,1500,0,0,0,0,0,4,4,4,,,,,,,37.00786187299673,None,1500,39.01858509199519,None,None,39.01858509199519,None,1.55,"[0.27773098099714844, 0.38358042699837824, 0.26019814999744995, 0.25041592799971113, 0.2553734120010631]",5,40.54560197299725,None,1,1,0.2553734120010631,40.54560197299725,None,You won $5.00!,5.2,1,4,0.45,100.0,0.2854597795987502,[1],100.0,3,3,40.952114545994846,None,,,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
SmallReward,1500,0,0,0,0,0,5,5,5,,,,,,,42.50224190099834,None,1500,44.51951422199636,None,None,44.51951422199636,None,1.55,"[0.27773098099714844, 0.38358042699837824, 0.26019814999744995, 0.25041592799971113, 0.2553734120010631, 0.2550152839976363]",6,46.03640691899636,None,1,1,0.2550152839976363,46.03640691899636,None,You won $0.20!,5.4,2,5,0.45,100.0,0.2803856969985645,"[1, 1]",100.0,3,3,46.45293410999875,None,,,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
Triangle,1500,0,0,0,0,0,6,6,6,,,,,,,47.988050185995235,None,1500,50.0194318549984,None,None,50.0194318549984,None,1.55,"[0.27773098099714844, 0.38358042699837824, 0.26019814999744995, 0.25041592799971113, 0.2553734120010631, 0.2550152839976363, 0.2465918150046491]",7,51.53311381599633,None,1,1,0.2465918150046491,51.53311381599633,None,You did not win or lose anything!,5.4,3,5,0.45,100.0,0.2755579995708623,"[1, 1]",100.0,3,3,51.95356553099555,None,,,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
LgPun,2500,0,0,0,0,0,7,7,7,,,,,,,53.48964879399864,None,2500,55.52069084399409,None,None,55.52069084399409,None,1.55,"[0.27773098099714844, 0.38358042699837824, 0.26019814999744995, 0.25041592799971113, 0.2553734120010631, 0.2550152839976363, 0.2465918150046491, 0.2763600440011942]",8,58.03392257899395,None,1,1,0.2763600440011942,58.03392257899395,None,You did not lose $5.00!,5.4,4,6,0.4,100.0,0.2756582551246538,[],100.0,6,3,58.45488838700112,None,Adjusting RT...,,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
SmallReward,3500,0,0,0,0,0,8,8,8,,,,,,,60.003938918998756,None,3500,62.02108976800082,None,None,62.02108976800082,None,1.6,"[0.27773098099714844, 0.38358042699837824, 0.26019814999744995, 0.25041592799971113, 0.2553734120010631, 0.2550152839976363, 0.2465918150046491, 0.2763600440011942, 0.2289352349980618]",9,65.55206629999884,None,1,1,0.2289352349980618,65.55206629999884,None,You won $0.20!,5.6000000000000005,2,7,0.4,100.0,0.27046680844392135,[1],100.0,6,3,65.90538831299637,None,,,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
SmallReward,2000,0,0,0,0,0,9,9,9,,,,,,,67.50515919699683,None,2000,69.52291035199596,None,None,69.52291035199596,None,1.6,"[0.27773098099714844, 0.38358042699837824, 0.26019814999744995, 0.25041592799971113, 0.2553734120010631, 0.2550152839976363, 0.2465918150046491, 0.2763600440011942, 0.2289352349980618]",10,71.53943706800055,None,None,0,,71.53943706800055,None,You did not win $0.20!,5.6000000000000005,2,8,0.4,90.0,0.27046680844392135,"[1, 0]",100.0,6,3,71.90616404100001,None,,,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
