Condition,FixationDur,textPrompt,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructFig.started,instructFig.stopped,text_2.started,text_2.stopped,PrepFixation.started,PrepFixation.stopped,TrialOrder,text.started,text.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,rt_list,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedbackMsg.started,feedbackMsg.stopped,AdjRTmsg,fixationResp.rt,polygon.started,polygon.stopped,participant,prac_or_scan,practiceRT,date,expName,psychopyVersion,frameRate,
SmallReward,2000,win $0.20,0,0,0,0,0,0,0,0,25.02347401699808,None,None,None,26.656193995004287,None,TimeVersion_practice.csv,28.70674892199895,None,None,28.70674892199895,None,30.67346226600057,None,2000,32.67390379199787,None,None,32.67390379199787,None,1.65,[0.22167661099956604],1,34.706117235997226,None,1,1,0.22167661099956604,34.706117235997226,None,You won $0.20!,0.2,2,1,0.35,100.0,0.22167661099956604,[1],0,0,3,35.02369122300297,None,,,,,1,Practice,,2019_Aug_13_1208,MID,3.1.5,59.773236836127154,
LgReward,2000,win $5.00,0,0,0,0,0,1,1,1,,,,,,,,36.69072356400284,None,None,36.69072356400284,None,38.67307580100169,None,2000,40.691191445002914,None,None,40.691191445002914,None,1.65,"[0.22167661099956604, 0.2528359490024741]",2,42.70711377700354,None,1,1,0.2528359490024741,42.70711377700354,None,You won $5.00!,5.2,1,2,0.35,100.0,0.23725628000102006,"[1, 1]",0,0,3,43.00668504799978,None,,,,,1,Practice,,2019_Aug_13_1208,MID,3.1.5,59.773236836127154,
SmallPun,2000,lose $0.20,0,0,0,0,0,2,2,2,,,,,,,,44.690756358002545,None,None,44.690756358002545,None,46.65775747400039,None,2000,48.67418142800307,None,None,48.67418142800307,None,1.65,"[0.22167661099956604, 0.2528359490024741, 0.23657328300032532]",3,50.69135565200122,None,1,1,0.23657328300032532,50.69135565200122,None,You did not lose $0.20!,5.2,5,3,0.3,100.0,0.2370286143341218,[],100.0,3,3,51.00991803200304,None,Adjusting RT...,,,,1,Practice,,2019_Aug_13_1208,MID,3.1.5,59.773236836127154,
LgPun,2000,lose $5.00,0,0,0,0,0,3,3,3,,,,,,,,52.6911822530019,None,None,52.6911822530019,None,54.65782761800074,None,2000,56.677667299998575,None,None,56.677667299998575,None,1.7,"[0.22167661099956604, 0.2528359490024741, 0.23657328300032532, 0.2202605679995031]",4,58.69155070600391,None,1,1,0.2202605679995031,58.69155070600391,None,You did not lose $5.00!,5.2,4,4,0.3,100.0,0.23283660275046714,[1],100.0,3,3,58.95739118199708,None,,,,,1,Practice,,2019_Aug_13_1208,MID,3.1.5,59.773236836127154,
Triangle,2000,not win or lose money,0,0,0,0,0,4,4,4,,,,,,,,60.69441100199765,None,None,60.69441100199765,None,62.65843051399861,None,2000,64.6782442199983,None,None,64.6782442199983,None,1.7,"[0.22167661099956604, 0.2528359490024741, 0.23657328300032532, 0.2202605679995031]",5,66.69201046400121,None,None,0,,66.69201046400121,None,You did not win or lose anything!,5.2,3,4,0.3,80.0,0.23283660275046714,[1],100.0,3,3,66.9619207939977,None,,,,,1,Practice,,2019_Aug_13_1208,MID,3.1.5,59.773236836127154,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Practice,,2019_Aug_13_1208,MID,3.1.5,59.773236836127154,
SmallReward,2000,,1,0,1,0,0,0,0,0,68.691824704998,None,None,None,73.1132413009982,None,TimeVersion_practice1.csv,,,,,,75.12604116500006,None,2000,77.13039173700236,None,None,77.13039173700236,None,1.7,"[0.22167661099956604, 0.2528359490024741, 0.23657328300032532, 0.2202605679995031]",6,79.15860625800269,None,None,0,,79.15860625800269,None,You did not win $0.20!,5.2,2,5,0.3,66.66666666666666,0.23283660275046714,"[1, 0]",100.0,3,3,79.41404986799898,None,,,,,1,Practice,,2019_Aug_13_1208,MID,3.1.5,59.773236836127154,
LgReward,2000,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,81.12574135400064,None,2000,83.13092238699755,None,None,83.13092238699755,None,1.7,"[0.22167661099956604, 0.2528359490024741, 0.23657328300032532, 0.2202605679995031, 0.20460017600271385]",7,85.14738388700061,None,1,1,0.20460017600271385,85.14738388700061,None,You won $5.00!,10.2,1,6,0.27,71.42857142857143,0.22718931740091647,[],83.33333333333333,6,3,85.40964632300165,None,Adjusting RT...,,,,1,Practice,,2019_Aug_13_1208,MID,3.1.5,59.773236836127154,
SmallPun,2000,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,87.10938334200182,None,2000,89.13232284400146,None,None,89.13232284400146,None,1.73,"[0.22167661099956604, 0.2528359490024741, 0.23657328300032532, 0.2202605679995031, 0.20460017600271385]",8,91.14251267699728,None,None,0,,91.14251267699728,None,You lost $0.20!,10.0,5,7,0.27,62.5,0.22718931740091647,[0],83.33333333333333,6,3,91.3814668499981,None,,,,,1,Practice,,2019_Aug_13_1208,MID,3.1.5,59.773236836127154,
LgPun,2000,,1,0,1,0,0,3,3,3,,,,,,,,,,,,,93.109836980002,None,2000,95.13235633599834,None,1,95.13235633599834,None,1.73,"[0.22167661099956604, 0.2528359490024741, 0.23657328300032532, 0.2202605679995031, 0.20460017600271385]",9,97.14288490699983,None,None,0,,97.14288490699983,None,You lost $5.00!,5.0,4,8,0.27,55.55555555555556,0.22718931740091647,"[0, 0]",83.33333333333333,6,3,97.37690495700372,None,,1.9155740369969863,,,1,Practice,,2019_Aug_13_1208,MID,3.1.5,59.773236836127154,
