Condition,FixationDur,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructFig.started,instructFig.stopped,text_2.started,text_2.stopped,PrepFixation.started,PrepFixation.stopped,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,rt_list,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedbackMsg.started,feedbackMsg.stopped,probeResp.rt,AdjRTmsg,fixationResp.rt,polygon.started,polygon.stopped,text.started,text.stopped,participant,prac_or_scan,practiceRT,date,expName,psychopyVersion,frameRate,
SmallPun,2000,0,0,0,0,0,0,0,0,8.826251741003944,None,9.963710017000267,None,10.380569465000008,None,TimeVersion5.csv,12.388440542999888,None,2000,14.397491805000755,None,None,14.397491805000755,None,1.65,[],1,16.397406475000025,None,None,0,16.397406475000025,None,You lost $0.20!,-0.2,5,1,0.35,0.0,nan,[0],0,0,3,16.73229427500337,None,,,,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
LgReward,4000,0,0,0,0,0,1,1,1,,,,,,,,18.405398620001506,None,4000,20.398349071001576,None,None,20.398349071001576,None,1.65,[],2,24.42446167900198,None,None,0,24.42446167900198,None,You did not win $5.00!,-0.2,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,24.732737379003083,None,,,,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
SmallPun,3000,0,0,0,0,0,2,2,2,,,,,,,,26.36594818499725,None,3000,28.399094997002976,None,None,28.399094997002976,None,1.65,[0.2542431369947735],3,31.412569555002847,None,1,1,31.412569555002847,None,You did not lose $0.20!,-0.2,5,3,0.38999999999999996,33.33333333333333,0.2542431369947735,[],33.33333333333333,3,3,31.733109401000547,None,0.2542431369947735,Adjusting RT...,,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
SmallReward,2000,0,0,0,0,0,3,3,3,,,,,,,,33.38385655899765,None,2000,35.40036851300101,None,None,35.40036851300101,None,1.61,"[0.2542431369947735, 0.2521261920046527]",4,37.417041649001476,None,1,1,37.417041649001476,None,You won $0.20!,0.0,2,4,0.38999999999999996,50.0,0.2531846644997131,[1],33.33333333333333,3,3,37.751129864001996,None,0.2521261920046527,,,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
LgPun,2000,0,0,0,0,0,4,4,4,,,,,,,,39.35005258399906,None,2000,41.3846189169999,None,None,41.3846189169999,None,1.61,"[0.2542431369947735, 0.2521261920046527, 0.2278964819997782]",5,43.384848526002315,None,1,1,43.384848526002315,None,You did not lose $5.00!,0.0,4,5,0.38999999999999996,60.0,0.24475527033306813,"[1, 1]",33.33333333333333,3,3,43.73495233699941,None,0.2278964819997782,,,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
Triangle,2500,0,0,0,0,0,5,5,5,,,,,,,,45.33701187300176,None,2500,47.36880572699738,None,None,47.36880572699738,None,1.61,"[0.2542431369947735, 0.2521261920046527, 0.2278964819997782, 0.028245911998965312]",6,49.88412175400299,None,1,1,49.88412175400299,None,You did not win or lose anything!,0.0,3,5,0.38999999999999996,66.66666666666666,0.19062793074954243,"[1, 1]",33.33333333333333,3,3,50.235832997001125,None,0.028245911998965312,,,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
SmallReward,2500,0,0,0,0,0,6,6,6,,,,,,,,51.83601583699783,None,2500,53.852959474003,None,None,53.852959474003,None,1.61,"[0.2542431369947735, 0.2521261920046527, 0.2278964819997782, 0.028245911998965312, 0.24655221500142943]",7,56.37974836600188,None,1,1,56.37974836600188,None,You won $0.20!,0.2,2,6,0.36999999999999994,71.42857142857143,0.20181278759991983,[],66.66666666666666,6,3,56.72014955699706,None,0.24655221500142943,Adjusting RT...,,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
SmallReward,1500,0,0,0,0,0,7,7,7,,,,,,,,58.32003471400094,None,1500,60.337053224000556,None,None,60.337053224000556,None,1.6300000000000001,"[0.2542431369947735, 0.2521261920046527, 0.2278964819997782, 0.028245911998965312, 0.24655221500142943, 0.2810867330044857]",8,61.85412544100109,None,1,1,61.85412544100109,None,You won $0.20!,0.4,2,7,0.36999999999999994,75.0,0.21502511183401415,[1],66.66666666666666,6,3,62.17021672500414,None,0.2810867330044857,,,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
LgReward,1500,0,0,0,0,0,8,8,8,,,,,,,,63.82653905099869,None,1500,65.83760973600147,None,None,65.83760973600147,None,1.6300000000000001,"[0.2542431369947735, 0.2521261920046527, 0.2278964819997782, 0.028245911998965312, 0.24655221500142943, 0.2810867330044857, 0.24129695699957665]",9,67.36442371900193,None,1,1,67.36442371900193,None,You won $5.00!,5.4,1,8,0.36999999999999994,77.77777777777779,0.21877823257195164,"[1, 1]",66.66666666666666,6,3,67.67198502000247,None,0.24129695699957665,,,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
SmallPun,2000,0,0,0,0,0,9,9,9,,,,,,,,69.30649057000119,None,2000,71.33871015199838,None,None,71.33871015199838,None,1.6300000000000001,"[0.2542431369947735, 0.2521261920046527, 0.2278964819997782, 0.028245911998965312, 0.24655221500142943, 0.2810867330044857, 0.24129695699957665, 0.24258045100577874]",10,73.35204864499974,None,1,1,73.35204864499974,None,You did not lose $0.20!,5.4,5,9,0.31999999999999995,80.0,0.22175350987618003,[],100.0,9,3,73.67217126600008,None,0.24258045100577874,Adjusting RT...,,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
