cue,probe,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,jitter,fixationResp.keys,jitterTarget,feedbackDur,rt_list,Trial counter,probeResp.keys,probeResp.corr,probeResp.rt,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc,meanrt,participant,session,PracticeRT,date,expName,psychopyVersion,frameRate,
images/WinSmall.BMP,images/WinProbe.BMP,WinSmall,0,0,0,4,1.743,None,0.222,1.5,[0.23068629199406132],1,space,1,0.23068629199406132,You won $0.20!,0.2,2,1,0.5,100.0,0.23068629199406132,,001,.5,2019_Apr_19_1221,MID,3.0.7,59.83049171734234,
images/WinBig.BMP,images/WinProbe.BMP,WinBig,0,1,1,3,2.302,None,0.282,1.5,[0.23068629199406132],2,None,0,,You did not win $5.00!,0.2,1,2,0.5,50.0,0.23068629199406132,,001,.5,2019_Apr_19_1221,MID,3.0.7,59.83049171734234,
images/Neutral.BMP,images/NeutralProbe.BMP,Neutral,0,2,2,2,2.201,None,0.282,1.5,"[0.23068629199406132, 0.23500767798395827]",3,space,1,0.23500767798395827,You did not win or lose anything!,0.2,3,2,0.5,66.66666666666666,0.2328469849890098,,001,.5,2019_Apr_19_1221,MID,3.0.7,59.83049171734234,
images/LoseBig.BMP,images/LoseProbe.BMP,LoseBig,0,3,3,0,1.509,None,0.367,1.5,"[0.23068629199406132, 0.23500767798395827]",4,None,0,,You lost $5.00!,-4.8,4,3,0.48,50.0,0.2328469849890098,,001,.5,2019_Apr_19_1221,MID,3.0.7,59.83049171734234,
images/LoseSmall.BMP,images/LoseProbe.BMP,LoseSmall,0,4,4,1,3.566,None,0.38,1.52,"[0.23068629199406132, 0.23500767798395827]",5,None,0,,You lost $0.20!,-5.0,5,4,0.48,40.0,0.2328469849890098,,001,.5,2019_Apr_19_1221,MID,3.0.7,59.83049171734234,
images/LoseSmall.BMP,images/LoseProbe.BMP,LoseSmall,1,0,5,1,1.777,None,0.266,1.52,"[0.23068629199406132, 0.23500767798395827]",6,None,0,,You lost $0.20!,-5.2,5,5,0.48,33.33333333333333,0.2328469849890098,,001,.5,2019_Apr_19_1221,MID,3.0.7,59.83049171734234,
images/WinSmall.BMP,images/WinProbe.BMP,WinSmall,1,1,6,4,3.624,None,0.296,1.52,"[0.23068629199406132, 0.23500767798395827]",7,None,0,,You did not win $0.20!,-5.2,2,6,0.45999999999999996,28.57142857142857,0.2328469849890098,,001,.5,2019_Apr_19_1221,MID,3.0.7,59.83049171734234,
images/Neutral.BMP,images/NeutralProbe.BMP,Neutral,1,2,7,2,2.674,None,0.43,1.54,"[0.23068629199406132, 0.23500767798395827]",8,None,0,,You did not win or lose anything!,-5.2,3,6,0.45999999999999996,25.0,0.2328469849890098,,001,.5,2019_Apr_19_1221,MID,3.0.7,59.83049171734234,
images/LoseBig.BMP,images/LoseProbe.BMP,LoseBig,1,3,8,0,3.764,None,0.174,1.54,"[0.23068629199406132, 0.23500767798395827, 0.34753125003771856]",9,space,1,0.34753125003771856,You did not lose $5.00!,-5.2,4,7,0.45999999999999996,33.33333333333333,0.2710750733385794,,001,.5,2019_Apr_19_1221,MID,3.0.7,59.83049171734234,
images/WinBig.BMP,images/WinProbe.BMP,WinBig,1,4,9,3,3.513,None,0.438,1.54,"[0.23068629199406132, 0.23500767798395827, 0.34753125003771856]",10,None,0,,You did not win $5.00!,-5.2,1,8,0.45999999999999996,30.0,0.2710750733385794,,001,.5,2019_Apr_19_1221,MID,3.0.7,59.83049171734234,
images/WinBig.BMP,images/WinProbe.BMP,WinBig,2,0,10,3,1.594,None,0.211,1.54,"[0.23068629199406132, 0.23500767798395827, 0.34753125003771856, 0.2547451549908146]",11,space,1,0.2547451549908146,You won $5.00!,-0.20000000000000018,1,9,0.41,36.36363636363637,0.2669925937516382,,001,.5,2019_Apr_19_1221,MID,3.0.7,59.83049171734234,
images/Neutral.BMP,images/NeutralProbe.BMP,Neutral,2,1,11,2,2.051,None,0.331,1.59,"[0.23068629199406132, 0.23500767798395827, 0.34753125003771856, 0.2547451549908146]",12,None,0,,You did not win or lose anything!,-0.20000000000000018,3,9,0.41,33.33333333333333,0.2669925937516382,,001,.5,2019_Apr_19_1221,MID,3.0.7,59.83049171734234,
images/LoseSmall.BMP,images/LoseProbe.BMP,LoseSmall,2,2,12,1,2.406,None,0.213,1.59,"[0.23068629199406132, 0.23500767798395827, 0.34753125003771856, 0.2547451549908146, 0.344703943002969]",13,space,1,0.344703943002969,You did not lose $0.20!,-0.20000000000000018,5,10,0.41,38.46153846153847,0.2825348636019044,,001,.5,2019_Apr_19_1221,MID,3.0.7,59.83049171734234,
images/WinSmall.BMP,images/WinProbe.BMP,WinSmall,2,3,13,4,3.572,None,0.344,1.59,"[0.23068629199406132, 0.23500767798395827, 0.34753125003771856, 0.2547451549908146, 0.344703943002969, 0.21982420602580532]",14,space,1,0.21982420602580532,You won $0.20!,-1.6653345369377348e-16,2,11,0.41,42.857142857142854,0.2720830873392212,,001,.5,2019_Apr_19_1221,MID,3.0.7,59.83049171734234,
images/LoseBig.BMP,images/LoseProbe.BMP,LoseBig,2,4,14,0,2.27,None,0.245,1.59,"[0.23068629199406132, 0.23500767798395827, 0.34753125003771856, 0.2547451549908146, 0.344703943002969, 0.21982420602580532, 0.26305653795134276]",15,space,1,0.26305653795134276,You did not lose $5.00!,-1.6653345369377348e-16,4,12,0.36,46.666666666666664,0.27079358028381,,001,.5,2019_Apr_19_1221,MID,3.0.7,59.83049171734234,
