cue,probe,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,jitter,fixationResp.keys,jitterTarget,feedbackDur,rt_list,Trial counter,probeResp.keys,probeResp.corr,probeResp.rt,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc,meanrt,UserAcc,AdjTrial,AdjTrialInc,fixationResp.rt,participant,session,PracticeRT,date,expName,psychopyVersion,frameRate,
images/WinSmall.BMP,images/WinProbe.BMP,WinSmall,0,0,0,4,3.388,None,0.418,1.5,[0.26949129300192],1,space,1,0.26949129300192,You won $0.20!,0.2,2,1,0.5,100.0,0.26949129300192,[1],0,3,,,001,.5,2019_Apr_22_1507,MID,3.0.7,59.9908828318731,
images/Neutral.BMP,images/NeutralProbe.BMP,Neutral,0,1,1,2,3.919,space,0.445,1.5,[0.26949129300192],2,None,0,,You did not win or lose anything!,0.2,3,1,0.5,50.0,0.26949129300192,[1],0,3,1.3688162849866785,,001,.5,2019_Apr_22_1507,MID,3.0.7,59.9908828318731,
images/LoseBig.BMP,images/LoseProbe.BMP,LoseBig,0,2,2,0,3.209,space,0.477,1.5,[0.26949129300192],3,None,0,,You lost $5.00!,-4.8,4,2,0.5,33.33333333333333,0.26949129300192,"[1, 0]",0,3,0.4188768609892577,,001,.5,2019_Apr_22_1507,MID,3.0.7,59.9908828318731,
images/LoseSmall.BMP,images/LoseProbe.BMP,LoseSmall,0,3,3,1,1.679,None,0.462,1.5,[0.26949129300192],4,None,0,,You lost $0.20!,-5.0,5,3,0.5,25.0,0.26949129300192,[],3,3,,,001,.5,2019_Apr_22_1507,MID,3.0.7,59.9908828318731,
images/WinBig.BMP,images/WinProbe.BMP,WinBig,0,4,4,3,2.992,None,0.353,1.5,[0.26949129300192],5,None,0,,You did not win $5.00!,-5.0,1,4,0.5,20.0,0.26949129300192,[0],3,3,,,001,.5,2019_Apr_22_1507,MID,3.0.7,59.9908828318731,
images/WinBig.BMP,images/WinProbe.BMP,WinBig,1,0,5,3,1.967,space,0.331,1.5,[0.26949129300192],6,None,0,,You did not win $5.00!,-5.0,1,5,0.5,16.666666666666664,0.26949129300192,"[0, 0]",3,3,0.28546719101723284,,001,.5,2019_Apr_22_1507,MID,3.0.7,59.9908828318731,
images/Neutral.BMP,images/NeutralProbe.BMP,Neutral,1,1,6,2,3.86,None,0.252,1.5,"[0.26949129300192, 0.2879277180181816]",7,space,1,0.2879277180181816,You did not win or lose anything!,-5.0,3,5,0.5,28.57142857142857,0.2787095055100508,"[0, 0]",3,3,,,001,.5,2019_Apr_22_1507,MID,3.0.7,59.9908828318731,
images/LoseSmall.BMP,images/LoseProbe.BMP,LoseSmall,1,2,7,1,3.786,None,0.406,1.5,"[0.26949129300192, 0.2879277180181816, 0.3706922670244239]",8,space,1,0.3706922670244239,You did not lose $0.20!,-5.0,5,6,0.5,37.5,0.3093704260148418,[],6,3,,,001,.5,2019_Apr_22_1507,MID,3.0.7,59.9908828318731,
images/WinSmall.BMP,images/WinProbe.BMP,WinSmall,1,3,8,4,1.8,None,0.233,1.5,"[0.26949129300192, 0.2879277180181816, 0.3706922670244239, 0.34968019102234393]",9,space,1,0.34968019102234393,You won $0.20!,-4.8,2,7,0.5,44.44444444444444,0.31944786726671737,[1],6,3,,,001,.5,2019_Apr_22_1507,MID,3.0.7,59.9908828318731,
images/LoseBig.BMP,images/LoseProbe.BMP,LoseBig,1,4,9,0,2.459,None,0.187,1.5,"[0.26949129300192, 0.2879277180181816, 0.3706922670244239, 0.34968019102234393, 0.3535012740176171]",10,space,1,0.3535012740176171,You did not lose $5.00!,-4.8,4,8,0.5,50.0,0.3262585486168973,"[1, 1]",6,3,,,001,.5,2019_Apr_22_1507,MID,3.0.7,59.9908828318731,
images/LoseSmall.BMP,images/LoseProbe.BMP,LoseSmall,2,0,10,1,3.81,None,0.174,1.5,"[0.26949129300192, 0.2879277180181816, 0.3706922670244239, 0.34968019102234393, 0.3535012740176171, 0.2693390580243431]",11,space,1,0.2693390580243431,You did not lose $0.20!,-4.8,5,9,0.48,54.54545454545454,0.31677196685147163,[],9,3,,,001,.5,2019_Apr_22_1507,MID,3.0.7,59.9908828318731,
