Condition,FixationDur,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,jitter,fixationResp.keys,fixationResp.rt,jitterTarget,feedbackDur,rt_list,Trial counter,probeResp.keys,probeResp.corr,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,probeResp.rt,participant,session,practiceRT,trial Order,date,expName,psychopyVersion,frameRate,
SmallPun,2000,0,0,0,0,0,0,0,0,3.988,space,2.303289789997507,0.482,1.5,[],1,None,0,You lost $0.20!,-0.2,5,1,0.5,0.0,nan,[0],0,0,3,,,001,.5,1,2019_Apr_24_1209,MID,3.0.7,59.861003691063516,
LgReward,4000,0,0,0,0,0,1,1,1,1.804,None,,0.351,1.5,[0.3438124080421403],2,space,1,You won $5.00!,4.8,1,2,0.5,50.0,0.3438124080421403,"[0, 1]",0,0,3,0.3438124080421403,,001,.5,1,2019_Apr_24_1209,MID,3.0.7,59.861003691063516,
SmallPun,3000,0,0,0,0,0,2,2,2,3.569,None,,0.208,1.5,"[0.3438124080421403, 0.28523994295392185]",3,space,1,You did not lose $0.20!,4.8,5,3,0.48,66.66666666666666,0.3145261754980311,[],66.66666666666666,3,3,0.28523994295392185,,001,.5,1,2019_Apr_24_1209,MID,3.0.7,59.861003691063516,
SmallReward,2000,0,0,0,0,0,3,3,3,3.956,None,,0.298,1.52,"[0.3438124080421403, 0.28523994295392185, 0.25250092102214694]",4,space,1,You won $0.20!,5.0,2,4,0.48,75.0,0.29385109067273635,[1],66.66666666666666,3,3,0.25250092102214694,,001,.5,1,2019_Apr_24_1209,MID,3.0.7,59.861003691063516,
LgPun,2000,0,0,0,0,0,4,4,4,2.203,None,,0.317,1.52,"[0.3438124080421403, 0.28523994295392185, 0.25250092102214694, 0.1873037299956195]",5,space,1,You did not lose $5.00!,5.0,4,5,0.48,80.0,0.26721425050345715,"[1, 1]",66.66666666666666,3,3,0.1873037299956195,,001,.5,1,2019_Apr_24_1209,MID,3.0.7,59.861003691063516,
Triangle,2500,0,0,0,0,0,5,5,5,1.788,None,,0.302,1.52,"[0.3438124080421403, 0.28523994295392185, 0.25250092102214694, 0.1873037299956195, 0.2747775120078586]",6,space,1,You did not win or lose anything!,5.0,3,5,0.48,83.33333333333334,0.2687269028043374,"[1, 1]",66.66666666666666,3,3,0.2747775120078586,,001,.5,1,2019_Apr_24_1209,MID,3.0.7,59.861003691063516,
SmallReward,2500,0,0,0,0,0,6,6,6,1.962,None,,0.384,1.52,"[0.3438124080421403, 0.28523994295392185, 0.25250092102214694, 0.1873037299956195, 0.2747775120078586, 0.40408064000075683]",7,space,1,You won $0.20!,5.2,2,6,0.44999999999999996,85.71428571428571,0.29128585900374065,[],83.33333333333333,6,3,0.40408064000075683,,001,.5,1,2019_Apr_24_1209,MID,3.0.7,59.861003691063516,
SmallReward,1500,0,0,0,0,0,7,7,7,3.25,space,2.5033893060171977,0.197,1.55,"[0.3438124080421403, 0.28523994295392185, 0.25250092102214694, 0.1873037299956195, 0.2747775120078586, 0.40408064000075683]",8,None,0,You did not win $0.20!,5.2,2,7,0.44999999999999996,75.0,0.29128585900374065,[0],83.33333333333333,6,3,,,001,.5,1,2019_Apr_24_1209,MID,3.0.7,59.861003691063516,
LgReward,1500,0,0,0,0,0,8,8,8,3.804,None,,0.204,1.55,"[0.3438124080421403, 0.28523994295392185, 0.25250092102214694, 0.1873037299956195, 0.2747775120078586, 0.40408064000075683, 0.26982130599208176]",9,space,1,You won $5.00!,10.2,1,8,0.44999999999999996,77.77777777777779,0.2882194942877894,"[0, 1]",83.33333333333333,6,3,0.26982130599208176,,001,.5,1,2019_Apr_24_1209,MID,3.0.7,59.861003691063516,
SmallPun,2000,0,0,0,0,0,9,9,9,1.531,None,,0.443,1.55,"[0.3438124080421403, 0.28523994295392185, 0.25250092102214694, 0.1873037299956195, 0.2747775120078586, 0.40408064000075683, 0.26982130599208176, 0.4194418069673702]",10,space,1,You did not lose $0.20!,10.2,5,9,0.41999999999999993,80.0,0.304622283372737,[],83.33333333333333,9,3,0.4194418069673702,,001,.5,1,2019_Apr_24_1209,MID,3.0.7,59.861003691063516,
LgReward,2500,0,0,0,0,0,10,10,10,2.607,None,,0.46,1.58,"[0.3438124080421403, 0.28523994295392185, 0.25250092102214694, 0.1873037299956195, 0.2747775120078586, 0.40408064000075683, 0.26982130599208176, 0.4194418069673702]",11,None,0,You did not win $5.00!,10.2,1,10,0.41999999999999993,72.72727272727273,0.304622283372737,[0],83.33333333333333,9,3,,,001,.5,1,2019_Apr_24_1209,MID,3.0.7,59.861003691063516,
LgPun,3500,0,0,0,0,0,11,11,11,1.823,None,,0.314,1.58,"[0.3438124080421403, 0.28523994295392185, 0.25250092102214694, 0.1873037299956195, 0.2747775120078586, 0.40408064000075683, 0.26982130599208176, 0.4194418069673702]",12,None,0,You lost $5.00!,5.199999999999999,4,11,0.41999999999999993,66.66666666666666,0.304622283372737,"[0, 0]",83.33333333333333,9,3,,,001,.5,1,2019_Apr_24_1209,MID,3.0.7,59.861003691063516,
SmallPun,3500,0,0,0,0,0,12,12,12,2.744,None,,0.457,1.58,"[0.3438124080421403, 0.28523994295392185, 0.25250092102214694, 0.1873037299956195, 0.2747775120078586, 0.40408064000075683, 0.26982130599208176, 0.4194418069673702, 0.2375701519777067]",13,space,1,You did not lose $0.20!,5.199999999999999,5,12,0.43999999999999995,69.23076923076923,0.297172046551067,[],49.99999999999999,12,3,0.2375701519777067,,001,.5,1,2019_Apr_24_1209,MID,3.0.7,59.861003691063516,
Triangle,1500,0,0,0,0,0,13,13,13,1.547,None,,0.255,1.56,"[0.3438124080421403, 0.28523994295392185, 0.25250092102214694, 0.1873037299956195, 0.2747775120078586, 0.40408064000075683, 0.26982130599208176, 0.4194418069673702, 0.2375701519777067, 0.4028330250293948]",14,space,1,You did not win or lose anything!,5.199999999999999,3,12,0.43999999999999995,71.42857142857143,0.30773814439889974,[],49.99999999999999,12,3,0.4028330250293948,,001,.5,1,2019_Apr_24_1209,MID,3.0.7,59.861003691063516,
LgPun,4000,0,0,0,0,0,14,14,14,3.208,None,,0.47,1.56,"[0.3438124080421403, 0.28523994295392185, 0.25250092102214694, 0.1873037299956195, 0.2747775120078586, 0.40408064000075683, 0.26982130599208176, 0.4194418069673702, 0.2375701519777067, 0.4028330250293948, 0.288432608009316]",15,space,1,You did not lose $5.00!,5.199999999999999,4,13,0.43999999999999995,73.33333333333333,0.30598309563621034,[1],49.99999999999999,12,3,0.288432608009316,,001,.5,1,2019_Apr_24_1209,MID,3.0.7,59.861003691063516,
Triangle,4000,0,0,0,0,0,15,15,15,3.521,None,,0.155,1.56,"[0.3438124080421403, 0.28523994295392185, 0.25250092102214694, 0.1873037299956195, 0.2747775120078586, 0.40408064000075683, 0.26982130599208176, 0.4194418069673702, 0.2375701519777067, 0.4028330250293948, 0.288432608009316]",16,None,0,You did not win or lose anything!,5.199999999999999,3,13,0.43999999999999995,68.75,0.30598309563621034,[1],49.99999999999999,12,3,,,001,.5,1,2019_Apr_24_1209,MID,3.0.7,59.861003691063516,
