Condition,FixationDur,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,FixationDur,fixationResp.keys,jitterTarget,feedbackDur,rt_list,Trial counter,probeResp.keys,probeResp.corr,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,fixationResp.rt,probeResp.rt,AdjRTmsg,participant,session,practiceRT,trial Order,date,expName,psychopyVersion,frameRate,
SmallPun,2000,0,0,0,0,0,0,0,0,2000,None,0.164,1.5,[],1,None,0,You lost $0.20!,-0.2,5,1,0.5,0.0,nan,[0],0,0,3,,,,,001,.5,1,2019_Apr_24_1504,MID,3.0.7,59.93584131223958,
LgReward,4000,0,0,0,0,0,1,1,1,4000,space,0.234,1.5,[],2,None,0,You did not win $5.00!,-0.2,1,2,0.5,0.0,nan,"[0, 0]",0,0,3,1.5359102520160377,,,,001,.5,1,2019_Apr_24_1504,MID,3.0.7,59.93584131223958,
SmallPun,3000,0,0,0,0,0,2,2,2,3000,None,0.332,1.5,[0.24738264497136697],3,space,1,You did not lose $0.20!,-0.2,5,3,0.5,33.33333333333333,0.24738264497136697,[],33.33333333333333,3,3,,0.24738264497136697,Adjusting RT...,,001,.5,1,2019_Apr_24_1504,MID,3.0.7,59.93584131223958,
SmallReward,2000,0,0,0,0,0,3,3,3,2000,None,0.368,1.5,"[0.24738264497136697, 0.334903902024962]",4,space,1,You won $0.20!,0.0,2,4,0.5,50.0,0.2911432734981645,[1],33.33333333333333,3,3,,0.334903902024962,,,001,.5,1,2019_Apr_24_1504,MID,3.0.7,59.93584131223958,
LgPun,2000,0,0,0,0,0,4,4,4,2000,None,0.362,1.5,"[0.24738264497136697, 0.334903902024962]",5,None,0,You lost $5.00!,-5.0,4,5,0.5,40.0,0.2911432734981645,"[1, 0]",33.33333333333333,3,3,,,,,001,.5,1,2019_Apr_24_1504,MID,3.0.7,59.93584131223958,
Triangle,2500,0,0,0,0,0,5,5,5,2500,None,0.476,1.5,"[0.24738264497136697, 0.334903902024962]",6,None,0,You did not win or lose anything!,-5.0,3,5,0.5,33.33333333333333,0.2911432734981645,"[1, 0]",33.33333333333333,3,3,,,,,001,.5,1,2019_Apr_24_1504,MID,3.0.7,59.93584131223958,
SmallReward,2500,0,0,0,0,0,6,6,6,2500,None,0.389,1.5,"[0.24738264497136697, 0.334903902024962, 0.25275493203662336]",7,space,1,You won $0.20!,-4.8,2,6,0.5,42.857142857142854,0.2783471596776508,[],49.99999999999999,6,3,,0.25275493203662336,Adjusting RT...,,001,.5,1,2019_Apr_24_1504,MID,3.0.7,59.93584131223958,
SmallReward,1500,0,0,0,0,0,7,7,7,1500,None,0.328,1.5,"[0.24738264497136697, 0.334903902024962, 0.25275493203662336, 0.2536618489539251]",8,space,1,You won $0.20!,-4.6,2,7,0.5,50.0,0.27217583199671935,[1],49.99999999999999,6,3,,0.2536618489539251,,,001,.5,1,2019_Apr_24_1504,MID,3.0.7,59.93584131223958,
LgReward,1500,0,0,0,0,0,8,8,8,1500,None,0.188,1.5,"[0.24738264497136697, 0.334903902024962, 0.25275493203662336, 0.2536618489539251, 0.3364765750011429]",9,space,1,You won $5.00!,0.40000000000000036,1,8,0.5,55.55555555555556,0.28503598059760404,"[1, 1]",49.99999999999999,6,3,,0.3364765750011429,,,001,.5,1,2019_Apr_24_1504,MID,3.0.7,59.93584131223958,
SmallPun,2000,0,0,0,0,0,9,9,9,2000,None,0.381,1.5,"[0.24738264497136697, 0.334903902024962, 0.25275493203662336, 0.2536618489539251, 0.3364765750011429, 0.25995716400211677]",10,space,1,You did not lose $0.20!,0.40000000000000036,5,9,0.47,60.0,0.28085617783168954,[],83.33333333333333,9,3,,0.25995716400211677,Adjusting RT...,,001,.5,1,2019_Apr_24_1504,MID,3.0.7,59.93584131223958,
LgReward,2500,0,0,0,0,0,10,10,10,2500,None,0.323,1.53,"[0.24738264497136697, 0.334903902024962, 0.25275493203662336, 0.2536618489539251, 0.3364765750011429, 0.25995716400211677]",11,None,0,You did not win $5.00!,0.40000000000000036,1,10,0.47,54.54545454545454,0.28085617783168954,[0],83.33333333333333,9,3,,,,,001,.5,1,2019_Apr_24_1504,MID,3.0.7,59.93584131223958,
LgPun,3500,0,0,0,0,0,11,11,11,3500,None,0.376,1.53,"[0.24738264497136697, 0.334903902024962, 0.25275493203662336, 0.2536618489539251, 0.3364765750011429, 0.25995716400211677, 0.26944114902289584]",12,space,1,You did not lose $5.00!,0.40000000000000036,4,11,0.47,58.333333333333336,0.27922545943043325,"[0, 1]",83.33333333333333,9,3,,0.26944114902289584,,,001,.5,1,2019_Apr_24_1504,MID,3.0.7,59.93584131223958,
SmallPun,3500,0,0,0,0,0,12,12,12,3500,None,0.43,1.53,"[0.24738264497136697, 0.334903902024962, 0.25275493203662336, 0.2536618489539251, 0.3364765750011429, 0.25995716400211677, 0.26944114902289584]",13,None,0,You lost $0.20!,0.20000000000000034,5,12,0.44999999999999996,53.84615384615385,0.27922545943043325,[],66.66666666666666,12,3,,,Adjusting RT...,,001,.5,1,2019_Apr_24_1504,MID,3.0.7,59.93584131223958,
Triangle,1500,0,0,0,0,0,13,13,13,1500,None,0.274,1.55,"[0.24738264497136697, 0.334903902024962, 0.25275493203662336, 0.2536618489539251, 0.3364765750011429, 0.25995716400211677, 0.26944114902289584]",14,None,0,You did not win or lose anything!,0.20000000000000034,3,12,0.44999999999999996,50.0,0.27922545943043325,[],66.66666666666666,12,3,,,,,001,.5,1,2019_Apr_24_1504,MID,3.0.7,59.93584131223958,
LgPun,4000,0,0,0,0,0,14,14,14,4000,None,0.385,1.55,"[0.24738264497136697, 0.334903902024962, 0.25275493203662336, 0.2536618489539251, 0.3364765750011429, 0.25995716400211677, 0.26944114902289584, 0.3020579710137099]",15,space,1,You did not lose $5.00!,0.20000000000000034,4,13,0.44999999999999996,53.333333333333336,0.28207952337834286,[1],66.66666666666666,12,3,,0.3020579710137099,,,001,.5,1,2019_Apr_24_1504,MID,3.0.7,59.93584131223958,
