TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,run,trial_order
2,1,0.21848724997835234,,cc_bb_or,2,practice
1,1,0.21288282802561298,,cc_bb_or,2,practice
5,1,0.19602760497946292,,cc_bb_or,2,practice
4,1,0.17863315501017496,,cc_bb_or,2,practice
3,1,0.1922351190005429,,cc_bb_or,2,practice
1,1,0.2341323089785874,,cc_bb_or,2,practice
5,1,0.2044635689817369,,cc_bb_or,2,practice
2,0,[],,cc_bb_or,2,practice
3,0,[],,cc_bb_or,2,practice
1,1,0.19112079602200538,,cc_bb_or,2,practice
4,1,0.17412440502084792,,cc_bb_or,2,practice
5,1,0.16316606500186026,,cc_bb_or,2,practice
2,1,0.17747133900411427,,cc_bb_or,2,practice
4,1,0.1710190349840559,,cc_bb_or,2,practice
3,0,[],,cc_bb_or,2,practice
