Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,26.531050260993652,None,2000,28.54830290598329,None,None,28.54830290598329,None,1.65,1,30.606602358981036,None,1,1,0.21848724997835234,30.606602358981036,None,You won $0.20!,0.2,2,1,0.35,100.0,0.21848724997835234,[1],0,0,3,None,0.21848724997835234,,,cc_bb_or,Practice,2,2019_Aug_31_0934,MID,3.1.5,59.63792633890895,
LgReward,2000,0,1,1,1,,32.67435861600097,None,2000,34.69908499898156,None,None,34.69908499898156,None,1.65,2,36.749290794017725,None,1,1,0.21288282802561298,36.749290794017725,None,You won $5.00!,5.2,1,2,0.35,100.0,0.21568503900198266,"[1, 1]",0,0,3,None,0.21288282802561298,,,cc_bb_or,Practice,2,2019_Aug_31_0934,MID,3.1.5,59.63792633890895,
SmallPun,2000,0,2,2,2,,38.80746173998341,None,2000,40.83301752299303,None,None,40.83301752299303,None,1.65,3,42.87514239299344,None,1,1,0.19602760497946292,42.87514239299344,None,You did not lose $0.20!,5.2,5,3,0.3,100.0,0.20913256099447608,[],100.0,3,3,None,0.19602760497946292,Adjusting RT...,,cc_bb_or,Practice,2,2019_Aug_31_0934,MID,3.1.5,59.63792633890895,
LgPun,2000,0,3,3,3,,44.90831622999394,None,2000,46.93422225100221,None,None,46.93422225100221,None,1.7,4,48.974576635984704,None,1,1,0.17863315501017496,48.974576635984704,None,You did not lose $5.00!,5.2,4,4,0.3,100.0,0.2015077094984008,[1],100.0,3,3,None,0.17863315501017496,,,cc_bb_or,Practice,2,2019_Aug_31_0934,MID,3.1.5,59.63792633890895,
Triangle,2000,0,4,4,4,,51.00858586700633,None,2000,53.03452077001566,None,None,53.03452077001566,None,1.7,5,55.07495540200034,None,1,1,0.1922351190005429,55.07495540200034,None,You did not win or lose anything!,5.2,3,4,0.3,100.0,0.19965319139882923,[1],100.0,3,3,None,0.1922351190005429,,,cc_bb_or,Practice,2,2019_Aug_31_0934,MID,3.1.5,59.63792633890895,
LgReward,2000,0,5,5,5,,57.11895481497049,None,2000,59.152497721021064,None,None,59.152497721021064,None,1.7,6,61.20205875998363,None,1,1,0.2341323089785874,61.20205875998363,None,You won $5.00!,10.2,1,5,0.3,100.0,0.2053997109954556,"[1, 1]",100.0,3,3,None,0.2341323089785874,,,cc_bb_or,Practice,2,2019_Aug_31_0934,MID,3.1.5,59.63792633890895,
SmallPun,2000,0,6,6,6,,63.242667066981085,None,2000,65.2694837860181,None,None,65.2694837860181,None,1.7,7,67.30360132298665,None,1,1,0.2044635689817369,67.30360132298665,None,You did not lose $0.20!,10.2,5,6,0.25,100.0,0.2052659764220672,[],100.0,6,3,None,0.2044635689817369,Adjusting RT...,,cc_bb_or,Practice,2,2019_Aug_31_0934,MID,3.1.5,59.63792633890895,
SmallReward,2000,0,7,7,7,,69.35277369502,None,2000,71.38802666898118,None,None,71.38802666898118,None,1.75,8,73.43718238297151,None,None,0,,73.43718238297151,None,You did not win $0.20!,10.2,2,7,0.25,87.5,0.2052659764220672,[0],100.0,6,3,1,0.2787562569719739,,0.028756256971973926,cc_bb_or,Practice,2,2019_Aug_31_0934,MID,3.1.5,59.63792633890895,
Triangle,2000,0,8,8,8,,75.47659462201409,None,2000,77.50484652700834,None,None,77.50484652700834,None,1.75,9,79.53810495900689,None,None,0,,79.53810495900689,None,You did not win or lose anything!,10.2,3,7,0.25,77.77777777777779,0.2052659764220672,[0],100.0,6,3,None,0.2787562569719739,,,cc_bb_or,Practice,2,2019_Aug_31_0934,MID,3.1.5,59.63792633890895,
LgReward,2000,0,9,9,9,,81.58805598097388,None,2000,83.62187246297253,None,None,83.62187246297253,None,1.75,10,85.67193899000995,None,1,1,0.19112079602200538,85.67193899000995,None,You won $5.00!,15.2,1,8,0.25,80.0,0.20349782887205947,"[0, 1]",100.0,6,3,None,0.19112079602200538,,,cc_bb_or,Practice,2,2019_Aug_31_0934,MID,3.1.5,59.63792633890895,
LgPun,2000,0,10,10,10,,87.71103681100067,None,2000,89.7390311830095,None,None,89.7390311830095,None,1.75,11,91.77293843001826,None,1,1,0.17412440502084792,91.77293843001826,None,You did not lose $5.00!,15.2,4,9,0.22,81.81818181818183,0.20023411511081374,[],83.33333333333333,9,3,None,0.17412440502084792,Adjusting RT...,,cc_bb_or,Practice,2,2019_Aug_31_0934,MID,3.1.5,59.63792633890895,
SmallPun,2000,0,11,11,11,,93.81130433798535,None,2000,95.84021309000673,None,None,95.84021309000673,None,1.78,12,97.87300953199156,None,1,1,0.16316606500186026,97.87300953199156,None,You did not lose $0.20!,15.2,5,10,0.22,83.33333333333334,0.1965273100999184,[1],83.33333333333333,9,3,None,0.16316606500186026,,,cc_bb_or,Practice,2,2019_Aug_31_0934,MID,3.1.5,59.63792633890895,
SmallReward,2000,0,12,12,12,,99.92437740898458,None,2000,101.95778524701018,None,None,101.95778524701018,None,1.78,13,104.00769873498939,None,1,1,0.17747133900411427,104.00769873498939,None,You won $0.20!,15.399999999999999,2,11,0.22,84.61538461538461,0.19479494909120892,"[1, 1]",83.33333333333333,9,3,None,0.17747133900411427,,,cc_bb_or,Practice,2,2019_Aug_31_0934,MID,3.1.5,59.63792633890895,
LgPun,2000,0,13,13,13,,106.04530860198429,None,2000,108.07517649099464,None,None,108.07517649099464,None,1.78,14,110.10912060597911,None,1,1,0.1710190349840559,110.10912060597911,None,You did not lose $5.00!,15.399999999999999,4,12,0.19,85.71428571428571,0.19281362291561285,[],83.33333333333333,12,3,None,0.1710190349840559,Adjusting RT...,,cc_bb_or,Practice,2,2019_Aug_31_0934,MID,3.1.5,59.63792633890895,
Triangle,2000,0,14,14,14,,112.14551885600667,None,2000,114.17610997398151,None,None,114.17610997398151,None,1.81,15,116.20957342599286,None,None,0,,116.20957342599286,None,You did not win or lose anything!,15.399999999999999,3,12,0.19,80.0,0.19281362291561285,[],83.33333333333333,12,3,1,0.2093229189608246,,0.01932291896082461,cc_bb_or,Practice,2,2019_Aug_31_0934,MID,3.1.5,59.63792633890895,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc_bb_or,Practice,2,2019_Aug_31_0934,MID,3.1.5,59.63792633890895,
