TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,run,trial_order
2,1,0.2436848360230215,,cc_direct_120hz,2,practice
1,1,0.22952302900375798,,cc_direct_120hz,2,practice
5,0,[],,cc_direct_120hz,2,practice
4,1,0.24521919200196862,,cc_direct_120hz,2,practice
3,1,0.24359727400587872,,cc_direct_120hz,2,practice
1,1,0.20921133400406688,,cc_direct_120hz,2,practice
5,1,0.2634734319872223,,cc_direct_120hz,2,practice
2,0,[],,cc_direct_120hz,2,practice
3,0,[],,cc_direct_120hz,2,practice
1,0,[],,cc_direct_120hz,2,practice
4,1,0.24979848403017968,,cc_direct_120hz,2,practice
5,0,[],,cc_direct_120hz,2,practice
2,0,[],,cc_direct_120hz,2,practice
4,0,[],,cc_direct_120hz,2,practice
3,0,[],,cc_direct_120hz,2,practice
