Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,fixationResp.rt,AdjRTmsg,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,20.519491415994707,None,2000,22.534102603967767,None,None,22.534102603967767,None,1.65,1,24.58391305495752,None,1,1,0.2436848360230215,24.58391305495752,None,You won $0.20!,0.2,2,1,0.35,100.0,0.2436848360230215,[1],0,0,3,None,0.2436848360230215,,,,cc_direct_120hz,Practice,2,2019_Aug_31_0927,MID,3.1.5,59.9614031860901,
LgReward,2000,0,1,1,1,,26.651591773959808,None,2000,28.684817635978106,None,None,28.684817635978106,None,1.65,2,30.73409978399286,None,1,1,0.22952302900375798,30.73409978399286,None,You won $5.00!,5.2,1,2,0.35,100.0,0.23660393251338974,"[1, 1]",0,0,3,None,0.22952302900375798,,,,cc_direct_120hz,Practice,2,2019_Aug_31_0927,MID,3.1.5,59.9614031860901,
SmallPun,2000,0,2,2,2,,32.77134728600504,None,2000,34.793218403996434,None,1,34.793218403996434,None,1.65,3,36.82289003400365,None,None,0,,36.82289003400365,None,You lost $0.20!,5.0,5,3,0.32999999999999996,66.66666666666666,0.23660393251338974,[],66.66666666666666,3,3,None,0.22952302900375798,1.962408489023801,Adjusting RT...,,cc_direct_120hz,Practice,2,2019_Aug_31_0927,MID,3.1.5,59.9614031860901,
LgPun,2000,0,3,3,3,,38.856395389011595,None,2000,40.88546410697745,None,None,40.88546410697745,None,1.67,4,42.9183766549686,None,1,1,0.24521919200196862,42.9183766549686,None,You did not lose $5.00!,5.0,4,4,0.32999999999999996,75.0,0.23947568567624936,[1],66.66666666666666,3,3,None,0.24521919200196862,,,,cc_direct_120hz,Practice,2,2019_Aug_31_0927,MID,3.1.5,59.9614031860901,
Triangle,2000,0,4,4,4,,44.97705213498557,None,2000,47.00220342900138,None,None,47.00220342900138,None,1.67,5,49.03999164298875,None,1,1,0.24359727400587872,49.03999164298875,None,You did not win or lose anything!,5.0,3,4,0.32999999999999996,80.0,0.2405060827586567,[1],66.66666666666666,3,3,None,0.24359727400587872,,,,cc_direct_120hz,Practice,2,2019_Aug_31_0927,MID,3.1.5,59.9614031860901,
LgReward,2000,0,5,5,5,,51.1033162290114,None,2000,53.13571482995758,None,None,53.13571482995758,None,1.67,6,55.19436157098971,None,1,1,0.20921133400406688,55.19436157098971,None,You won $5.00!,10.0,1,5,0.32999999999999996,83.33333333333334,0.23424713300773875,"[1, 1]",66.66666666666666,3,3,None,0.20921133400406688,,,,cc_direct_120hz,Practice,2,2019_Aug_31_0927,MID,3.1.5,59.9614031860901,
SmallPun,2000,0,6,6,6,,57.24519719398813,None,2000,59.26816791598685,None,None,59.26816791598685,None,1.67,7,61.308114134008065,None,1,1,0.2634734319872223,61.308114134008065,None,You did not lose $0.20!,10.0,5,6,0.29999999999999993,85.71428571428571,0.23911818283765265,[],83.33333333333333,6,3,None,0.2634734319872223,,Adjusting RT...,,cc_direct_120hz,Practice,2,2019_Aug_31_0927,MID,3.1.5,59.9614031860901,
SmallReward,2000,0,7,7,7,,63.3606959549943,None,2000,65.38553259999026,None,None,65.38553259999026,None,1.7000000000000002,8,67.4366432770039,None,None,0,,67.4366432770039,None,You did not win $0.20!,10.0,2,7,0.29999999999999993,75.0,0.23911818283765265,[0],83.33333333333333,6,3,None,0.2634734319872223,,,,cc_direct_120hz,Practice,2,2019_Aug_31_0927,MID,3.1.5,59.9614031860901,
Triangle,2000,0,8,8,8,,69.47715547599364,None,2000,71.50244830496376,None,None,71.50244830496376,None,1.7000000000000002,9,73.54233785398537,None,None,0,,73.54233785398537,None,You did not win or lose anything!,10.0,3,7,0.29999999999999993,66.66666666666666,0.23911818283765265,[0],83.33333333333333,6,3,None,0.2634734319872223,,,,cc_direct_120hz,Practice,2,2019_Aug_31_0927,MID,3.1.5,59.9614031860901,
LgReward,2000,0,9,9,9,,75.59333578700898,None,2000,77.61962517700158,None,1,77.61962517700158,None,1.7000000000000002,10,79.6693131919601,None,None,0,,79.6693131919601,None,You did not win $5.00!,10.0,1,8,0.29999999999999993,60.0,0.23911818283765265,"[0, 0]",83.33333333333333,6,3,None,0.2634734319872223,1.784005185996648,,,cc_direct_120hz,Practice,2,2019_Aug_31_0927,MID,3.1.5,59.9614031860901,
