Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,22.770205570966937,None,2000,24.810015164955985,None,None,24.810015164955985,None,1.65,1,26.860793163999915,None,1,1,0.25737805402604863,26.860793163999915,None,You won $0.20!,0.2,2,1,0.35,100.0,0.25737805402604863,[1],0,0,3,None,0.25737805402604863,,,cc_switch_best,Practice,2,2019_Aug_31_0924,MID,3.1.5,29.983137573185356,
LgReward,2000,0,1,1,1,,28.94212400499964,None,2000,30.977705473953392,None,None,30.977705473953392,None,1.65,2,33.02571110596182,None,1,1,0.2683610540116206,33.02571110596182,None,You won $5.00!,5.2,1,2,0.35,100.0,0.2628695540188346,"[1, 1]",0,0,3,None,0.2683610540116206,,,cc_switch_best,Practice,2,2019_Aug_31_0924,MID,3.1.5,29.983137573185356,
SmallPun,2000,0,2,2,2,,35.08639138296712,None,2000,37.11151442799019,None,None,37.11151442799019,None,1.65,3,39.14506003895076,None,None,0,,39.14506003895076,None,You lost $0.20!,5.0,5,3,0.32999999999999996,66.66666666666666,0.2628695540188346,[],66.66666666666666,3,3,None,0.2683610540116206,Adjusting RT...,,cc_switch_best,Practice,2,2019_Aug_31_0924,MID,3.1.5,29.983137573185356,
LgPun,2000,0,3,3,3,,41.187349654966965,None,2000,43.21095506096026,None,None,43.21095506096026,None,1.67,4,45.24558565299958,None,1,1,0.23250347300199792,45.24558565299958,None,You did not lose $5.00!,5.0,4,4,0.32999999999999996,75.0,0.2527475270132224,[1],66.66666666666666,3,3,None,0.23250347300199792,,,cc_switch_best,Practice,2,2019_Aug_31_0924,MID,3.1.5,29.983137573185356,
Triangle,2000,0,4,4,4,,47.28793290699832,None,2000,49.311725998995826,None,None,49.311725998995826,None,1.67,5,51.34699524799362,None,1,1,0.23520009499043226,51.34699524799362,None,You did not win or lose anything!,5.0,3,4,0.32999999999999996,80.0,0.24836066900752485,[1],66.66666666666666,3,3,None,0.23520009499043226,,,cc_switch_best,Practice,2,2019_Aug_31_0924,MID,3.1.5,29.983137573185356,
LgReward,2000,0,5,5,5,,53.39221381297102,None,2000,55.41408847598359,None,None,55.41408847598359,None,1.67,6,57.45955504098674,None,1,1,0.24251538002863526,57.45955504098674,None,You won $5.00!,10.0,1,5,0.32999999999999996,83.33333333333334,0.24719161121174693,"[1, 1]",66.66666666666666,3,3,None,0.24251538002863526,,,cc_switch_best,Practice,2,2019_Aug_31_0924,MID,3.1.5,29.983137573185356,
SmallPun,2000,0,6,6,6,,59.48817943298491,None,2000,61.514906784985214,None,None,61.514906784985214,None,1.67,7,63.548680042964406,None,None,0,,63.548680042964406,None,You lost $0.20!,9.8,5,6,0.30999999999999994,71.42857142857143,0.24719161121174693,[],66.66666666666666,6,3,None,0.24251538002863526,Adjusting RT...,,cc_switch_best,Practice,2,2019_Aug_31_0924,MID,3.1.5,29.983137573185356,
SmallReward,2000,0,7,7,7,,65.59178810799494,None,2000,67.61383962095715,None,None,67.61383962095715,None,1.69,8,69.66409732197644,None,None,0,,69.66409732197644,None,You did not win $0.20!,9.8,2,7,0.30999999999999994,62.5,0.24719161121174693,[0],66.66666666666666,6,3,None,0.24251538002863526,,,cc_switch_best,Practice,2,2019_Aug_31_0924,MID,3.1.5,29.983137573185356,
Triangle,2000,0,8,8,8,,71.7220301659545,None,2000,73.73621370998444,None,None,73.73621370998444,None,1.69,9,75.78359659796115,None,1,1,0.23047548800241202,75.78359659796115,None,You did not win or lose anything!,9.8,3,7,0.30999999999999994,66.66666666666666,0.24440559067685777,[0],66.66666666666666,6,3,None,0.23047548800241202,,,cc_switch_best,Practice,2,2019_Aug_31_0924,MID,3.1.5,29.983137573185356,
LgReward,2000,0,9,9,9,,77.82258641900262,None,2000,79.85089819098357,None,None,79.85089819098357,None,1.69,10,81.8900325599825,None,1,1,0.23616900702472776,81.8900325599825,None,You won $5.00!,14.8,1,8,0.30999999999999994,70.0,0.24322893586941063,"[0, 1]",66.66666666666666,6,3,None,0.23616900702472776,,,cc_switch_best,Practice,2,2019_Aug_31_0924,MID,3.1.5,29.983137573185356,
