Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,18.554748725960962,None,2000,20.602789360971656,None,None,20.602789360971656,None,1.65,1,22.67055189597886,None,1,1,0.2650340969557874,22.67055189597886,None,You won $0.20!,0.2,2,1,0.35,100.0,0.2650340969557874,[1],0,0,3,None,0.2650340969557874,,,cctst4,Practice,2,2019_Aug_31_0831,MID,3.1.5,24.00459630096283,
LgReward,2000,0,1,1,1,,24.756737556948792,None,2000,26.771153520967346,None,None,26.771153520967346,None,1.65,2,28.837134463945404,None,1,1,0.25039582001045346,28.837134463945404,None,You won $5.00!,5.2,1,2,0.35,100.0,0.2577149584831204,"[1, 1]",0,0,3,None,0.25039582001045346,,,cctst4,Practice,2,2019_Aug_31_0831,MID,3.1.5,24.00459630096283,
SmallPun,2000,0,2,2,2,,30.878694985993207,None,2000,32.888143602001946,None,None,32.888143602001946,None,1.65,3,34.940083496971056,None,1,1,0.2673361410270445,34.940083496971056,None,You did not lose $0.20!,5.2,5,3,0.3,100.0,0.2609220193310951,[],100.0,3,3,None,0.2673361410270445,Adjusting RT...,,cctst4,Practice,2,2019_Aug_31_0831,MID,3.1.5,24.00459630096283,
LgPun,2000,0,3,3,3,,37.00342552299844,None,2000,39.023469937965274,None,None,39.023469937965274,None,1.7,4,41.06387298699701,None,None,0,,41.06387298699701,None,You lost $5.00!,0.20000000000000018,4,4,0.3,75.0,0.2609220193310951,[0],100.0,3,3,1,0.4460182490409352,,0.1460182490409352,cctst4,Practice,2,2019_Aug_31_0831,MID,3.1.5,24.00459630096283,
Triangle,2000,0,4,4,4,,43.12912784097716,None,2000,45.14133780798875,None,None,45.14133780798875,None,1.7,5,47.191383650992066,None,None,0,,47.191383650992066,None,You did not win or lose anything!,0.20000000000000018,3,4,0.3,60.0,0.2609220193310951,[0],100.0,3,3,None,0.4460182490409352,,,cctst4,Practice,2,2019_Aug_31_0831,MID,3.1.5,24.00459630096283,
LgReward,2000,0,5,5,5,,49.254372912982944,None,2000,51.27499511395581,None,None,51.27499511395581,None,1.7,6,53.32981244899565,None,None,0,,53.32981244899565,None,You did not win $5.00!,0.20000000000000018,1,5,0.3,50.0,0.2609220193310951,"[0, 0]",100.0,3,3,None,0.4460182490409352,,,cctst4,Practice,2,2019_Aug_31_0831,MID,3.1.5,24.00459630096283,
SmallPun,2000,0,6,6,6,,55.37973190599587,None,2000,57.392394459981006,None,None,57.392394459981006,None,1.7,7,59.442801787983626,None,1,1,0.22072576801292598,59.442801787983626,None,You did not lose $0.20!,0.20000000000000018,5,6,0.27999999999999997,57.14285714285714,0.25087295650155284,[],66.66666666666666,6,3,None,0.22072576801292598,Adjusting RT...,,cctst4,Practice,2,2019_Aug_31_0831,MID,3.1.5,24.00459630096283,
SmallReward,2000,0,7,7,7,,61.50494937796611,None,2000,63.512618887994904,None,None,63.512618887994904,None,1.72,8,65.57910288497806,None,None,0,,65.57910288497806,None,You did not win $0.20!,0.20000000000000018,2,7,0.27999999999999997,50.0,0.25087295650155284,[0],66.66666666666666,6,3,None,0.22072576801292598,,,cctst4,Practice,2,2019_Aug_31_0831,MID,3.1.5,24.00459630096283,
Triangle,2000,0,8,8,8,,67.63228097197134,None,2000,69.63593601394678,None,None,69.63593601394678,None,1.72,9,71.64976547594415,None,None,0,,71.64976547594415,None,You did not win or lose anything!,0.20000000000000018,3,7,0.27999999999999997,44.44444444444444,0.25087295650155284,[0],66.66666666666666,6,3,None,0.22072576801292598,,,cctst4,Practice,2,2019_Aug_31_0831,MID,3.1.5,24.00459630096283,
LgReward,2000,0,9,9,9,,73.71403122396441,None,2000,75.72817024198594,None,None,75.72817024198594,None,1.72,10,77.78286600398133,None,None,0,,77.78286600398133,None,You did not win $5.00!,0.20000000000000018,1,8,0.27999999999999997,40.0,0.25087295650155284,"[0, 0]",66.66666666666666,6,3,None,0.22072576801292598,,,cctst4,Practice,2,2019_Aug_31_0831,MID,3.1.5,24.00459630096283,
LgPun,2000,0,10,10,10,,79.83915990096284,None,2000,81.84661880298518,None,None,81.84661880298518,None,1.72,11,83.89876539399847,None,None,0,,83.89876539399847,None,You lost $5.00!,-4.8,4,9,0.32999999999999996,36.36363636363637,0.25087295650155284,[],16.666666666666664,9,3,1,0.33904215604532506,Adjusting RT...,0.0090421560453251,cctst4,Practice,2,2019_Aug_31_0831,MID,3.1.5,24.00459630096283,
SmallPun,2000,0,11,11,11,,85.92258387198672,None,2000,87.92952917399816,None,None,87.92952917399816,None,1.67,12,89.98081156495027,None,1,1,0.234715279948432,89.98081156495027,None,You did not lose $0.20!,-4.8,5,10,0.32999999999999996,41.66666666666667,0.24764142119092866,[1],16.666666666666664,9,3,None,0.234715279948432,,,cctst4,Practice,2,2019_Aug_31_0831,MID,3.1.5,24.00459630096283,
SmallReward,2000,0,12,12,12,,92.04917536798166,None,2000,94.06424610695103,None,None,94.06424610695103,None,1.67,13,96.12989486096194,None,1,1,0.2456980689894408,96.12989486096194,None,You won $0.20!,-4.6,2,11,0.32999999999999996,46.15384615384615,0.24731752915734737,"[1, 1]",16.666666666666664,9,3,None,0.2456980689894408,,,cctst4,Practice,2,2019_Aug_31_0831,MID,3.1.5,24.00459630096283,
LgPun,2000,0,13,13,13,,98.1749186879606,None,2000,100.1819468169706,None,None,100.1819468169706,None,1.67,14,102.19821616099216,None,1,1,0.26530675298999995,102.19821616099216,None,You did not lose $5.00!,-4.6,4,12,0.35,50.0,0.24988741827629773,[],50.0,12,3,None,0.26530675298999995,Adjusting RT...,,cctst4,Practice,2,2019_Aug_31_0831,MID,3.1.5,24.00459630096283,
Triangle,2000,0,14,14,14,,104.25689025694737,None,2000,106.26847609394463,None,None,106.26847609394463,None,1.65,15,108.31768017099239,None,1,1,0.20173950196476653,108.31768017099239,None,You did not win or lose anything!,-4.6,3,12,0.35,53.333333333333336,0.24386892873735633,[],50.0,12,3,None,0.20173950196476653,,,cctst4,Practice,2,2019_Aug_31_0831,MID,3.1.5,24.00459630096283,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cctst4,Practice,2,2019_Aug_31_0831,MID,3.1.5,24.00459630096283,
