TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,run,trial_order
2,0,[],,cctst5,2,practice
1,1,0.25596364599186927,,cctst5,2,practice
5,0,[],,cctst5,2,practice
4,1,0.2612668600049801,,cctst5,2,practice
3,1,0.27147582499310374,,cctst5,2,practice
1,1,0.22389978996943682,,cctst5,2,practice
5,1,0.24532500701025128,,cctst5,2,practice
2,1,0.24342472001444548,,cctst5,2,practice
3,1,0.24155063997022808,,cctst5,2,practice
1,1,0.24638472200604156,,cctst5,2,practice
4,1,0.2317193989874795,,cctst5,2,practice
5,1,0.2670666619669646,,cctst5,2,practice
2,1,0.05918339500203729,,cctst5,2,practice
4,0,[],,cctst5,2,practice
3,0,[],,cctst5,2,practice
