Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,probeResp.rt,AdjRTmsg,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,20.0765281469794,None,2000,22.10912841197569,None,None,22.10912841197569,None,1.65,1,24.159724283963442,None,None,0,24.159724283963442,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,None,,,,,cctst5,Practice,2,2019_Aug_31_0837,MID,3.1.5,30.097602218210312,
LgReward,2000,0,1,1,1,,26.220961521961726,None,2000,28.243756535986904,None,None,28.243756535986904,None,1.65,2,30.294424591993447,None,1,1,30.294424591993447,None,You won $5.00!,5,1,2,0.35,50.0,0.25596364599186927,"[0, 1]",0,0,3,None,0.25596364599186927,0.25596364599186927,,,cctst5,Practice,2,2019_Aug_31_0837,MID,3.1.5,30.097602218210312,
SmallPun,2000,0,2,2,2,,32.35505821200786,None,2000,34.37792233499931,None,None,34.37792233499931,None,1.65,3,36.41331100097159,None,None,0,36.41331100097159,None,You lost $0.20!,4.8,5,3,0.38999999999999996,33.33333333333333,0.25596364599186927,[],33.33333333333333,3,3,1,0.40514874701388176,,Adjusting RT...,0.015148747013881803,cctst5,Practice,2,2019_Aug_31_0837,MID,3.1.5,30.097602218210312,
LgPun,2000,0,3,3,3,,38.45547214697581,None,2000,40.47715230798349,None,None,40.47715230798349,None,1.61,4,42.5132618380012,None,1,1,42.5132618380012,None,You did not lose $5.00!,4.8,4,4,0.38999999999999996,50.0,0.2586152529984247,[1],33.33333333333333,3,3,None,0.2612668600049801,0.2612668600049801,,,cctst5,Practice,2,2019_Aug_31_0837,MID,3.1.5,30.097602218210312,
Triangle,2000,0,4,4,4,,44.58891458000289,None,2000,46.611202822008636,None,None,46.611202822008636,None,1.61,5,48.64693728997372,None,1,1,48.64693728997372,None,You did not win or lose anything!,4.8,3,4,0.38999999999999996,60.0,0.2629021103299844,[1],33.33333333333333,3,3,None,0.27147582499310374,0.27147582499310374,,,cctst5,Practice,2,2019_Aug_31_0837,MID,3.1.5,30.097602218210312,
LgReward,2000,0,5,5,5,,50.72616181598278,None,2000,52.74530050496105,None,None,52.74530050496105,None,1.61,6,54.79054264596198,None,1,1,54.79054264596198,None,You won $5.00!,9.8,1,5,0.38999999999999996,66.66666666666666,0.2531515302398475,"[1, 1]",33.33333333333333,3,3,None,0.22389978996943682,0.22389978996943682,,,cctst5,Practice,2,2019_Aug_31_0837,MID,3.1.5,30.097602218210312,
SmallPun,2000,0,6,6,6,,56.82274273096118,None,2000,58.84760121698491,None,None,58.84760121698491,None,1.61,7,60.88119538396131,None,1,1,60.88119538396131,None,You did not lose $0.20!,9.8,5,6,0.36999999999999994,71.42857142857143,0.25158622559392824,[],66.66666666666666,6,3,None,0.24532500701025128,0.24532500701025128,Adjusting RT...,,cctst5,Practice,2,2019_Aug_31_0837,MID,3.1.5,30.097602218210312,
SmallReward,2000,0,7,7,7,,62.96290044300258,None,2000,64.9823488589609,None,None,64.9823488589609,None,1.6300000000000001,8,67.02709644398419,None,1,1,67.02709644398419,None,You won $0.20!,10.0,2,7,0.36999999999999994,75.0,0.25022597466401447,[1],66.66666666666666,6,3,None,0.24342472001444548,0.24342472001444548,,,cctst5,Practice,2,2019_Aug_31_0837,MID,3.1.5,30.097602218210312,
Triangle,2000,0,8,8,8,,69.05601581197698,None,2000,71.08284294896293,None,None,71.08284294896293,None,1.6300000000000001,9,73.11686013796134,None,1,1,73.11686013796134,None,You did not win or lose anything!,10.0,3,7,0.36999999999999994,77.77777777777779,0.24898664113633068,[1],66.66666666666666,6,3,None,0.24155063997022808,0.24155063997022808,,,cctst5,Practice,2,2019_Aug_31_0837,MID,3.1.5,30.097602218210312,
LgReward,2000,0,9,9,9,,75.1617947149789,None,2000,77.1833575659548,None,None,77.1833575659548,None,1.6300000000000001,10,79.23213679395849,None,1,1,79.23213679395849,None,You won $5.00!,15.0,1,8,0.36999999999999994,80.0,0.24866140124504454,"[1, 1]",66.66666666666666,6,3,None,0.24638472200604156,0.24638472200604156,,,cctst5,Practice,2,2019_Aug_31_0837,MID,3.1.5,30.097602218210312,
LgPun,2000,0,10,10,10,,81.29068904096493,None,2000,83.31737114099087,None,None,83.31737114099087,None,1.6300000000000001,11,85.3508046179777,None,1,1,85.3508046179777,None,You did not lose $5.00!,15.0,4,9,0.31999999999999995,81.81818181818183,0.24677895654975954,[],100.0,9,3,None,0.2317193989874795,0.2317193989874795,Adjusting RT...,,cctst5,Practice,2,2019_Aug_31_0837,MID,3.1.5,30.097602218210312,
SmallPun,2000,0,11,11,11,,87.39125043095555,None,2000,89.41696971998317,None,None,89.41696971998317,None,1.6800000000000002,12,91.4514799809549,None,1,1,91.4514799809549,None,You did not lose $0.20!,15.0,5,10,0.31999999999999995,83.33333333333334,0.24880772709148005,[1],100.0,9,3,None,0.2670666619669646,0.2670666619669646,,,cctst5,Practice,2,2019_Aug_31_0837,MID,3.1.5,30.097602218210312,
SmallReward,2000,0,12,12,12,,93.53174025798216,None,2000,95.55260468495544,None,None,95.55260468495544,None,1.6800000000000002,13,97.59521096100798,None,1,1,97.59521096100798,None,You won $0.20!,15.2,2,11,0.31999999999999995,84.61538461538461,0.23156915144698526,"[1, 1]",100.0,9,3,None,0.05918339500203729,0.05918339500203729,,,cctst5,Practice,2,2019_Aug_31_0837,MID,3.1.5,30.097602218210312,
LgPun,2000,0,13,13,13,,99.65812899300363,None,2000,101.68645417300286,None,None,101.68645417300286,None,1.6800000000000002,14,103.72012060997076,None,None,0,103.72012060997076,None,You lost $5.00!,10.2,4,12,0.2899999999999999,78.57142857142857,0.23156915144698526,[],83.33333333333333,12,3,None,0.05918339500203729,,Adjusting RT...,,cctst5,Practice,2,2019_Aug_31_0837,MID,3.1.5,30.097602218210312,
Triangle,2000,0,14,14,14,,105.79175462096464,None,2000,107.81883211497916,None,None,107.81883211497916,None,1.71,15,109.85479734599357,None,None,0,109.85479734599357,None,You did not win or lose anything!,10.2,3,12,0.2899999999999999,73.33333333333333,0.23156915144698526,[],83.33333333333333,12,3,None,0.05918339500203729,,,,cctst5,Practice,2,2019_Aug_31_0837,MID,3.1.5,30.097602218210312,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cctst5,Practice,2,2019_Aug_31_0837,MID,3.1.5,30.097602218210312,
