Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,33.19911004998721,None,2000,35.20859253499657,None,None,35.20859253499657,None,1.65,1,37.23078195902053,None,None,0,37.23078195902053,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,None,,,,cctst5,Practice,2,2019_Aug_31_0912,MID,3.1.5,24.002234778755845,
LgReward,2000,0,1,1,1,,39.32355681603076,None,2000,41.32768527598819,None,None,41.32768527598819,None,1.65,2,43.35829871700844,None,None,0,43.35829871700844,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,None,,,,cctst5,Practice,2,2019_Aug_31_0912,MID,3.1.5,24.002234778755845,
SmallPun,2000,0,2,2,2,,45.36271014501108,None,2000,47.37602374202106,None,None,47.37602374202106,None,1.65,3,49.38295028702123,None,None,0,49.38295028702123,None,You lost $0.20!,-0.2,5,3,0.42,0.0,nan,[],0.0,3,3,None,,Adjusting RT...,,cctst5,Practice,2,2019_Aug_31_0912,MID,3.1.5,24.002234778755845,
LgPun,2000,0,3,3,3,,51.404526441008784,None,2000,53.4286160269985,None,None,53.4286160269985,None,1.58,4,55.465697175008245,None,None,0,55.465697175008245,None,You lost $5.00!,-5.2,4,4,0.42,0.0,nan,[0],0.0,3,3,None,,,,cctst5,Practice,2,2019_Aug_31_0912,MID,3.1.5,24.002234778755845,
Triangle,2000,0,4,4,4,,57.52960393502144,None,2000,59.54516948701348,None,None,59.54516948701348,None,1.58,5,61.59411413798807,None,1,1,61.59411413798807,None,You did not win or lose anything!,-5.2,3,4,0.42,20.0,0.282318486017175,[0],0.0,3,3,None,0.282318486017175,,0.282318486017175,cctst5,Practice,2,2019_Aug_31_0912,MID,3.1.5,24.002234778755845,
LgReward,2000,0,5,5,5,,63.65551182598574,None,2000,65.66301346302498,None,None,65.66301346302498,None,1.58,6,67.73208593099844,None,1,1,67.73208593099844,None,You won $5.00!,-0.20000000000000018,1,5,0.42,33.33333333333333,0.24530688399681821,"[0, 1]",0.0,3,3,None,0.2082952819764614,,0.2082952819764614,cctst5,Practice,2,2019_Aug_31_0912,MID,3.1.5,24.002234778755845,
SmallPun,2000,0,6,6,6,,69.78081660100725,None,2000,71.79633446101798,None,None,71.79633446101798,None,1.58,7,73.84581939701457,None,1,1,73.84581939701457,None,You did not lose $0.20!,-0.20000000000000018,5,6,0.45999999999999996,42.857142857142854,0.2483990286515715,[],33.33333333333333,6,3,None,0.25458331796107814,Adjusting RT...,0.25458331796107814,cctst5,Practice,2,2019_Aug_31_0912,MID,3.1.5,24.002234778755845,
SmallReward,2000,0,7,7,7,,75.90526989399223,None,2000,77.91521011298755,None,None,77.91521011298755,None,1.54,8,79.98100334103219,None,1,1,79.98100334103219,None,You won $0.20!,-1.6653345369377348e-16,2,7,0.45999999999999996,50.0,0.2501483889791416,[1],33.33333333333333,6,3,None,0.25539646996185184,,0.25539646996185184,cctst5,Practice,2,2019_Aug_31_0912,MID,3.1.5,24.002234778755845,
Triangle,2000,0,8,8,8,,82.03301396599272,None,2000,84.04831527598435,None,None,84.04831527598435,None,1.54,9,86.0967055860092,None,1,1,86.0967055860092,None,You did not win or lose anything!,-1.6653345369377348e-16,3,7,0.45999999999999996,55.55555555555556,0.24725163358962163,[1],33.33333333333333,6,3,None,0.23566461203154176,,0.23566461203154176,cctst5,Practice,2,2019_Aug_31_0912,MID,3.1.5,24.002234778755845,
LgReward,2000,0,9,9,9,,88.15615254000295,None,2000,90.1666732080048,None,None,90.1666732080048,None,1.54,10,92.23133701499319,None,1,1,92.23133701499319,None,You won $5.00!,5.0,1,8,0.45999999999999996,60.0,0.2562060898247485,"[1, 1]",33.33333333333333,6,3,None,0.30097837100038305,,0.30097837100038305,cctst5,Practice,2,2019_Aug_31_0912,MID,3.1.5,24.002234778755845,
LgPun,2000,0,10,10,10,,94.28314059402328,None,2000,96.29891630803468,None,None,96.29891630803468,None,1.54,11,98.3480772820185,None,1,1,98.3480772820185,None,You did not lose $5.00!,5.0,4,9,0.42999999999999994,63.63636363636363,0.255061322848113,[],83.33333333333333,9,3,None,0.2481927209882997,Adjusting RT...,0.2481927209882997,cctst5,Practice,2,2019_Aug_31_0912,MID,3.1.5,24.002234778755845,
SmallPun,2000,0,11,11,11,,100.40673681499902,None,2000,102.41701404401101,None,None,102.41701404401101,None,1.57,12,104.46752367098816,None,1,1,104.46752367098816,None,You did not lose $0.20!,5.0,5,10,0.42999999999999994,66.66666666666666,0.25328807398909703,[1],83.33333333333333,9,3,None,0.24087533197598532,,0.24087533197598532,cctst5,Practice,2,2019_Aug_31_0912,MID,3.1.5,24.002234778755845,
SmallReward,2000,0,12,12,12,,106.49044266302371,None,2000,108.50009794603102,None,None,108.50009794603102,None,1.57,13,110.57080033898819,None,1,1,110.57080033898819,None,You won $0.20!,5.2,2,11,0.42999999999999994,69.23076923076923,0.2546531612169929,"[1, 1]",83.33333333333333,9,3,None,0.26557385904015973,,0.26557385904015973,cctst5,Practice,2,2019_Aug_31_0912,MID,3.1.5,24.002234778755845,
LgPun,2000,0,13,13,13,,112.61746601003688,None,2000,114.62190079397988,None,None,114.62190079397988,None,1.57,14,116.63562894199276,None,1,1,116.63562894199276,None,You did not lose $5.00!,5.2,4,12,0.37999999999999995,71.42857142857143,0.25806705189752394,[],100.0,12,3,None,0.2887920680223033,Adjusting RT...,0.2887920680223033,cctst5,Practice,2,2019_Aug_31_0912,MID,3.1.5,24.002234778755845,
Triangle,2000,0,14,14,14,,118.65742441703333,None,2000,120.6686601130059,None,None,120.6686601130059,None,1.62,15,122.7199972650269,None,1,1,122.7199972650269,None,You did not win or lose anything!,5.2,3,12,0.37999999999999995,73.33333333333333,0.25755278718001634,[],100.0,12,3,None,0.25241014000494033,,0.25241014000494033,cctst5,Practice,2,2019_Aug_31_0912,MID,3.1.5,24.002234778755845,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cctst5,Practice,2,2019_Aug_31_0912,MID,3.1.5,24.002234778755845,
