TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,run,trial_order
2,1,0.27754589897813275,,cctst,2,practice
1,1,0.22611206403234974,,cctst,2,practice
5,1,0.24999327200930566,,cctst,2,practice
4,0,[],,cctst,2,practice
3,0,[],,cctst,2,practice
1,1,0.23169346200302243,,cctst,2,practice
5,0,[],,cctst,2,practice
2,0,[],,cctst,2,practice
3,0,[],,cctst,2,practice
1,0,[],,cctst,2,practice
4,0,[],,cctst,2,practice
5,1,0.2182517890469171,,cctst,2,practice
2,0,[],,cctst,2,practice
4,1,0.26824985700659454,,cctst,2,practice
3,1,0.2612024110276252,,cctst,2,practice
