Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,21.125297847029287,None,2000,23.111785749031696,None,None,23.111785749031696,None,1.65,1,25.182265527022537,None,1,1,0.27754589897813275,25.182265527022537,None,You won $0.20!,0.2,2,1,0.35,100.0,0.27754589897813275,[1],0,0,3,None,0.27754589897813275,,,,cctst,Practice,2,2019_Aug_31_0822,MID,3.1.5,24.00757953844156,
LgReward,2000,0,1,1,1,,27.233404010999948,None,2000,29.244007884000894,None,None,29.244007884000894,None,1.65,2,31.29767137102317,None,1,1,0.22611206403234974,31.29767137102317,None,You won $5.00!,5.2,1,2,0.35,100.0,0.25182898150524125,"[1, 1]",0,0,3,None,0.22611206403234974,,,,cctst,Practice,2,2019_Aug_31_0822,MID,3.1.5,24.00757953844156,
SmallPun,2000,0,2,2,2,,33.3125448320061,None,2000,35.319209402019624,None,None,35.319209402019624,None,1.65,3,37.37782928801607,None,1,1,0.24999327200930566,37.37782928801607,None,You did not lose $0.20!,5.2,5,3,0.3,100.0,0.2512170783399294,[],100.0,3,3,None,0.24999327200930566,Adjusting RT...,,,cctst,Practice,2,2019_Aug_31_0822,MID,3.1.5,24.00757953844156,
LgPun,2000,0,3,3,3,,39.396231320046354,None,2000,41.41227983101271,None,None,41.41227983101271,None,1.7,4,43.4622171340161,None,None,0,,43.4622171340161,None,You lost $5.00!,0.20000000000000018,4,4,0.3,75.0,0.2512170783399294,[0],100.0,3,3,None,0.24999327200930566,,,,cctst,Practice,2,2019_Aug_31_0822,MID,3.1.5,24.00757953844156,
Triangle,2000,0,4,4,4,,45.521277322026435,None,2000,47.53069616801804,None,None,47.53069616801804,None,1.7,5,49.57982460304629,None,None,0,,49.57982460304629,None,You did not win or lose anything!,0.20000000000000018,3,4,0.3,60.0,0.2512170783399294,[0],100.0,3,3,1,0.30373023300198837,,0.003730233001988381,,cctst,Practice,2,2019_Aug_31_0822,MID,3.1.5,24.00757953844156,
LgReward,2000,0,5,5,5,,51.64647882303689,None,2000,53.66326915600803,None,None,53.66326915600803,None,1.7,6,55.732125407026615,None,1,1,0.23169346200302243,55.732125407026615,None,You won $5.00!,5.2,1,5,0.3,66.66666666666666,0.24633617425570264,"[0, 1]",100.0,3,3,None,0.23169346200302243,,,,cctst,Practice,2,2019_Aug_31_0822,MID,3.1.5,24.00757953844156,
SmallPun,2000,0,6,6,6,,57.815217175055295,None,2000,59.8321442460292,None,None,59.8321442460292,None,1.7,7,61.88154080801178,None,None,0,,61.88154080801178,None,You lost $0.20!,5.0,5,6,0.27999999999999997,57.14285714285714,0.24633617425570264,[],66.66666666666666,6,3,None,0.23169346200302243,Adjusting RT...,,,cctst,Practice,2,2019_Aug_31_0822,MID,3.1.5,24.00757953844156,
SmallReward,2000,0,7,7,7,,63.93843784602359,None,2000,65.94870204402832,None,None,65.94870204402832,None,1.72,8,68.01819969102507,None,None,0,,68.01819969102507,None,You did not win $0.20!,5.0,2,7,0.27999999999999997,50.0,0.24633617425570264,[0],66.66666666666666,6,3,1,0.2785147499828599,,-0.0014852500171400607,,cctst,Practice,2,2019_Aug_31_0822,MID,3.1.5,24.00757953844156,
Triangle,2000,0,8,8,8,,70.06630629603751,None,2000,72.08299811102916,None,None,72.08299811102916,None,1.72,9,74.12315388600109,None,None,0,,74.12315388600109,None,You did not win or lose anything!,5.0,3,7,0.27999999999999997,44.44444444444444,0.24633617425570264,[0],66.66666666666666,6,3,1,0.2723761219833977,,-0.007623878016602248,,cctst,Practice,2,2019_Aug_31_0822,MID,3.1.5,24.00757953844156,
LgReward,2000,0,9,9,9,,76.15458401100477,None,2000,78.20053375203861,None,None,78.20053375203861,None,1.72,10,80.26703597500455,None,None,0,,80.26703597500455,None,You did not win $5.00!,5.0,1,8,0.27999999999999997,40.0,0.24633617425570264,"[0, 0]",66.66666666666666,6,3,None,0.2723761219833977,,,,cctst,Practice,2,2019_Aug_31_0822,MID,3.1.5,24.00757953844156,
