TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,run,trial_order
2,1,0.24531870504142717,,cctst_direct_connect_1,2,practice
1,1,0.23137382697314024,,cctst_direct_connect_1,2,practice
5,1,0.3001570869819261,,cctst_direct_connect_1,2,practice
4,1,0.2305432169814594,,cctst_direct_connect_1,2,practice
3,0,[],,cctst_direct_connect_1,2,practice
1,1,0.196050779952202,,cctst_direct_connect_1,2,practice
5,1,0.2474090339965187,,cctst_direct_connect_1,2,practice
2,0,[],,cctst_direct_connect_1,2,practice
3,0,[],,cctst_direct_connect_1,2,practice
1,0,[],,cctst_direct_connect_1,2,practice
4,1,0.028507762996014208,,cctst_direct_connect_1,2,practice
5,0,[],,cctst_direct_connect_1,2,practice
2,0,[],,cctst_direct_connect_1,2,practice
4,0,[],,cctst_direct_connect_1,2,practice
3,1,0.2367553410003893,,cctst_direct_connect_1,2,practice
