Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,23.451762542012148,None,2000,25.48034320899751,None,None,25.48034320899751,None,1.65,1,27.52981236099731,None,1,1,0.24531870504142717,27.52981236099731,None,You won $0.20!,0.2,2,1,0.35,100.0,0.24531870504142717,[1],0,0,3,None,0.24531870504142717,,,cctst_direct_connect_1,Practice,2,2019_Aug_31_0916,MID,3.1.5,60.006436308630605,
LgReward,2000,0,1,1,1,,29.596221140003763,None,2000,31.63070381199941,None,None,31.63070381199941,None,1.65,2,33.663706488965545,None,1,1,0.23137382697314024,33.663706488965545,None,You won $5.00!,5.2,1,2,0.35,100.0,0.2383462660072837,"[1, 1]",0,0,3,None,0.23137382697314024,,,cctst_direct_connect_1,Practice,2,2019_Aug_31_0916,MID,3.1.5,60.006436308630605,
SmallPun,2000,0,2,2,2,,35.69668328401167,None,2000,37.72980261000339,None,None,37.72980261000339,None,1.65,3,39.762833245971706,None,1,1,0.3001570869819261,39.762833245971706,None,You did not lose $0.20!,5.2,5,3,0.3,100.0,0.25894987299883115,[],100.0,3,3,None,0.3001570869819261,Adjusting RT...,,cctst_direct_connect_1,Practice,2,2019_Aug_31_0916,MID,3.1.5,60.006436308630605,
LgPun,2000,0,3,3,3,,41.79681910696672,None,2000,43.83132053096779,None,None,43.83132053096779,None,1.7,4,45.86457207199419,None,1,1,0.2305432169814594,45.86457207199419,None,You did not lose $5.00!,5.2,4,4,0.3,100.0,0.25184820899448823,[1],100.0,3,3,None,0.2305432169814594,,,cctst_direct_connect_1,Practice,2,2019_Aug_31_0916,MID,3.1.5,60.006436308630605,
Triangle,2000,0,4,4,4,,47.91423600097187,None,2000,49.94861426099669,None,None,49.94861426099669,None,1.7,5,51.98108678497374,None,None,0,,51.98108678497374,None,You did not win or lose anything!,5.2,3,4,0.3,80.0,0.25184820899448823,[1],100.0,3,3,1,0.28988692002603783,,-0.010113079973962158,cctst_direct_connect_1,Practice,2,2019_Aug_31_0916,MID,3.1.5,60.006436308630605,
LgReward,2000,0,5,5,5,,54.04826528398553,None,2000,56.08218595699873,None,None,56.08218595699873,None,1.7,6,58.123010937008075,None,1,1,0.196050779952202,58.123010937008075,None,You won $5.00!,10.2,1,5,0.3,83.33333333333334,0.240688723186031,"[1, 1]",100.0,3,3,None,0.196050779952202,,,cctst_direct_connect_1,Practice,2,2019_Aug_31_0916,MID,3.1.5,60.006436308630605,
SmallPun,2000,0,6,6,6,,60.1659326889785,None,2000,62.188654294994194,None,None,62.188654294994194,None,1.7,7,64.2316459339927,None,1,1,0.2474090339965187,64.2316459339927,None,You did not lose $0.20!,10.2,5,6,0.25,85.71428571428571,0.24180877498777895,[],100.0,6,3,None,0.2474090339965187,Adjusting RT...,,cctst_direct_connect_1,Practice,2,2019_Aug_31_0916,MID,3.1.5,60.006436308630605,
SmallReward,2000,0,7,7,7,,66.28243504400598,None,2000,68.31629431899637,None,None,68.31629431899637,None,1.75,8,70.35619406099431,None,None,0,,70.35619406099431,None,You did not win $0.20!,10.2,2,7,0.25,75.0,0.24180877498777895,[0],100.0,6,3,1,0.24425017897738144,,-0.005749821022618562,cctst_direct_connect_1,Practice,2,2019_Aug_31_0916,MID,3.1.5,60.006436308630605,
Triangle,2000,0,8,8,8,,72.41609586001141,None,2000,74.44096626900136,None,None,74.44096626900136,None,1.75,9,76.4829676260124,None,None,0,,76.4829676260124,None,You did not win or lose anything!,10.2,3,7,0.25,66.66666666666666,0.24180877498777895,[0],100.0,6,3,1,0.25453803600976244,,0.004538036009762436,cctst_direct_connect_1,Practice,2,2019_Aug_31_0916,MID,3.1.5,60.006436308630605,
LgReward,2000,0,9,9,9,,78.5494308929774,None,2000,80.57475154096028,None,None,80.57475154096028,None,1.75,10,82.62499300396303,None,None,0,,82.62499300396303,None,You did not win $5.00!,10.2,1,8,0.25,60.0,0.24180877498777895,"[0, 0]",100.0,6,3,1,0.33193752699298784,,0.08193752699298784,cctst_direct_connect_1,Practice,2,2019_Aug_31_0916,MID,3.1.5,60.006436308630605,
