TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,run,trial_order
2,1,0.264391403994523,,cctst_switch_1080,2,practice
1,1,-0.016275638015940785,,cctst_switch_1080,2,practice
5,1,0.23546117497608066,,cctst_switch_1080,2,practice
4,1,0.23774337401846424,,cctst_switch_1080,2,practice
3,1,0.22828082303749397,,cctst_switch_1080,2,practice
1,1,0.12370488903252408,,cctst_switch_1080,2,practice
5,0,[],,cctst_switch_1080,2,practice
2,0,[],,cctst_switch_1080,2,practice
3,0,[],,cctst_switch_1080,2,practice
1,0,[],,cctst_switch_1080,2,practice
4,0,[],,cctst_switch_1080,2,practice
5,0,[],,cctst_switch_1080,2,practice
2,1,0.10946324799442664,,cctst_switch_1080,2,practice
4,0,[],,cctst_switch_1080,2,practice
3,1,0.2549581560306251,,cctst_switch_1080,2,practice
