TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,run,trial_order
2,1,0.21854527096729726,,rdisbb,2,practice
1,1,0.20176113198976964,,rdisbb,2,practice
5,1,0.21577201900072396,,rdisbb,2,practice
4,1,0.21681139600696042,,rdisbb,2,practice
3,1,0.21063650998985395,,rdisbb,2,practice
1,1,0.21635696000885218,,rdisbb,2,practice
5,1,0.21835694700712338,,rdisbb,2,practice
2,1,0.21341993397800252,,rdisbb,2,practice
3,1,0.21714925800915807,,rdisbb,2,practice
1,1,0.2013070720131509,,rdisbb,2,practice
4,0,[],,rdisbb,2,practice
5,0,[],,rdisbb,2,practice
2,0,[],,rdisbb,2,practice
4,0,[],,rdisbb,2,practice
3,1,0.2238903859979473,,rdisbb,2,practice
