Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,24.725109747960232,None,2000,26.752694402006455,None,None,26.752694402006455,None,1.65,1,28.802743205975275,None,1,1,0.21854527096729726,28.802743205975275,None,You won $0.20!,0.2,2,1,0.35,100.0,0.21854527096729726,[1],0,0,3,None,0.21854527096729726,,,rdisbb,Practice,2,2019_Aug_31_0958,MID,3.1.5,60.030918926109464,
LgReward,2000,0,1,1,1,,30.869583204970695,None,2000,32.90393245097948,None,None,32.90393245097948,None,1.65,2,34.953674113960005,None,1,1,0.20176113198976964,34.953674113960005,None,You won $5.00!,5.2,1,2,0.35,100.0,0.21015320147853345,"[1, 1]",0,0,3,None,0.20176113198976964,,,rdisbb,Practice,2,2019_Aug_31_0958,MID,3.1.5,60.030918926109464,
SmallPun,2000,0,2,2,2,,36.98634997999761,None,2000,39.01988895697286,None,None,39.01988895697286,None,1.65,3,41.05353180895327,None,1,1,0.21577201900072396,41.05353180895327,None,You did not lose $0.20!,5.2,5,3,0.3,100.0,0.21202614065259695,[],100.0,3,3,None,0.21577201900072396,Adjusting RT...,,rdisbb,Practice,2,2019_Aug_31_0958,MID,3.1.5,60.030918926109464,
LgPun,2000,0,3,3,3,,43.10356813296676,None,2000,45.13774763396941,None,None,45.13774763396941,None,1.7,4,47.170609919005074,None,1,1,0.21681139600696042,47.170609919005074,None,You did not lose $5.00!,5.2,4,4,0.3,100.0,0.21322245449118782,[1],100.0,3,3,None,0.21681139600696042,,,rdisbb,Practice,2,2019_Aug_31_0958,MID,3.1.5,60.030918926109464,
Triangle,2000,0,4,4,4,,49.221273344999645,None,2000,51.25467908999417,None,None,51.25467908999417,None,1.7,5,53.28777941997396,None,1,1,0.21063650998985395,53.28777941997396,None,You did not win or lose anything!,5.2,3,4,0.3,100.0,0.21270526559092104,[1],100.0,3,3,None,0.21063650998985395,,,rdisbb,Practice,2,2019_Aug_31_0958,MID,3.1.5,60.030918926109464,
LgReward,2000,0,5,5,5,,55.35429579101037,None,2000,57.38872858695686,None,None,57.38872858695686,None,1.7,6,59.43794574198546,None,1,1,0.21635696000885218,59.43794574198546,None,You won $5.00!,10.2,1,5,0.3,100.0,0.2133138813272429,"[1, 1]",100.0,3,3,None,0.21635696000885218,,,rdisbb,Practice,2,2019_Aug_31_0958,MID,3.1.5,60.030918926109464,
SmallPun,2000,0,6,6,6,,61.471882913960144,None,2000,63.49513925798237,None,None,63.49513925798237,None,1.7,7,65.53894447797211,None,1,1,0.21835694700712338,65.53894447797211,None,You did not lose $0.20!,10.2,5,6,0.25,100.0,0.21403431928151154,[],100.0,6,3,None,0.21835694700712338,Adjusting RT...,,rdisbb,Practice,2,2019_Aug_31_0958,MID,3.1.5,60.030918926109464,
SmallReward,2000,0,7,7,7,,67.58903595298762,None,2000,69.61269436299335,None,None,69.61269436299335,None,1.75,8,71.67202363198157,None,1,1,0.21341993397800252,71.67202363198157,None,You won $0.20!,10.399999999999999,2,7,0.25,100.0,0.2139575211185729,[1],100.0,6,3,None,0.21341993397800252,,,rdisbb,Practice,2,2019_Aug_31_0958,MID,3.1.5,60.030918926109464,
Triangle,2000,0,8,8,8,,73.70598150795558,None,2000,75.73004571296042,None,None,75.73004571296042,None,1.75,9,77.7722716119606,None,1,1,0.21714925800915807,77.7722716119606,None,You did not win or lose anything!,10.399999999999999,3,7,0.25,100.0,0.21431215855086017,[1],100.0,6,3,None,0.21714925800915807,,,rdisbb,Practice,2,2019_Aug_31_0958,MID,3.1.5,60.030918926109464,
LgReward,2000,0,9,9,9,,79.82313671399606,None,2000,81.84694259095704,None,None,81.84694259095704,None,1.75,10,83.89713793800911,None,1,1,0.2013070720131509,83.89713793800911,None,You won $5.00!,15.399999999999999,1,8,0.25,100.0,0.21301164989708923,"[1, 1]",100.0,6,3,None,0.2013070720131509,,,rdisbb,Practice,2,2019_Aug_31_0958,MID,3.1.5,60.030918926109464,
LgPun,2000,0,10,10,10,,85.9400889929966,None,2000,87.96527602797141,None,None,87.96527602797141,None,1.75,11,90.00662148598349,None,None,0,,90.00662148598349,None,You lost $5.00!,10.399999999999999,4,9,0.22,90.9090909090909,0.21301164989708923,[],83.33333333333333,9,3,1,0.21799742898903787,Adjusting RT...,-0.0020025710109621286,rdisbb,Practice,2,2019_Aug_31_0958,MID,3.1.5,60.030918926109464,
SmallPun,2000,0,11,11,11,,92.04045884299558,None,2000,94.0664476910024,None,None,94.0664476910024,None,1.78,12,96.10694566299208,None,None,0,,96.10694566299208,None,You lost $0.20!,10.2,5,10,0.22,83.33333333333334,0.21301164989708923,[0],83.33333333333333,9,3,1,0.21947134900139645,,-0.0005286509986035526,rdisbb,Practice,2,2019_Aug_31_0958,MID,3.1.5,60.030918926109464,
SmallReward,2000,0,12,12,12,,98.1571532979724,None,2000,100.1904441890074,None,None,100.1904441890074,None,1.78,13,102.23287588596577,None,None,0,,102.23287588596577,None,You did not win $0.20!,10.2,2,11,0.22,76.92307692307693,0.21301164989708923,"[0, 0]",83.33333333333333,9,3,None,0.21947134900139645,,,rdisbb,Practice,2,2019_Aug_31_0958,MID,3.1.5,60.030918926109464,
LgPun,2000,0,13,13,13,,104.27341358800186,None,2000,106.30090092797764,None,None,106.30090092797764,None,1.78,14,108.33397917699767,None,None,0,,108.33397917699767,None,You lost $5.00!,5.199999999999999,4,12,0.26,71.42857142857143,0.21301164989708923,[],33.33333333333333,12,3,None,0.21947134900139645,Adjusting RT...,,rdisbb,Practice,2,2019_Aug_31_0958,MID,3.1.5,60.030918926109464,
Triangle,2000,0,14,14,14,,110.37476100795902,None,2000,112.40189724398078,None,None,112.40189724398078,None,1.74,15,114.44149999698857,None,1,1,0.2238903859979473,114.44149999698857,None,You did not win or lose anything!,5.199999999999999,3,12,0.26,73.33333333333333,0.21400062590625815,[],33.33333333333333,12,3,None,0.2238903859979473,,,rdisbb,Practice,2,2019_Aug_31_0958,MID,3.1.5,60.030918926109464,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rdisbb,Practice,2,2019_Aug_31_0958,MID,3.1.5,60.030918926109464,
