5.5514 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1200]. Using actual size
6.6323 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x134faac18>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1350242b0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([3840, 2400]), stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.6323 	EXP 	window1: recordFrameIntervals = False
7.0481 	EXP 	window1: recordFrameIntervals = True
7.8824 	EXP 	window1: recordFrameIntervals = False
8.4516 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
8.4622 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Waiting for scanner trigger...', units='height', win=Window(...), wrapWidth=1)
8.4638 	EXP 	Created polygon = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineWidth=1, name='polygon', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
8.4709 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_3', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='All done!', units='height', win=Window(...), wrapWidth=1)
8.5301 	EXP 	text: autoDraw = True
15.9686 	DATA 	Keypress: space
15.9833 	EXP 	text: autoDraw = False
15.9833 	EXP 	text_2: autoDraw = True
30.6806 	DATA 	Keypress: 5
30.7016 	EXP 	text_2: autoDraw = False
30.7016 	EXP 	polygon: autoDraw = True
31.3877 	DATA 	Keypress: 5
32.1812 	DATA 	Keypress: 5
32.9723 	DATA 	Keypress: 5
33.7175 	DATA 	Keypress: 5
34.5100 	DATA 	Keypress: 5
35.3031 	DATA 	Keypress: 5
36.0548 	DATA 	Keypress: 5
36.8458 	DATA 	Keypress: 5
37.6380 	DATA 	Keypress: 5
38.3865 	DATA 	Keypress: 5
39.1836 	DATA 	Keypress: 5
39.9706 	DATA 	Keypress: 5
40.7206 	DATA 	Keypress: 5
41.5109 	DATA 	Keypress: 5
42.3030 	DATA 	Keypress: 5
43.0551 	DATA 	Keypress: 5
43.8451 	DATA 	Keypress: 5
44.6346 	DATA 	Keypress: 5
45.3887 	DATA 	Keypress: 5
46.1803 	DATA 	Keypress: 5
46.9698 	DATA 	Keypress: 5
47.7212 	DATA 	Keypress: 5
48.5137 	DATA 	Keypress: 5
49.3062 	DATA 	Keypress: 5
50.0549 	DATA 	Keypress: 5
50.8469 	DATA 	Keypress: 5
51.6381 	DATA 	Keypress: 5
52.3893 	DATA 	Keypress: 5
53.1818 	DATA 	Keypress: 5
53.9724 	DATA 	Keypress: 5
54.7209 	DATA 	Keypress: 5
55.5141 	DATA 	Keypress: 5
56.3090 	DATA 	Keypress: 5
57.0564 	DATA 	Keypress: 5
57.8469 	DATA 	Keypress: 5
58.6431 	DATA 	Keypress: 5
59.3930 	DATA 	Keypress: 5
60.1803 	DATA 	Keypress: 5
60.9770 	DATA 	Keypress: 5
61.7255 	DATA 	Keypress: 5
62.5181 	DATA 	Keypress: 5
63.3064 	DATA 	Keypress: 5
64.0549 	DATA 	Keypress: 5
64.8487 	DATA 	Keypress: 5
65.6433 	DATA 	Keypress: 5
66.3906 	DATA 	Keypress: 5
67.1853 	DATA 	Keypress: 5
67.9744 	DATA 	Keypress: 5
68.7243 	DATA 	Keypress: 5
69.5138 	DATA 	Keypress: 5
70.3091 	DATA 	Keypress: 5
71.0954 	DATA 	Keypress: 5
71.8455 	DATA 	Keypress: 5
72.6378 	DATA 	Keypress: 5
73.3885 	DATA 	Keypress: 5
74.1774 	DATA 	Keypress: 5
74.9763 	DATA 	Keypress: 5
75.7648 	DATA 	Keypress: 5
76.5150 	DATA 	Keypress: 5
77.3047 	DATA 	Keypress: 5
78.0977 	DATA 	Keypress: 5
78.8474 	DATA 	Keypress: 5
79.6396 	DATA 	Keypress: 5
80.4330 	DATA 	Keypress: 5
81.1812 	DATA 	Keypress: 5
81.9769 	DATA 	Keypress: 5
82.7682 	DATA 	Keypress: 5
83.5150 	DATA 	Keypress: 5
84.3068 	DATA 	Keypress: 5
85.0983 	DATA 	Keypress: 5
85.8518 	DATA 	Keypress: 5
86.6399 	DATA 	Keypress: 5
87.4294 	DATA 	Keypress: 5
88.1808 	DATA 	Keypress: 5
88.9758 	DATA 	Keypress: 5
89.7656 	DATA 	Keypress: 5
90.5188 	DATA 	Keypress: 5
91.3099 	DATA 	Keypress: 5
92.1026 	DATA 	Keypress: 5
92.8486 	DATA 	Keypress: 5
93.6399 	DATA 	Keypress: 5
94.4289 	DATA 	Keypress: 5
95.1835 	DATA 	Keypress: 5
95.9747 	DATA 	Keypress: 5
96.7664 	DATA 	Keypress: 5
97.5188 	DATA 	Keypress: 5
98.3058 	DATA 	Keypress: 5
99.1031 	DATA 	Keypress: 5
99.8492 	DATA 	Keypress: 5
100.6437 	DATA 	Keypress: 5
101.4309 	DATA 	Keypress: 5
102.1854 	DATA 	Keypress: 5
102.9760 	DATA 	Keypress: 5
103.7676 	DATA 	Keypress: 5
104.5185 	DATA 	Keypress: 5
105.3042 	DATA 	Keypress: 5
106.1022 	DATA 	Keypress: 5
106.8485 	DATA 	Keypress: 5
107.6397 	DATA 	Keypress: 5
108.4316 	DATA 	Keypress: 5
109.1852 	DATA 	Keypress: 5
109.9741 	DATA 	Keypress: 5
110.7703 	DATA 	Keypress: 5
111.5200 	DATA 	Keypress: 5
112.3067 	DATA 	Keypress: 5
113.1054 	DATA 	Keypress: 5
113.8522 	DATA 	Keypress: 5
114.6420 	DATA 	Keypress: 5
115.4345 	DATA 	Keypress: 5
116.1860 	DATA 	Keypress: 5
116.9755 	DATA 	Keypress: 5
117.7625 	DATA 	Keypress: 5
118.5150 	DATA 	Keypress: 5
119.3062 	DATA 	Keypress: 5
120.1059 	DATA 	Keypress: 5
120.8909 	DATA 	Keypress: 5
121.6411 	DATA 	Keypress: 5
122.4319 	DATA 	Keypress: 5
123.2254 	DATA 	Keypress: 5
123.9723 	DATA 	Keypress: 5
124.7687 	DATA 	Keypress: 5
125.5190 	DATA 	Keypress: 5
126.3091 	DATA 	Keypress: 5
127.0987 	DATA 	Keypress: 5
127.8525 	DATA 	Keypress: 5
128.6391 	DATA 	Keypress: 5
129.4331 	DATA 	Keypress: 5
130.2249 	DATA 	Keypress: 5
130.9755 	DATA 	Keypress: 5
131.7653 	DATA 	Keypress: 5
132.5182 	DATA 	Keypress: 5
133.3116 	DATA 	Keypress: 5
134.1001 	DATA 	Keypress: 5
134.8925 	DATA 	Keypress: 5
135.6414 	DATA 	Keypress: 5
136.4353 	DATA 	Keypress: 5
137.2289 	DATA 	Keypress: 5
137.9749 	DATA 	Keypress: 5
138.7714 	DATA 	Keypress: 5
139.5593 	DATA 	Keypress: 5
140.3100 	DATA 	Keypress: 5
141.0987 	DATA 	Keypress: 5
141.8972 	DATA 	Keypress: 5
142.6457 	DATA 	Keypress: 5
143.4339 	DATA 	Keypress: 5
144.2246 	DATA 	Keypress: 5
144.9777 	DATA 	Keypress: 5
145.7680 	DATA 	Keypress: 5
146.5638 	DATA 	Keypress: 5
147.3113 	DATA 	Keypress: 5
148.1051 	DATA 	Keypress: 5
148.8938 	DATA 	Keypress: 5
149.6449 	DATA 	Keypress: 5
150.4324 	DATA 	Keypress: 5
151.2294 	DATA 	Keypress: 5
151.9811 	DATA 	Keypress: 5
152.7673 	DATA 	Keypress: 5
153.5611 	DATA 	Keypress: 5
154.3160 	DATA 	Keypress: 5
155.1015 	DATA 	Keypress: 5
