trial_type,arrow_1,corrAns,ss_delay,iti_duration,key_response.keys,key_response.corr,key_response.rt,SOA,run_fixation_duration,participant,trial_order,handedness
go,sst_images/Left_Arrow.bmp,1,0.05,0.732,,0,[],1.732,,0001,1,R
go,sst_images/Right_Arrow.bmp,2,0.05,0.709,1,0,0.8230603419997351,1.709,,0001,1,R
stop,sst_images/Right_Arrow.bmp,none,0.1,0.832,,1,[],1.8319999999999999,,0001,1,R
go,sst_images/Right_Arrow.bmp,2,0.1,0.812,1,0,0.3632651320003788,1.812,,0001,1,R
go,sst_images/Left_Arrow.bmp,1,0.1,0.916,1,1,0.3986849920001987,1.916,,0001,1,R
stop,sst_images/Left_Arrow.bmp,none,0.05,0.817,2,0,0.3216014350000478,1.8953985649999523,,0001,1,R
go,sst_images/Left_Arrow.bmp,1,0.05,1.153,1,1,0.33364883399917744,2.153,,0001,1,R
go,sst_images/Right_Arrow.bmp,2,0.05,1.097,2,1,0.33367389399973035,2.097,,0001,1,R
go,sst_images/Left_Arrow.bmp,1,0.05,0.771,2,0,0.4290206509995187,1.771,,0001,1,R
go,sst_images/Right_Arrow.bmp,2,0.05,0.768,1,0,0.4040674769985344,1.768,,0001,1,R
stop,sst_images/Left_Arrow.bmp,none,0.1,0.709,,1,[],1.709,,0001,1,R
go,sst_images/Right_Arrow.bmp,2,0.1,0.861,1,0,0.37192159300138883,1.861,,0001,1,R
go,sst_images/Left_Arrow.bmp,1,0.1,0.834,1,1,0.329375022000022,1.834,,0001,1,R
go,sst_images/Right_Arrow.bmp,2,0.1,0.83,2,1,0.3679012890006561,1.83,,0001,1,R
go,sst_images/Left_Arrow.bmp,1,0.1,1.202,1,1,0.3352811160002602,2.202,,0001,1,R
stop,sst_images/Right_Arrow.bmp,none,0.15000000000000002,0.929,,1,[],1.929,,0001,1,R
go,sst_images/Left_Arrow.bmp,1,0.15000000000000002,0.705,2,0,0.3720525419994374,1.705,,0001,1,R
go,sst_images/Left_Arrow.bmp,1,0.15000000000000002,0.953,1,1,0.3361550030003855,1.9529999999999998,,0001,1,R
go,sst_images/Right_Arrow.bmp,2,0.15000000000000002,0.795,1,0,0.33490209099909407,1.795,,0001,1,R
go,sst_images/Left_Arrow.bmp,1,0.15000000000000002,0.91,2,0,0.3360402720009006,1.9100000000000001,,0001,1,R
go,sst_images/Left_Arrow.bmp,1,0.15000000000000002,0.975,2,0,0.06831276200136926,1.975,,0001,1,R
stop,sst_images/Right_Arrow.bmp,none,0.10000000000000002,0.708,2,0,0.19660203099920182,1.9613979690007983,,0001,1,R
go,sst_images/Right_Arrow.bmp,2,0.10000000000000002,0.838,1,0,0.26635074200021336,1.838,,0001,1,R
go,sst_images/Left_Arrow.bmp,1,0.10000000000000002,0.794,,0,[],1.794,,0001,1,R
go,sst_images/Right_Arrow.bmp,2,0.10000000000000002,0.835,2,1,0.3653210359989316,1.835,,0001,1,R
go,sst_images/Left_Arrow.bmp,1,0.10000000000000002,0.726,2,0,0.3662356750010076,1.726,,0001,1,R
go,sst_images/Right_Arrow.bmp,2,0.10000000000000002,1.514,1,0,0.5209327869997651,2.5140000000000002,,0001,1,R
go,sst_images/Right_Arrow.bmp,2,0.10000000000000002,1.028,1,0,0.35113999399982276,2.028,,0001,1,R
go,sst_images/Left_Arrow.bmp,1,0.10000000000000002,0.849,2,0,0.35202351800035103,1.849,,0001,1,R
