trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,randomized TrialOrder,key_response.keys,key_response.corr,trial_t.routineEndVal,ss_delay,iti_duration,SOA,key_response.rt,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.bmp,None,1,1001,None,0,0,0,0,6,None,0,go,0.05,1.001,2.001,,0042,Scanner,L,2,2019_Aug_21_1254,SST,3.0.7,24.014252054961027,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,729,None,0,1,1,1,,None,1,stop,0.1,0.729,1.729,,0042,Scanner,L,2,2019_Aug_21_1254,SST,3.0.7,24.014252054961027,
go,sst_images/Right_Arrow.bmp,None,2,898,None,0,2,2,2,,2,1,go,0.1,0.898,1.8980000000000001,0.6712749479920603,0042,Scanner,L,2,2019_Aug_21_1254,SST,3.0.7,24.014252054961027,
go,sst_images/Right_Arrow.bmp,None,2,754,None,0,3,3,3,,2,1,go,0.1,0.754,1.754,0.8819921230024192,0042,Scanner,L,2,2019_Aug_21_1254,SST,3.0.7,24.014252054961027,
go,sst_images/Left_Arrow.bmp,None,1,714,None,0,4,4,4,,1,1,go,0.1,0.714,1.714,0.7081213500059675,0042,Scanner,L,2,2019_Aug_21_1254,SST,3.0.7,24.014252054961027,
go,sst_images/Left_Arrow.bmp,None,1,705,None,0,5,5,5,,1,1,go,0.1,0.705,1.705,0.6664647449943004,0042,Scanner,L,2,2019_Aug_21_1254,SST,3.0.7,24.014252054961027,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1027,None,0,6,6,6,,None,1,stop,0.15000000000000002,1.027,2.0269999999999997,,0042,Scanner,L,2,2019_Aug_21_1254,SST,3.0.7,24.014252054961027,
go,sst_images/Right_Arrow.bmp,None,2,719,None,0,7,7,7,,2,1,go,0.15000000000000002,0.719,1.7189999999999999,0.6678490760095883,0042,Scanner,L,2,2019_Aug_21_1254,SST,3.0.7,24.014252054961027,
go,sst_images/Left_Arrow.bmp,None,1,790,None,0,8,8,8,,1,1,go,0.15000000000000002,0.79,1.79,0.667868365009781,0042,Scanner,L,2,2019_Aug_21_1254,SST,3.0.7,24.014252054961027,
go,sst_images/Right_Arrow.bmp,None,2,786,None,0,9,9,9,,2,1,go,0.15000000000000002,0.786,1.786,0.5028189520089654,0042,Scanner,L,2,2019_Aug_21_1254,SST,3.0.7,24.014252054961027,
go,sst_images/Right_Arrow.bmp,None,2,782,None,0,10,10,10,,2,1,go,0.15000000000000002,0.782,1.782,0.6301370889996178,0042,Scanner,L,2,2019_Aug_21_1254,SST,3.0.7,24.014252054961027,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1103,None,0,11,11,11,,None,1,stop,0.2,1.103,2.1029999999999998,,0042,Scanner,L,2,2019_Aug_21_1254,SST,3.0.7,24.014252054961027,
go,sst_images/Left_Arrow.bmp,None,1,1094,None,0,12,12,12,,1,1,go,0.2,1.094,2.0940000000000003,0.5441690209991066,0042,Scanner,L,2,2019_Aug_21_1254,SST,3.0.7,24.014252054961027,
go,sst_images/Right_Arrow.bmp,None,2,1410,None,0,13,13,13,,2,1,go,0.2,1.41,2.41,0.4998698109993711,0042,Scanner,L,2,2019_Aug_21_1254,SST,3.0.7,24.014252054961027,
go,sst_images/Left_Arrow.bmp,None,1,916,None,0,14,14,14,,1,1,go,0.2,0.916,1.916,0.5031074600119609,0042,Scanner,L,2,2019_Aug_21_1254,SST,3.0.7,24.014252054961027,
