trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_response.keys,key_response.corr,key_response.rt,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.BMP,None,1,955,None,0,0,0,0,1,1,0.7376110269979108,go,0.05,0.955,1.955,006,Practice,R,2,2019_Sep_08_1113,SST,3.0.7,60.30152511095401,
go,sst_images/Right_Arrow.BMP,None,2,925,None,0,1,1,1,2,1,0.4043981610011542,go,0.05,0.925,1.925,006,Practice,R,2,2019_Sep_08_1113,SST,3.0.7,60.30152511095401,
go,sst_images/Right_Arrow.BMP,None,2,925,None,0,2,2,2,2,1,0.4875712420034688,go,0.05,0.925,1.925,006,Practice,R,2,2019_Sep_08_1113,SST,3.0.7,60.30152511095401,
go,sst_images/Left_Arrow.BMP,None,1,865,None,0,3,3,3,1,1,0.41917359799845144,go,0.05,0.865,1.865,006,Practice,R,2,2019_Sep_08_1113,SST,3.0.7,60.30152511095401,
go,sst_images/Left_Arrow.BMP,None,1,1045,None,0,4,4,4,1,1,0.502159910989576,go,0.05,1.045,2.045,006,Practice,R,2,2019_Sep_08_1113,SST,3.0.7,60.30152511095401,
stop,sst_images/Right_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,790,None,0,5,5,5,None,1,,stop,0.1,0.79,1.79,006,Practice,R,2,2019_Sep_08_1113,SST,3.0.7,60.30152511095401,
go,sst_images/Right_Arrow.BMP,None,2,745,None,0,6,6,6,2,1,0.5052235160110286,go,0.1,0.745,1.745,006,Practice,R,2,2019_Sep_08_1113,SST,3.0.7,60.30152511095401,
go,sst_images/Left_Arrow.BMP,None,1,820,None,0,7,7,7,1,1,0.4382681959978072,go,0.1,0.82,1.8199999999999998,006,Practice,R,2,2019_Sep_08_1113,SST,3.0.7,60.30152511095401,
go,sst_images/Right_Arrow.BMP,None,2,1090,None,0,8,8,8,2,1,0.47190039900306147,go,0.1,1.09,2.09,006,Practice,R,2,2019_Sep_08_1113,SST,3.0.7,60.30152511095401,
go,sst_images/Right_Arrow.BMP,None,2,700,None,0,9,9,9,2,1,0.521774099994218,go,0.1,0.7,1.7,006,Practice,R,2,2019_Sep_08_1113,SST,3.0.7,60.30152511095401,
go,sst_images/Left_Arrow.BMP,None,1,760,None,0,10,10,10,1,1,0.5193111289991066,go,0.1,0.76,1.76,006,Practice,R,2,2019_Sep_08_1113,SST,3.0.7,60.30152511095401,
stop,sst_images/Left_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,880,None,0,11,11,11,None,1,,stop,0.15000000000000002,0.88,1.8800000000000001,006,Practice,R,2,2019_Sep_08_1113,SST,3.0.7,60.30152511095401,
go,sst_images/Right_Arrow.BMP,None,2,730,None,0,12,12,12,2,1,0.48586385800444987,go,0.15000000000000002,0.73,1.73,006,Practice,R,2,2019_Sep_08_1113,SST,3.0.7,60.30152511095401,
go,sst_images/Left_Arrow.BMP,None,1,910,None,0,13,13,13,1,1,0.6027818159927847,go,0.15000000000000002,0.91,1.9100000000000001,006,Practice,R,2,2019_Sep_08_1113,SST,3.0.7,60.30152511095401,
