trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,randomized TrialOrder,key_response.keys,key_response.corr,trial_t.routineEndVal,ss_delay,iti_duration,SOA,key_response.rt,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.bmp,None,1,1610,None,0,0,0,0,8,None,0,go,0.05,1.61,2.6100000000000003,,009,Scanner,L,2,2019_Sep_06_1238,SST,3.0.7,60.08272622484566,
go,sst_images/Right_Arrow.bmp,None,2,966,None,0,1,1,1,,1,0,go,0.05,0.966,1.966,0.5039599899973837,009,Scanner,L,2,2019_Sep_06_1238,SST,3.0.7,60.08272622484566,
go,sst_images/Right_Arrow.bmp,None,2,954,None,0,2,2,2,,1,0,go,0.05,0.954,1.954,0.4711853249973501,009,Scanner,L,2,2019_Sep_06_1238,SST,3.0.7,60.08272622484566,
go,sst_images/Left_Arrow.bmp,None,1,840,None,0,3,3,3,,2,0,go,0.05,0.84,1.8399999999999999,0.47313122199557256,009,Scanner,L,2,2019_Sep_06_1238,SST,3.0.7,60.08272622484566,
go,sst_images/Left_Arrow.bmp,None,1,829,None,0,4,4,4,,2,0,go,0.05,0.829,1.829,0.6553281490050722,009,Scanner,L,2,2019_Sep_06_1238,SST,3.0.7,60.08272622484566,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,966,None,0,5,5,5,,None,1,stop,0.1,0.966,1.966,,009,Scanner,L,2,2019_Sep_06_1238,SST,3.0.7,60.08272622484566,
go,sst_images/Right_Arrow.bmp,None,2,785,None,0,6,6,6,,1,0,go,0.1,0.785,1.7850000000000001,0.45463884699711343,009,Scanner,L,2,2019_Sep_06_1238,SST,3.0.7,60.08272622484566,
go,sst_images/Left_Arrow.bmp,None,1,779,None,0,7,7,7,,2,0,go,0.1,0.779,1.779,0.4874434809971717,009,Scanner,L,2,2019_Sep_06_1238,SST,3.0.7,60.08272622484566,
go,sst_images/Right_Arrow.bmp,None,2,741,None,0,8,8,8,,1,0,go,0.1,0.741,1.741,0.48733965199789964,009,Scanner,L,2,2019_Sep_06_1238,SST,3.0.7,60.08272622484566,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,769,None,0,9,9,9,,None,1,stop,0.15000000000000002,0.769,1.7690000000000001,,009,Scanner,L,2,2019_Sep_06_1238,SST,3.0.7,60.08272622484566,
go,sst_images/Right_Arrow.bmp,None,2,851,None,0,10,10,10,,1,0,go,0.15000000000000002,0.851,1.851,0.4536722659977386,009,Scanner,L,2,2019_Sep_06_1238,SST,3.0.7,60.08272622484566,
