trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_response.keys,key_response.corr,trial_t.routineEndVal,ss_delay,iti_duration,SOA,key_response.rt,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.BMP,None,1,955,None,0,0,0,0,None,0,go,0.05,0.955,1.955,,017,Practice,R,,2019_Sep_04_0928,SST,3.0.7,60.23165806409687,
go,sst_images/Right_Arrow.BMP,None,2,925,None,0,1,1,1,1,0,go,0.05,0.925,1.925,0.5861810009992041,017,Practice,R,,2019_Sep_04_0928,SST,3.0.7,60.23165806409687,
go,sst_images/Right_Arrow.BMP,None,2,925,None,0,2,2,2,1,0,go,0.05,0.925,1.925,0.5704800049998084,017,Practice,R,,2019_Sep_04_0928,SST,3.0.7,60.23165806409687,
go,sst_images/Left_Arrow.BMP,None,1,865,None,0,3,3,3,2,0,go,0.05,0.865,1.865,0.5714207499995609,017,Practice,R,,2019_Sep_04_0928,SST,3.0.7,60.23165806409687,
go,sst_images/Left_Arrow.BMP,None,1,1045,None,0,4,4,4,2,0,go,0.05,1.045,2.045,0.4874845539998205,017,Practice,R,,2019_Sep_04_0928,SST,3.0.7,60.23165806409687,
stop,sst_images/Right_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,790,None,0,5,5,5,None,1,stop,0.1,0.79,1.79,,017,Practice,R,,2019_Sep_04_0928,SST,3.0.7,60.23165806409687,
go,sst_images/Right_Arrow.BMP,None,2,745,None,0,6,6,6,1,0,go,0.1,0.745,1.745,0.41551049500048975,017,Practice,R,,2019_Sep_04_0928,SST,3.0.7,60.23165806409687,
go,sst_images/Left_Arrow.BMP,None,1,820,None,0,7,7,7,2,0,go,0.1,0.82,1.8199999999999998,0.4699125159995674,017,Practice,R,,2019_Sep_04_0928,SST,3.0.7,60.23165806409687,
go,sst_images/Right_Arrow.BMP,None,2,1090,None,0,8,8,8,1,0,go,0.1,1.09,2.09,0.419246318999285,017,Practice,R,,2019_Sep_04_0928,SST,3.0.7,60.23165806409687,
go,sst_images/Right_Arrow.BMP,None,2,700,None,0,9,9,9,1,0,go,0.1,0.7,1.7,0.43604068500008,017,Practice,R,,2019_Sep_04_0928,SST,3.0.7,60.23165806409687,
go,sst_images/Left_Arrow.BMP,None,1,760,None,0,10,10,10,2,0,go,0.1,0.76,1.76,0.5696177239997269,017,Practice,R,,2019_Sep_04_0928,SST,3.0.7,60.23165806409687,
stop,sst_images/Left_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,880,None,0,11,11,11,None,1,stop,0.15000000000000002,0.88,1.8800000000000001,,017,Practice,R,,2019_Sep_04_0928,SST,3.0.7,60.23165806409687,
go,sst_images/Right_Arrow.BMP,None,2,730,None,0,12,12,12,1,0,go,0.15000000000000002,0.73,1.73,0.6865585879995706,017,Practice,R,,2019_Sep_04_0928,SST,3.0.7,60.23165806409687,
go,sst_images/Left_Arrow.BMP,None,1,910,None,0,13,13,13,2,0,go,0.15000000000000002,0.91,1.9100000000000001,0.4860187029998997,017,Practice,R,,2019_Sep_04_0928,SST,3.0.7,60.23165806409687,
go,sst_images/Left_Arrow.BMP,None,1,955,None,0,14,14,14,2,0,go,0.15000000000000002,0.955,1.955,0.5041815779995886,017,Practice,R,,2019_Sep_04_0928,SST,3.0.7,60.23165806409687,
go,sst_images/Left_Arrow.BMP,None,1,1045,None,0,15,15,15,2,0,go,0.15000000000000002,1.045,2.045,0.4540361680001297,017,Practice,R,,2019_Sep_04_0928,SST,3.0.7,60.23165806409687,
go,sst_images/Right_Arrow.BMP,None,2,1045,None,0,16,16,16,1,0,go,0.15000000000000002,1.045,2.045,0.8858791230004499,017,Practice,R,,2019_Sep_04_0928,SST,3.0.7,60.23165806409687,
go,sst_images/Left_Arrow.BMP,None,1,985,None,0,17,17,17,None,0,go,0.15000000000000002,0.985,1.9849999999999999,,017,Practice,R,,2019_Sep_04_0928,SST,3.0.7,60.23165806409687,
stop,sst_images/Left_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,760,None,0,18,18,18,None,1,stop,0.2,0.76,1.76,,017,Practice,R,,2019_Sep_04_0928,SST,3.0.7,60.23165806409687,
go,sst_images/Left_Arrow.BMP,None,1,775,None,0,19,19,19,None,0,go,0.2,0.775,1.775,,017,Practice,R,,2019_Sep_04_0928,SST,3.0.7,60.23165806409687,
go,sst_images/Right_Arrow.BMP,None,2,1015,None,0,20,20,20,None,0,go,0.2,1.015,2.0149999999999997,,017,Practice,R,,2019_Sep_04_0928,SST,3.0.7,60.23165806409687,
go,sst_images/Left_Arrow.BMP,None,1,760,None,0,21,21,21,None,0,go,0.2,0.76,1.76,,017,Practice,R,,2019_Sep_04_0928,SST,3.0.7,60.23165806409687,
stop,sst_images/Right_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,985,None,0,22,22,22,None,1,stop,0.25,0.985,1.9849999999999999,,017,Practice,R,,2019_Sep_04_0928,SST,3.0.7,60.23165806409687,
go,sst_images/Right_Arrow.BMP,None,2,715,None,0,23,23,23,None,0,go,0.25,0.715,1.7149999999999999,,017,Practice,R,,2019_Sep_04_0928,SST,3.0.7,60.23165806409687,
go,sst_images/Left_Arrow.BMP,None,1,745,3264.0,0,24,24,24,None,0,go,0.25,0.745,1.745,,017,Practice,R,,2019_Sep_04_0928,SST,3.0.7,60.23165806409687,
