trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,randomized TrialOrder,key_response.keys,key_response.corr,key_response.rt,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.bmp,None,1,1295,None,0,0,0,0,3,1,1,0.6185932379448786,go,0.05,1.295,2.295,018,Scanner,R,1,2019_Sep_02_1245,SST,3.0.7,60.05748425251145,
go,sst_images/Right_Arrow.bmp,None,2,792,None,0,1,1,1,,2,1,0.3857977989828214,go,0.05,0.792,1.792,018,Scanner,R,1,2019_Sep_02_1245,SST,3.0.7,60.05748425251145,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,738,None,0,2,2,2,,None,1,,stop,0.1,0.738,1.738,018,Scanner,R,1,2019_Sep_02_1245,SST,3.0.7,60.05748425251145,
go,sst_images/Right_Arrow.bmp,None,2,750,None,0,3,3,3,,2,1,0.41926143696764484,go,0.1,0.75,1.75,018,Scanner,R,1,2019_Sep_02_1245,SST,3.0.7,60.05748425251145,
go,sst_images/Left_Arrow.bmp,None,1,869,None,0,4,4,4,,1,1,0.455826657009311,go,0.1,0.869,1.869,018,Scanner,R,1,2019_Sep_02_1245,SST,3.0.7,60.05748425251145,
go,sst_images/Left_Arrow.bmp,None,1,732,None,0,5,5,5,,1,1,0.43753142503555864,go,0.1,0.732,1.732,018,Scanner,R,1,2019_Sep_02_1245,SST,3.0.7,60.05748425251145,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,721,None,0,6,6,6,,None,1,,stop,0.15000000000000002,0.721,1.721,018,Scanner,R,1,2019_Sep_02_1245,SST,3.0.7,60.05748425251145,
go,sst_images/Right_Arrow.bmp,None,2,769,None,0,7,7,7,,2,1,0.3706846179557033,go,0.15000000000000002,0.769,1.7690000000000001,018,Scanner,R,1,2019_Sep_02_1245,SST,3.0.7,60.05748425251145,
go,sst_images/Left_Arrow.bmp,None,1,708,None,0,8,8,8,,1,1,0.3865655729896389,go,0.15000000000000002,0.708,1.708,018,Scanner,R,1,2019_Sep_02_1245,SST,3.0.7,60.05748425251145,
go,sst_images/Right_Arrow.bmp,None,2,838,None,0,9,9,9,,2,1,0.537846767983865,go,0.15000000000000002,0.838,1.838,018,Scanner,R,1,2019_Sep_02_1245,SST,3.0.7,60.05748425251145,
go,sst_images/Right_Arrow.bmp,None,2,712,None,0,10,10,10,,2,1,0.470168742001988,go,0.15000000000000002,0.712,1.712,018,Scanner,R,1,2019_Sep_02_1245,SST,3.0.7,60.05748425251145,
go,sst_images/Left_Arrow.bmp,None,1,707,None,0,11,11,11,,1,1,0.4199912539916113,go,0.15000000000000002,0.707,1.7069999999999999,018,Scanner,R,1,2019_Sep_02_1245,SST,3.0.7,60.05748425251145,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,711,None,0,12,12,12,,1,0,0.47136969200801104,stop,0.10000000000000002,0.711,1.6896303079919888,018,Scanner,R,1,2019_Sep_02_1245,SST,3.0.7,60.05748425251145,
go,sst_images/Right_Arrow.bmp,None,2,725,None,0,13,13,13,,2,1,0.4200520570157096,go,0.10000000000000002,0.725,1.725,018,Scanner,R,1,2019_Sep_02_1245,SST,3.0.7,60.05748425251145,
go,sst_images/Left_Arrow.bmp,None,1,771,None,0,14,14,14,,1,1,0.4042395939468406,go,0.10000000000000002,0.771,1.771,018,Scanner,R,1,2019_Sep_02_1245,SST,3.0.7,60.05748425251145,
