trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_response.keys,key_response.corr,key_response.rt,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.BMP,None,1,955,None,0,0,0,0,1,1,0.49615934200119227,go,0.05,0.955,1.955,019,Practice,R,2,2019_Aug_31_1449,SST,3.0.7,59.99599549173945,
go,sst_images/Right_Arrow.BMP,None,2,925,None,0,1,1,1,2,1,0.5913161169737577,go,0.05,0.925,1.925,019,Practice,R,2,2019_Aug_31_1449,SST,3.0.7,59.99599549173945,
go,sst_images/Right_Arrow.BMP,None,2,925,None,0,2,2,2,2,1,0.5543405530042946,go,0.05,0.925,1.925,019,Practice,R,2,2019_Aug_31_1449,SST,3.0.7,59.99599549173945,
go,sst_images/Left_Arrow.BMP,None,1,865,None,0,3,3,3,1,1,0.4109074859879911,go,0.05,0.865,1.865,019,Practice,R,2,2019_Aug_31_1449,SST,3.0.7,59.99599549173945,
go,sst_images/Left_Arrow.BMP,None,1,1045,None,0,4,4,4,1,1,0.40271854295860976,go,0.05,1.045,2.045,019,Practice,R,2,2019_Aug_31_1449,SST,3.0.7,59.99599549173945,
stop,sst_images/Right_Arrow.BMP,sst_images/Stop_Arrow.BMP,none,790,None,0,5,5,5,None,1,,stop,0.1,0.79,1.79,019,Practice,R,2,2019_Aug_31_1449,SST,3.0.7,59.99599549173945,
go,sst_images/Right_Arrow.BMP,None,2,745,None,0,6,6,6,2,1,0.3881459590047598,go,0.1,0.745,1.745,019,Practice,R,2,2019_Aug_31_1449,SST,3.0.7,59.99599549173945,
go,sst_images/Left_Arrow.BMP,None,1,820,None,0,7,7,7,1,1,0.3261444350355305,go,0.1,0.82,1.8199999999999998,019,Practice,R,2,2019_Aug_31_1449,SST,3.0.7,59.99599549173945,
go,sst_images/Right_Arrow.BMP,None,2,1090,None,0,8,8,8,2,1,0.3770326409721747,go,0.1,1.09,2.09,019,Practice,R,2,2019_Aug_31_1449,SST,3.0.7,59.99599549173945,
go,sst_images/Right_Arrow.BMP,None,2,700,None,0,9,9,9,2,1,0.48827079200418666,go,0.1,0.7,1.7,019,Practice,R,2,2019_Aug_31_1449,SST,3.0.7,59.99599549173945,
