trial_type,arrow_1,corrAns,ss_delay,iti_duration,key_response.keys,key_response.corr,key_response.rt,SOA,run_fixation_duration,participant,trial_order,handedness
go,sst_images/Left_Arrow.bmp,1,0.05,0.717,1,1,0.5832620220026001,1.717,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.05,1.024,2,1,0.42104817897779867,2.024,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.05,0.726,2,1,0.48615631100255996,1.726,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.05,0.819,1,1,0.3825233989628032,1.819,,021,sst_trial_order_1B.csv,R
stop,sst_images/Right_Arrow.bmp,none,0.1,0.837,,1,[],1.837,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.1,0.908,1,1,0.4546982939937152,1.908,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.1,0.738,2,1,0.37009399494854733,1.738,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.1,0.787,1,1,0.4212272909935564,1.787,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.1,0.708,2,1,0.38838341902010143,1.708,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.1,0.818,2,1,0.48845768702449277,1.818,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.1,0.703,1,1,0.4713207969907671,1.7029999999999998,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.1,0.727,2,1,0.38574042497202754,1.7269999999999999,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.1,0.832,1,1,0.4006987609900534,1.8319999999999999,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.1,0.981,1,1,0.48661039397120476,1.9809999999999999,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.1,0.816,1,1,0.621851685049478,1.8159999999999998,,021,sst_trial_order_1B.csv,R
stop,sst_images/Left_Arrow.bmp,none,0.15000000000000002,0.97,,1,[],1.97,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.15000000000000002,0.792,2,1,0.418790737981908,1.792,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.15000000000000002,1.58,1,1,0.617961102980189,2.58,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.15000000000000002,0.8,1,1,0.45488432300044224,1.8,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.15000000000000002,0.804,2,1,0.5868195100338198,1.804,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.15000000000000002,0.709,1,1,0.36969467997550964,1.709,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.15000000000000002,0.823,2,1,0.42172674101311713,1.823,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.15000000000000002,1.215,1,1,0.4851997080259025,2.215,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.15000000000000002,0.755,2,1,0.37061174400150776,1.755,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.15000000000000002,0.703,2,1,0.4876355239539407,1.7029999999999998,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.15000000000000002,0.96,1,1,0.45347847195807844,1.96,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.15000000000000002,0.754,2,1,0.5216395889874548,1.754,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.15000000000000002,0.731,2,1,0.5182268039789051,1.7309999999999999,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.15000000000000002,0.896,1,1,0.553663854021579,1.896,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.15000000000000002,1.195,2,1,0.4039482129737735,2.1950000000000003,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.15000000000000002,1.677,1,1,0.35474019998218864,2.677,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.15000000000000002,0.765,1,1,0.47030459699453786,1.7650000000000001,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.15000000000000002,0.706,2,1,0.4526310060173273,1.706,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.15000000000000002,0.984,2,1,0.5214748739963397,1.984,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.15000000000000002,0.747,1,1,0.43628145300317556,1.7469999999999999,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.15000000000000002,1.747,1,1,0.636845640023239,2.747,,021,sst_trial_order_1B.csv,R
stop,sst_images/Left_Arrow.bmp,none,0.2,0.802,,1,[],1.8019999999999998,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.2,0.709,2,1,0.46978866000426933,1.709,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.2,0.741,1,1,0.36957004701253027,1.741,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.2,0.807,1,1,0.4378610469866544,1.807,,021,sst_trial_order_1B.csv,R
stop,sst_images/Right_Arrow.bmp,none,0.25,0.915,,1,[],1.915,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.25,0.997,2,1,0.5710549849900417,1.9969999999999999,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.25,0.725,2,1,0.537936037988402,1.725,,021,sst_trial_order_1B.csv,R
stop,sst_images/Right_Arrow.bmp,none,0.2,0.734,2,0,0.43487269699107856,1.8491273030089215,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.2,0.755,2,1,0.5381176479859278,1.755,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.2,0.771,1,1,0.4200559279997833,1.771,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.2,0.851,1,1,0.4040273649734445,1.851,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.2,0.711,1,1,0.3695701209944673,1.7109999999999999,,021,sst_trial_order_1B.csv,R
stop,sst_images/Left_Arrow.bmp,none,0.25,0.727,,1,[],1.7269999999999999,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.25,1.176,2,1,0.44603647402254865,2.176,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.25,0.73,2,1,0.5104689939762466,1.73,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.25,0.705,1,1,0.5519773029955104,1.705,,021,sst_trial_order_1B.csv,R
stop,sst_images/Right_Arrow.bmp,none,0.3,0.921,,1,[],1.921,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.3,0.835,1,1,0.495797497977037,1.835,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.3,0.756,1,1,0.9530983190052211,1.756,,021,sst_trial_order_1B.csv,R
stop,sst_images/Right_Arrow.bmp,none,0.35,1.128,,1,[],2.1279999999999997,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.35,0.718,2,1,0.41034048702567816,1.718,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.35,0.876,1,1,0.46722623700043187,1.876,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.35,0.72,1,1,0.7353597960318439,1.72,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.35,1.298,2,1,0.6278919589822181,2.298,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.35,0.806,2,1,0.7029071190045215,1.806,,021,sst_trial_order_1B.csv,R
stop,sst_images/Left_Arrow.bmp,none,0.3,1.135,1,0,0.4868302489630878,2.298169751036912,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.3,1.845,1,1,0.49546686897519976,2.8449999999999998,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.3,0.738,2,1,0.4003574940143153,1.738,,021,sst_trial_order_1B.csv,R
stop,sst_images/Right_Arrow.bmp,none,0.35,0.827,,1,[],1.827,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.35,0.746,1,1,0.43821677000960335,1.746,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.35,0.717,2,1,0.4947076020180248,1.717,,021,sst_trial_order_1B.csv,R
stop,sst_images/Left_Arrow.bmp,none,0.3,1.433,1,0,0.4094574329792522,2.6735425670207476,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.3,2.0,2,1,0.5109783710213378,3.0,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.3,2.0,1,1,0.41115193197038025,3.0,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.3,0.983,2,1,0.5613269410096109,1.983,,021,sst_trial_order_1B.csv,R
stop,sst_images/Right_Arrow.bmp,none,0.35,0.818,,1,[],1.818,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.35,1.135,1,1,0.3897673020255752,2.135,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.35,0.823,2,1,0.3926027889829129,1.823,,021,sst_trial_order_1B.csv,R
stop,sst_images/Right_Arrow.bmp,none,0.3,0.751,2,0,0.5203692200011574,1.8806307799988426,,021,sst_trial_order_1B.csv,R
go,sst_images/Left_Arrow.bmp,1,0.3,0.824,1,1,0.34388596896314994,1.8239999999999998,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.3,0.704,2,1,0.4602256590151228,1.704,,021,sst_trial_order_1B.csv,R
stop,sst_images/Left_Arrow.bmp,none,0.25,0.926,1,0,0.4198818900040351,2.106118109995965,,021,sst_trial_order_1B.csv,R
go,sst_images/Right_Arrow.bmp,2,0.25,1.013,2,1,0.4581344399484806,2.013,,021,sst_trial_order_1B.csv,R
