trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,randomized TrialOrder,key_response.keys,key_response.corr,key_response.rt,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.bmp,None,1,713,None,0,0,0,0,2,1,1,0.6441216800012626,go,0.05,0.713,1.713,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,767,None,0,1,1,1,,None,1,,stop,0.1,0.767,1.767,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Right_Arrow.bmp,None,2,928,None,0,2,2,2,,2,1,0.41928231599740684,go,0.1,0.928,1.928,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Right_Arrow.bmp,None,2,735,None,0,3,3,3,,2,1,0.5038668329943903,go,0.1,0.735,1.7349999999999999,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Left_Arrow.bmp,None,1,1380,None,0,4,4,4,,1,1,0.5042031039774884,go,0.1,1.38,2.38,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Left_Arrow.bmp,None,1,769,None,0,5,5,5,,1,1,0.5396214220090769,go,0.1,0.769,1.7690000000000001,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,884,None,0,6,6,6,,None,1,,stop,0.15000000000000002,0.884,1.8840000000000001,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Right_Arrow.bmp,None,2,732,None,0,7,7,7,,2,1,0.5463847240025643,go,0.15000000000000002,0.732,1.732,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Left_Arrow.bmp,None,1,847,None,0,8,8,8,,1,1,0.5044759140000679,go,0.15000000000000002,0.847,1.847,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1278,None,0,9,9,9,,None,1,,stop,0.2,1.278,2.2779999999999996,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Right_Arrow.bmp,None,2,701,None,0,10,10,10,,2,1,0.5045177330030128,go,0.2,0.701,1.701,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Right_Arrow.bmp,None,2,1480,None,0,11,11,11,,2,1,0.46753545201499946,go,0.2,1.48,2.48,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Left_Arrow.bmp,None,1,935,None,0,12,12,12,,1,1,0.4200717589992564,go,0.2,0.935,1.935,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Right_Arrow.bmp,None,2,1533,None,0,13,13,13,,2,1,0.461173092975514,go,0.2,1.533,2.533,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Left_Arrow.bmp,None,1,747,None,0,14,14,14,,1,1,0.42080708098364994,go,0.2,0.747,1.7469999999999999,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Left_Arrow.bmp,None,1,1758,None,0,15,15,15,,1,1,0.4617975549772382,go,0.2,1.758,2.758,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Left_Arrow.bmp,None,1,818,None,0,16,16,16,,1,1,0.5021302890090737,go,0.2,0.818,1.818,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Right_Arrow.bmp,None,2,833,None,0,17,17,17,,2,1,0.45913474599365145,go,0.2,0.833,1.833,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1248,None,0,18,18,18,,2,0,0.4445428909966722,stop,0.15000000000000002,1.248,2.3034571090033276,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Left_Arrow.bmp,None,1,1081,None,0,19,19,19,,1,1,0.5042975250107702,go,0.15000000000000002,1.081,2.081,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Left_Arrow.bmp,None,1,872,None,0,20,20,20,,1,1,0.5059226529847365,go,0.15000000000000002,0.872,1.8719999999999999,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Right_Arrow.bmp,None,2,820,None,0,21,21,21,,2,1,0.460661766002886,go,0.15000000000000002,0.82,1.8199999999999998,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Left_Arrow.bmp,None,1,702,None,0,22,22,22,,1,1,0.5039418760279659,go,0.15000000000000002,0.702,1.702,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Right_Arrow.bmp,None,2,833,None,0,23,23,23,,2,1,0.46487569497548975,go,0.15000000000000002,0.833,1.833,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Left_Arrow.bmp,None,1,795,None,0,24,24,24,,1,1,0.42104181900504045,go,0.15000000000000002,0.795,1.795,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Right_Arrow.bmp,None,2,846,None,0,25,25,25,,2,1,0.4203401650011074,go,0.15000000000000002,0.846,1.846,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Right_Arrow.bmp,None,2,707,None,0,26,26,26,,2,1,0.5013814200065099,go,0.15000000000000002,0.707,1.7069999999999999,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Left_Arrow.bmp,None,1,811,None,0,27,27,27,,1,1,0.5027702219958883,go,0.15000000000000002,0.811,1.811,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,1022,None,0,28,28,28,,2,0,0.46536408198880963,stop,0.10000000000000002,1.022,2.0066359180111903,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Right_Arrow.bmp,None,2,804,None,0,29,29,29,,2,1,0.5436885810049716,go,0.10000000000000002,0.804,1.804,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Right_Arrow.bmp,None,2,741,None,0,30,30,30,,2,1,0.463318892987445,go,0.10000000000000002,0.741,1.741,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
go,sst_images/Left_Arrow.bmp,None,1,889,None,0,31,31,31,,1,1,0.546293222985696,go,0.10000000000000002,0.889,1.889,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,765,None,0,32,32,32,,None,1,,stop,0.15000000000000002,0.765,1.7650000000000001,033,Scanner,R,1,2019_Aug_27_1231,SST,3.0.7,24.021469409648734,
